# Input	ChemicalName	ChemicalID	CasRN	GeneSymbol	GeneID	Organism	OrganismID	Interaction	InteractionActions	PubMedIDs
slc2a4	1,2-Dimethylhydrazine	D019813	540-73-8	SLC2A4	6517	Mus musculus	10090	1,2-Dimethylhydrazine results in increased expression of SLC2A4 mRNA	increases^expression	22206623
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	[1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	26200599
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	19186324
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	Dichlorodiphenyl Dichloroethylene promotes the reaction [[1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in increased expression of SLC2A4 mRNA]	affects^cotreatment|increases^expression|increases^reaction	26200599
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Rosiglitazone co-treated with 4,4'-hexafluorisopropylidene diphenol] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	31596606
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Rosiglitazone] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	31596606
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	Rosiglitazone promotes the reaction [[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine] results in increased expression of SLC2A4 mRNA]	affects^cotreatment|increases^expression|increases^reaction	19186324
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	[Vitamin D co-treated with bisphenol A co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in increased expression of SLC2A4 protein	affects^cotreatment|increases^expression	33836827
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[bisphenol A co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	30665118
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	boric acid inhibits the reaction [[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein] results in increased expression of SLC2A4 mRNA]	affects^cotreatment|decreases^reaction|increases^expression	28285642
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	boric acid inhibits the reaction [[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein] results in increased expression of SLC2A4 protein]	affects^cotreatment|decreases^reaction|increases^expression	28285642
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS1 protein] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	34302803
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein co-treated with Indomethacin co-treated with Rosiglitazone co-treated with Triiodothyronine] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	27605626
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein co-treated with Indomethacin co-treated with Rosiglitazone co-treated with Triiodothyronine] results in increased expression of SLC2A4 protein	affects^cotreatment|increases^expression	27605626
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	28285642
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein] results in increased expression of SLC2A4 protein	affects^cotreatment|increases^expression	28285642
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	Glycyrrhizic Acid inhibits the reaction [[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS1 protein] results in increased expression of SLC2A4 mRNA]	affects^cotreatment|decreases^reaction|increases^expression	34302803
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine] results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression	31009676
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	sodium pentaborate inhibits the reaction [[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein] results in increased expression of SLC2A4 mRNA]	affects^cotreatment|decreases^reaction|increases^expression	28285642
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	sodium pentaborate inhibits the reaction [[Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with INS protein] results in increased expression of SLC2A4 protein]	affects^cotreatment|decreases^reaction|increases^expression	28285642
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Ovis aries	9940	[[Biotin co-treated with Pantothenic Acid co-treated with INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Rosiglitazone] results in increased susceptibility to bisphenol A] which results in increased expression of SLC2A4 mRNA	affects^cotreatment|increases^expression|increases^response to substance	35504463
slc2a4	2,2',4,4'-tetrabromodiphenyl ether	C511295		SLC2A4	6517	Mus musculus	10090	2,2',4,4'-tetrabromodiphenyl ether results in increased expression of SLC2A4 mRNA	increases^expression	24559133
slc2a4	2,3,5-trichloro-6-phenyl-(1,4)benzoquinone	C587734		SLC2A4	6517	Homo sapiens	9606	2,3,5-trichloro-6-phenyl-(1,4)benzoquinone results in increased expression of SLC2A4 mRNA	increases^expression	35349355
slc2a4	2-(3-benzoyl)-4-hydroxy-1,1-dioxo-2H-1,2-benzothiazine-2-yl-1-phenylethanone	C558395		SLC2A4	6517	Mus musculus	10090	2-(3-benzoyl)-4-hydroxy-1,1-dioxo-2H-1,2-benzothiazine-2-yl-1-phenylethanone inhibits the reaction [Cortisone results in increased expression of SLC2A4 mRNA]	decreases^reaction|increases^expression	21315688
slc2a4	2,4,5,2',4',5'-hexachlorobiphenyl	C014024	35065-27-1	SLC2A4	6517	Homo sapiens	9606	[perfluorooctanoic acid co-treated with perfluorooctane sulfonic acid co-treated with Dichlorodiphenyl Dichloroethylene co-treated with 2,4,5,2',4',5'-hexachlorobiphenyl co-treated with Hexachlorobenzene] results in decreased expression of SLC2A4 mRNA	affects^cotreatment|decreases^expression	34311058
