# Input	ChemicalName	ChemicalID	CasRN	GeneSymbol	GeneID	Organism	OrganismID	Interaction	InteractionActions	PubMedIDs
ckb	1,2-Dimethylhydrazine	D019813	540-73-8	CKB	1152	Mus musculus	10090	1,2-Dimethylhydrazine results in increased expression of CKB mRNA	increases^expression	22206623
ckb	16-hydroxyestrone	C026702	18186-49-7	CKB	1152	Rattus norvegicus	10116	16-hydroxyestrone results in increased expression of CKB	increases^expression	10030690
ckb	1-bromopropane	C118559	106-94-5	CKB	1152	Rattus norvegicus	10116	1-bromopropane results in decreased expression of CKB protein	decreases^expression	21925529
ckb	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	CKB	1152	Homo sapiens	9606	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CKB mRNA	affects^cotreatment|increases^expression	28628672
ckb	2,2',4,4',5-brominated diphenyl ether	C477694		CKB	1152	Rattus norvegicus	10116	2,2',4,4',5-brominated diphenyl ether results in decreased expression of CKB protein	decreases^expression	19954255
ckb	2,2',4,4',5-brominated diphenyl ether	C477694		CKB	1152	Rattus norvegicus	10116	2,2',4,4',5-brominated diphenyl ether results in increased expression of CKB protein	increases^expression	19954255
ckb	2,3',4,4',5-pentachlorobiphenyl	C070055		CKB	1152	Mus musculus	10090	2,3',4,4',5-pentachlorobiphenyl results in increased expression of CKB mRNA	increases^expression	31388691
ckb	2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine	D015647	67287-49-4	CKB	1152	Meriones unguiculatus	10047	2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine results in increased expression of CKB protein	increases^expression	25852303
ckb	2,3,7,8-tetrachlorodibenzofuran	C014211	51207-31-9	CKB	1152	Rattus norvegicus	10116	2,3,7,8-tetrachlorodibenzofuran results in decreased expression of CKB mRNA	decreases^expression	32109520
ckb	2,5,2',5'-tetrachlorobiphenyl	C009407	35693-99-3	CKB	1152	Homo sapiens	9606	2,5,2',5'-tetrachlorobiphenyl analog results in increased expression of CKB mRNA	increases^expression	36804509
ckb	2,6-dinitrotoluene	C023514	606-20-2	CKB	1152	Colinus virginianus	9014	2,6-dinitrotoluene results in increased expression of CKB mRNA	increases^expression	20406850
ckb	2-hydroxyestradiol	C001390	362-05-0	CKB	1152	Rattus norvegicus	10116	2-hydroxyestradiol inhibits the reaction [Estradiol results in increased expression of CKB]	decreases^reaction|increases^expression	10030690
ckb	2-hydroxyestrone	C024980	362-06-1	CKB	1152	Rattus norvegicus	10116	2-hydroxyestrone inhibits the reaction [Estradiol results in increased expression of CKB]	decreases^reaction|increases^expression	10030690
ckb	4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid	C584509		CKB	1152	Homo sapiens	9606	4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid affects the expression of CKB mRNA	affects^expression	26191083
ckb	4,4'-hexafluorisopropylidene diphenol	C583074		CKB	1152	Homo sapiens	9606	4,4'-hexafluorisopropylidene diphenol results in increased expression of CKB protein	increases^expression	34186270
