# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
slc2a4	1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	C070379	139890-68-9	SLC2A4	6517	Rattus norvegicus	10116	27160165
slc2a4	1,2-Dimethylhydrazine	D019813	540-73-8	SLC2A4	6517	Mus musculus	10090	22206623
slc2a4	1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	C060229	112648-68-7	SLC2A4	6517	Rattus norvegicus	10116	27160165
slc2a4	1-Butanol	D020001	71-36-3	SLC2A4	6517	Rattus norvegicus	10116	11978788
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Homo sapiens	9606	19186324|26200599|31596606|33836827
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Mus musculus	10090	27605626|28285642|30665118|31009676|34302803
slc2a4	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	SLC2A4	6517	Ovis aries	9940	35504463
slc2a4	2,2',4,4'-tetrabromodiphenyl ether	C511295		SLC2A4	6517	Mus musculus	10090	24559133
slc2a4	2,3,5-trichloro-6-phenyl-(1,4)benzoquinone	C587734		SLC2A4	6517	Homo sapiens	9606	35349355
slc2a4	2-(3-benzoyl)-4-hydroxy-1,1-dioxo-2H-1,2-benzothiazine-2-yl-1-phenylethanone	C558395		SLC2A4	6517	Mus musculus	10090	21315688
slc2a4	2,4,5,2',4',5'-hexachlorobiphenyl	C014024	35065-27-1	SLC2A4	6517	Homo sapiens	9606	34311058
slc2a4	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	C085911	154447-36-6	SLC2A4	6517	Mus musculus	10090	31071387|36325883
slc2a4	2,4-thiazolidinedione	C089946	2295-31-0	SLC2A4	6517	Rattus norvegicus	10116	20724125
slc2a4	2-chloro-5-nitrobenzanilide	C457499		SLC2A4	6517	Homo sapiens	9606	28025108
slc2a4	2-chloro-5-nitrobenzanilide	C457499		SLC2A4	6517	Mus musculus	10090	19477051|35192202|36325883
slc2a4	3-(2,2,2-trimethylhydrazine)propionate	C050147	76144-81-5	SLC2A4	6517	Mus musculus	10090	32389661
slc2a4	3,3',4,5'-tetrahydroxystilbene	C041525	4339-71-3	SLC2A4	6517	Mus musculus	10090	22579688
slc2a4	3,5-diethoxycarbonyl-1,4-dihydrocollidine	C530773		SLC2A4	6517	Mus musculus	10090	20512997
slc2a4	4-(2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1-propenyl)benzoic acid	C038864	71441-28-6	SLC2A4	6517	Rattus norvegicus	10116	16273324|18063688
slc2a4	4,4'-hexafluorisopropylidene diphenol	C583074		SLC2A4	6517	Homo sapiens	9606	31596606
