# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
slc2a4	Alzheimer Disease	MESH:D000544	SLC2A4	6517	Mental disorder|Nervous system disease	marker/mechanism		24055495
slc2a4	Cardiomegaly	MESH:D006332	SLC2A4	6517	Cardiovascular disease|Pathology (anatomical condition)	marker/mechanism		22221582
slc2a4	Diabetes Mellitus, Experimental	MESH:D003921	SLC2A4	6517	Endocrine system disease|Metabolic disease	marker/mechanism		11947963|14563825|18266981|22138235
slc2a4	Diabetes Mellitus, Type 2	MESH:D003924	SLC2A4	6517	Endocrine system disease|Metabolic disease	marker/mechanism		11947963|17107852|22384078|31626838
slc2a4	Insulin Resistance	MESH:D007333	SLC2A4	6517	Metabolic disease	therapeutic		11947963
igf1	Abortion, Spontaneous	MESH:D000022	IGF1	3479	Pregnancy complication	marker/mechanism		18539642
igf1	Acromegaly	MESH:D000172	IGF1	3479	Endocrine system disease|Musculoskeletal disease|Nervous system disease	marker/mechanism		1682667|18381583|18388193|9186818
igf1	Acute Kidney Injury	MESH:D058186	IGF1	3479	Urogenital disease (female)|Urogenital disease (male)	therapeutic		7540432
igf1	Adenoma	MESH:D000236	IGF1	3479	Cancer	marker/mechanism		1611713
igf1	Alzheimer Disease	MESH:D000544	IGF1	3479	Mental disorder|Nervous system disease	marker/mechanism		15750215
igf1	Autistic Disorder	MESH:D001321	IGF1	3479	Mental disorder	marker/mechanism		17547689
igf1	Bone Diseases, Metabolic	MESH:D001851	IGF1	3479	Metabolic disease|Musculoskeletal disease	therapeutic		11014614
igf1	Breast Neoplasms	MESH:D001943	IGF1	3479	Cancer|Skin disease	marker/mechanism		17520698|18398872
igf1	Cachexia	MESH:D002100	IGF1	3479	Signs and symptoms	marker/mechanism		30782979
igf1	Carcinoma, Hepatocellular	MESH:D006528	IGF1	3479	Cancer|Digestive system disease	marker/mechanism		28284560
igf1	Cardiomegaly	MESH:D006332	IGF1	3479	Cardiovascular disease|Pathology (anatomical condition)	marker/mechanism		10547078
igf1	Chemical and Drug Induced Liver Injury	MESH:D056486	IGF1	3479	Digestive system disease	marker/mechanism		23639586|25226513
igf1	Cholestasis	MESH:D002779	IGF1	3479	Digestive system disease	therapeutic		12826230
igf1	Colitis	MESH:D003092	IGF1	3479	Digestive system disease	marker/mechanism		24782617
igf1	Corneal Diseases	MESH:D003316	IGF1	3479	Eye disease	therapeutic		12824234
igf1	Crohn Disease	MESH:D003424	IGF1	3479	Digestive system disease	marker/mechanism		19751734
igf1	Demyelinating Diseases	MESH:D003711	IGF1	3479	Nervous system disease	therapeutic		9452187
igf1	Diabetes Mellitus, Experimental	MESH:D003921	IGF1	3479	Endocrine system disease|Metabolic disease	therapeutic		24632065
