# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
slc2a4	Abdominal Injuries	MESH:D000007	SLC2A4	6517	Wounds and injuries	Resveratrol	3.78		18277952
slc2a4	Abdominal Neoplasms	MESH:D000008	SLC2A4	6517	Cancer	Tamoxifen	3.34		14745880
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Acetaminophen	54.99		11209028|11438806|16187469|29499192|8104298
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Arsenic	54.99		24735908
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Capsaicin	54.99		10189853
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Copper	54.99		12600855
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Dexamethasone	54.99		1749637|9234591
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Doxorubicin	54.99		3712578|6542584
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Indinavir	54.99		12473836|9337438
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Indomethacin	54.99		1065802|17478464|6023693|7268625
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Lead	54.99		30081045
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Metformin	54.99		15752411
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Naloxone	54.99		12845923
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	nimesulide	54.99		14655069
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Propylthiouracil	54.99		15822032|15879050
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Sildenafil Citrate	54.99		18537952
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Smoke	54.99		18608866
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	sodium arsenite	54.99		30612929
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Tamoxifen	54.99		2578557
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Thyroxine	54.99		9207477
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Tramadol	54.99		17475611
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Tretinoin	54.99		9234591
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Valproic Acid	54.99		6206716
slc2a4	Abdominal Pain	MESH:D015746	SLC2A4	6517	Signs and symptoms	Zidovudine	54.99		7905523
slc2a4	Abducens Nerve Diseases	MESH:D020434	SLC2A4	6517	Nervous system disease	Tretinoin	2.29		10203107|16251142|19018859|9519692
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	1,2-Dimethylhydrazine	27.83		16733082|22326950|22750881|28004603|29031619|29108773|29155087|29999212|30090573|30720227
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	Capsaicin	27.83		29155087
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	chromium hexavalent ion	27.83		25352572
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	Copper	27.83		11983831
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	Dietary Fats	27.83		21510291|22750881
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	epigallocatechin gallate	27.83		29999212
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	kaempferol	27.83		29999212
slc2a4	Aberrant Crypt Foci	MESH:D058739	SLC2A4	6517	Cancer	Resveratrol	27.83		16733082
slc2a4	Abnormalities, Drug-Induced	MESH:D000014	SLC2A4	6517	Congenital abnormality	4,4'-hexafluorisopropylidene diphenol	123.28		29458080
slc2a4	Abnormalities, Drug-Induced	MESH:D000014	SLC2A4	6517	Congenital abnormality	Acetaminophen	123.28		2213573
slc2a4	Abnormalities, Drug-Induced	MESH:D000014	SLC2A4	6517	Congenital abnormality	Anthraquinones	123.28		23684558
slc2a4	Abnormalities, Drug-Induced	MESH:D000014	SLC2A4	6517	Congenital abnormality	bisphenol A	123.28		20299547|20970156|21269433|25853433|29458080
slc2a4	Abnormalities, Drug-Induced	MESH:D000014	SLC2A4	6517	Congenital abnormality	boric acid	123.28		17320131
slc2a4	Abnormalities, Drug-Induced	MESH:D000014	SLC2A4	6517	Congenital abnormality	Cadmium	123.28		21278052
