# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
ckb	Abdomen, Acute	MESH:D000006	CKB	1152	Signs and symptoms	Cocaine	3.86		20013613
ckb	Abdominal Neoplasms	MESH:D000008	CKB	1152	Cancer	Tamoxifen	3.53		14745880
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Acetaminophen	51.99		11209028|11438806|16187469|29499192|8104298
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Amphetamine	51.99		9294377
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Ampicillin	51.99		2306432
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Azathioprine	51.99		11232733|15472540|3902952
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Cocaine	51.99		12480020|15700151|18274186|19758501|19761732|9808133
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Cytarabine	51.99		11745875|2411382
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Dexamethasone	51.99		1749637|9234591
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Doxorubicin	51.99		3712578|6542584
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Gemcitabine	51.99		17164233
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Indomethacin	51.99		1065802|17478464|6023693|7268625
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Lithium	51.99		7352540
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Loperamide	51.99		10985875
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Methamphetamine	51.99		848798
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Propylthiouracil	51.99		15822032|15879050
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	sodium arsenite	51.99		30612929
ckb	Abdominal Pain	MESH:D015746	CKB	1152	Signs and symptoms	Tamoxifen	51.99		2578557
