# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Acetaminophen	147.80		10454517|10462288|10529635|15058171|15118981|15546480|1605724|1676404|19109935|19183124|19369842|19515070|19639374|19815612|19995690|22093918|2302954|2873910|30099449|3403780|35020164|35243748|3605153|3747662|3827589|3992409|455818|6173498|6708674|6800515|6802245|6825559|6877410|7100020|7318260|7364436|7969685|8156726|8244261|8317017|8669426|8812206|9085330|9381478|9796772|9858252
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Acetylcysteine	147.80		14624421|15637469|16897003|19204016|19473638|19526394|19945959|26230185|30236763|30639957
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Amphetamine	147.80		16161930|3057269|6701599|7058372|8099372|9467496
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Ampicillin	147.80		14736991|653062|6649724
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	aristolochic acid I	147.80		24530882|26204831|27422293|34677723
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Arsenic Trioxide	147.80		18463343
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Azathioprine	147.80		4067979
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	bisphenol A	147.80		24625398
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Blood Glucose	147.80		16153449|27363640
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cadmium	147.80		37357614
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cadmium Chloride	147.80		21620867|28759707|29286200|32818823|35122928
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Carbamazepine	147.80		11346062|12005248|1494733|19995690|2918954|4653892
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Carbon Tetrachloride	147.80		24975872|28285099|30825423
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Carvedilol	147.80		21044617|24012798
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cisplatin	147.80		10454517|11977638|12180108|12690470|15814532|16316343|17670903|19144690|19833167|19913604|20369241|20419391|20463654|20510337|20514524|20603111|20650967|20652569|20656754|20676799|20817559|20844023|20844471|20861081|20942565|20943766|21044617|21048024|21048391|21058009|21256724|21272267|21325496|21458517|21470069|21570986|21593185|21633170|2170045|21745194|21802473|21835770|21847101|22005293|22581811|22992436|23384965|23649842|24012798|24113306|24632086|24778426|24973089|24975837|25184746|25382014|25598344|25957482|26165641|26230185|26546572|26723870|27480280|28321044|28414026|28698153|28885000|28902463|29126144|29476062|29599129|30291731|31103702|31153982|3152939|31926187|32110797|32504734|32777238|32888910|33965372|34560070|34785303|35279909|35367536|35403300|36006825|37057715|37087747|37179038|37863467|6350313|657154|7018267|7199128
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Clofibrate	147.80		12503032|55557|7437867
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cocaine	147.80		10095180|10570114|10745478|11147017|11155017|11217644|11391224|11792999|11971848|12218880|14658178|15104930|15335299|16523435|17338430|18081441|18590504|18946498|2076148|2228713|2272809|2772692|2913784|7944088|8191618|8465100
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Copper Sulfate	147.80		30431687|602954
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Curcumin	147.80		17076682|28698153|30431687
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cyclosporine	147.80		11271297|11576359|12131698|1539206|1839490|21058009|22005293|2368707|2576639|2940667|29975447|3086006|3544376|3544821|6342655|7518975|7566623
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cytarabine	147.80		10327034|12180108|7858489|8318674
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Deferoxamine	147.80		12644925|1324513|19204016|30431687|3123518|451459
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Dexamethasone	147.80		31654708|32687258|8546128|9763554
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Dietary Fats	147.80		24795233
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Doxorubicin	147.80		18680783|21354902|21812276|25411067|26825964|28885000|29474904|30543781|3070145|31376360|32289291
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Dronabinol	147.80		16161930
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Enzyme Inhibitors	147.80		19326569
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Ethanol	147.80		28285099|3747662
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Fluorouracil	147.80		15895229|3978662
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Folic Acid	147.80		1068326|10980121|11532093|135854|15149334|15625121|16316344|16595132|17003819|18480750|18626492|19552531|23255615|24275386|25559736|2566606|30405444|31447676|31593741|33404076|35191561|35772596|4142233|5070373|562503|745638|7531211|851170|8594875
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Gallic Acid	147.80		24433871
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Gemcitabine	147.80		15895229|18427761
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Gentamicins	147.80		10607017|10729747|10803762|11274264|1130272|1144851|12375257|12617329|12969435|1324513|1355906|14986132|14993807|15149329|16225114|16780655|16999986|17036408|17216604|17464513|1753919|18227104|185707|18767002|19142811|19204016|1932635|19709328|19736602|19737869|19893084|20030531|20063365|20118187|20164825|22005293|23145036|23261757|23707770|2385448|24923469|25034533|25339697|26779593|2689848|2709684|2728142|2907577|2915758|29460972|2972861|3111476|3123518|32110797|33290828|342789|3485932|3534703|3795053|3988600|4069770|4444745|445001|4589000|4703097|4720135|6214598|6223941|6276536|6507171|6645206|6663986|6690474|6715952|6727808|6822758|6877460|7098275|7144139|7199128|7329494|7391838|7400070|7566310|7571189|7800247|7853850|788666|7967229|8157077|8184137|8214103|8771241|8963945|919118|951016
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Indomethacin	147.80		15007713|2191029|2872506|2886806|3071148|3600902|3616022|3727353|3975749|3978662|3980192|4000350|4071154|448822|464454|6589647|6781208|6949485|6952058|7017180|718323|7305576|7375974|7386499|8163032|8240599|8671983|9052853
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Lipopolysaccharides	147.80		22253906|24561306|24973090|26055553|31654708|32687258|37436358
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Lithium	147.80		12562283|12680891|17408774|694932|8828352
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Melatonin	147.80		35367536
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Methionine	147.80		31926187
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	naphthalene	147.80		602954
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Nitroglycerin	147.80		12243603
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Oxygen	147.80		12819242|16153449|27363640
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	perfluorooctane sulfonic acid	147.80		35934180
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Phenobarbital	147.80		1485575
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Plant Extracts	147.80		18680783|19736602|22021999
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Propylthiouracil	147.80		11014318|11956877|17415292|7942812|9219172|9550661
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Quercetin	147.80		24958931|25411067|29474904|34751495
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Rotenone	147.80		30099449
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	S-(1,2-dichlorovinyl)cysteine	147.80		16495211|8870953
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	sodium arsenite	147.80		21094152|23724280|32736004|32818823
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	sulforaphane	147.80		19913604
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Sunitinib	147.80		20652569
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Tobacco Smoke Pollution	147.80		29177025
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Tretinoin	147.80		10607690|11604554|12801854|17564563|18363177|8546128|9158667|9763554
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	trichostatin A	147.80		29476062
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Valproic Acid	147.80		29968957
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Vitamin D	147.80		24011919
ckb	Acute Kidney Injury	MESH:D058186	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Vitamin E	147.80		3353995|9763232
ckb	Chronic Kidney Disease-Mineral and Bone Disorder	MESH:D012080	CKB	1152	Endocrine system disease|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Pathology (process)|Urogenital disease (female)|Urogenital disease (male)	Calcifediol	4.80		6897822
ckb	Chronic Kidney Diseases of Uncertain Etiology	MESH:D000092702	CKB	1152	Occupational disease|Pathology (process)|Urogenital disease (female)|Urogenital disease (male)	Endosulfan	4.17		36513242
ckb	Kidney Calculi	MESH:D007669	CKB	1152	Pathology (anatomical condition)|Urogenital disease (female)|Urogenital disease (male)	Dexamethasone	11.03		1671989|8576746
ckb	Kidney Calculi	MESH:D007669	CKB	1152	Pathology (anatomical condition)|Urogenital disease (female)|Urogenital disease (male)	Methionine	11.03		8112761
ckb	Kidney Calculi	MESH:D007669	CKB	1152	Pathology (anatomical condition)|Urogenital disease (female)|Urogenital disease (male)	Vitamin D	11.03		16481635
ckb	Kidney Calculi	MESH:D007669	CKB	1152	Pathology (anatomical condition)|Urogenital disease (female)|Urogenital disease (male)	Vitamin E	11.03		8112761
ckb	Kidney Cortex Necrosis	MESH:D007673	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Amphetamine	17.62		16133628
ckb	Kidney Cortex Necrosis	MESH:D007673	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Carbon Tetrachloride	17.62		23845967
ckb	Kidney Cortex Necrosis	MESH:D007673	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Cisplatin	17.62		15464296|19761811|28321044
ckb	Kidney Cortex Necrosis	MESH:D007673	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Doxorubicin	17.62		19761811|30682439
ckb	Kidney Cortex Necrosis	MESH:D007673	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Gentamicins	17.62		15245572|18842672|19761811
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	2,2',4,4',5-brominated diphenyl ether	219.71		20223270
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	2-hydroxyestradiol	219.71		12397044
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Acetaminophen	219.71		11334364|11812892|12005112|12587719|12721325|15363587|15629190|15629191|17391827|18068886|1881229|19117117|19345714|19761811|19922764|20067817|20446790|2356566|2651928|26767949|30794797|31777137|3659833|7155631|7979097
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Acetylcysteine	219.71		14972420|15496615|16877488|17448119|18174269|18278066|18752385|20502036|21424224|30641872|35055458
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Acrylamide	219.71		29913234
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Ampicillin	219.71		3888810|523366|5396519
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	aristolochic acid I	219.71		20338233|21554934|22086975|22445861|22472514|22525892|23939141|24412304|25663515|31048001|31602497|33722575|35690179|37084829
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Arsenic Trioxide	219.71		23471352|26184899|29130132|30516227|31612257|32919218|35317438
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Atrazine	219.71		30360616|35440735
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Azathioprine	219.71		577907
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Benzo(a)pyrene	219.71		11289703|21803694
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	bisphenol A	219.71		18445619|23359474|30303745|30641872|30997025|31091348|34281243|36830956
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Bleomycin	219.71		2413982|6181679|6203452|7532742
ckb	Kidney Diseases	MESH:D007674	CKB	1152	Urogenital disease (female)|Urogenital disease (male)	Blood Glucose	219.71		25214260|8086032
