# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	2,2',4,4'-tetrabromodiphenyl ether	215.70		37357614
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	4-phenylbutyric acid	215.70		32879258
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Acetaminophen	215.70		10454517|10462288|10529635|15058171|15118981|15546480|1605724|1676404|19109935|19183124|19369842|19515070|19639374|19815612|19995690|22093918|2302954|2873910|30099449|3403780|35020164|35243748|3605153|3747662|3827589|3992409|455818|6173498|6708674|6800515|6802245|6825559|6877410|7100020|7318260|7364436|7969685|8156726|8244261|8317017|8669426|8812206|9085330|9381478|9796772|9858252
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Acetylcysteine	215.70		14624421|15637469|16897003|19204016|19473638|19526394|19945959|26230185|30236763|30639957
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Alloxan	215.70		36309138
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Anthraquinones	215.70		28321044
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	aristolochic acid I	215.70		24530882|26204831|27422293|34677723
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Ascorbic Acid	215.70		18714631|30606963
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Atorvastatin	215.70		11959068|12243603|16780456
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Bezafibrate	215.70		11764054|16316343|2280884|3374444|8808248
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	bisphenol A	215.70		24625398
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Cadmium	215.70		37357614
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Cadmium Chloride	215.70		21620867|28759707|29286200|32818823|35122928
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	caffeic acid	215.70		29968957
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Calcium	215.70		19856155|2689848|6690474
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Cantharidin	215.70		35398186
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Capsaicin	215.70		18460982
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Carnitine	215.70		16897003|19737869
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Chloroquine	215.70		15526909|17076682|4794122|7325735|734759
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	chromium hexavalent ion	215.70		30236763
slc2a4	Acute Kidney Injury	MESH:D058186	SLC2A4	6517	Urogenital disease (female)|Urogenital disease (male)	Cisplatin	215.70		10454517|11977638|12180108|12690470|15814532|16316343|17670903|19144690|19833167|19913604|20369241|20419391|20463654|20510337|20514524|20603111|20650967|20652569|20656754|20676799|20817559|20844023|20844471|20861081|20942565|20943766|21044617|21048024|21048391|21058009|21256724|21272267|21325496|21458517|21470069|21570986|21593185|21633170|2170045|21745194|21802473|21835770|21847101|22005293|22581811|22992436|23384965|23649842|24012798|24113306|24632086|24778426|24973089|24975837|25184746|25382014|25598344|25957482|26165641|26230185|26546572|26723870|27480280|28321044|28414026|28698153|28885000|28902463|29126144|29476062|29599129|30291731|31103702|31153982|3152939|31926187|32110797|32504734|32777238|32888910|33965372|34560070|34785303|35279909|35367536|35403300|36006825|37057715|37087747|37179038|37863467|6350313|657154|7018267|7199128
