# Input	GeneSymbol	GeneID	PathwayName	PathwayID
slc2a4	SLC2A4	6517	Adipocytokine signaling pathway	KEGG:hsa04920
slc2a4	SLC2A4	6517	AMPK signaling pathway	KEGG:hsa04152
slc2a4	SLC2A4	6517	Developmental Biology	REACT:R-HSA-1266738
slc2a4	SLC2A4	6517	Facilitative Na+-independent glucose transporters	REACT:R-HSA-428790
slc2a4	SLC2A4	6517	FoxO signaling pathway	KEGG:hsa04068
slc2a4	SLC2A4	6517	Glucose transport	REACT:R-HSA-70153
slc2a4	SLC2A4	6517	Hexose transport	REACT:R-HSA-189200
slc2a4	SLC2A4	6517	Insulin resistance	KEGG:hsa04931
slc2a4	SLC2A4	6517	Insulin signaling pathway	KEGG:hsa04910
slc2a4	SLC2A4	6517	Membrane Trafficking	REACT:R-HSA-199991
slc2a4	SLC2A4	6517	Metabolism	REACT:R-HSA-1430728
slc2a4	SLC2A4	6517	Metabolism of carbohydrates	REACT:R-HSA-71387
slc2a4	SLC2A4	6517	SLC-mediated transmembrane transport	REACT:R-HSA-425407
slc2a4	SLC2A4	6517	Transcriptional regulation of white adipocyte differentiation	REACT:R-HSA-381340
slc2a4	SLC2A4	6517	Translocation of GLUT4 to the plasma membrane	REACT:R-HSA-1445148
slc2a4	SLC2A4	6517	Transmembrane transport of small molecules	REACT:R-HSA-382551
slc2a4	SLC2A4	6517	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds	REACT:R-HSA-425366
slc2a4	SLC2A4	6517	Type II diabetes mellitus	KEGG:hsa04930
slc2a4	SLC2A4	6517	Vesicle-mediated transport	REACT:R-HSA-5653656
igf1	IGF1	3479	Aldosterone-regulated sodium reabsorption	KEGG:hsa04960
igf1	IGF1	3479	AMPK signaling pathway	KEGG:hsa04152
igf1	IGF1	3479	Breast cancer	KEGG:hsa05224
igf1	IGF1	3479	Dilated cardiomyopathy	KEGG:hsa05414
igf1	IGF1	3479	EGFR tyrosine kinase inhibitor resistance	KEGG:hsa01521
igf1	IGF1	3479	Endocrine resistance	KEGG:hsa01522
igf1	IGF1	3479	Focal adhesion	KEGG:hsa04510
igf1	IGF1	3479	FoxO signaling pathway	KEGG:hsa04068
igf1	IGF1	3479	Glioma	KEGG:hsa05214
igf1	IGF1	3479	Hemostasis	REACT:R-HSA-109582
igf1	IGF1	3479	HIF-1 signaling pathway	KEGG:hsa04066
igf1	IGF1	3479	Hypertrophic cardiomyopathy (HCM)	KEGG:hsa05410
igf1	IGF1	3479	IGF1R signaling cascade	REACT:R-HSA-2428924
igf1	IGF1	3479	Inflammatory mediator regulation of TRP channels	KEGG:hsa04750
igf1	IGF1	3479	IRS-related events triggered by IGF1R	REACT:R-HSA-2428928
igf1	IGF1	3479	Longevity regulating pathway	KEGG:hsa04211
igf1	IGF1	3479	Longevity regulating pathway - multiple species	KEGG:hsa04213
igf1	IGF1	3479	Long-term depression	KEGG:hsa04730
igf1	IGF1	3479	Melanoma	KEGG:hsa05218
igf1	IGF1	3479	Metabolism of proteins	REACT:R-HSA-392499
igf1	IGF1	3479	mTOR signaling pathway	KEGG:hsa04150
igf1	IGF1	3479	Oocyte meiosis	KEGG:hsa04114
igf1	IGF1	3479	Ovarian steroidogenesis	KEGG:hsa04913
igf1	IGF1	3479	p53 signaling pathway	KEGG:hsa04115
igf1	IGF1	3479	Pathways in cancer	KEGG:hsa05200
igf1	IGF1	3479	Peptide hormone metabolism	REACT:R-HSA-2980736
igf1	IGF1	3479	PI3K-Akt signaling pathway	KEGG:hsa04151
igf1	IGF1	3479	Platelet activation, signaling and aggregation	REACT:R-HSA-76002
igf1	IGF1	3479	Platelet degranulation	REACT:R-HSA-114608
igf1	IGF1	3479	Progesterone-mediated oocyte maturation	KEGG:hsa04914
igf1	IGF1	3479	Prostate cancer	KEGG:hsa05215
igf1	IGF1	3479	Proteoglycans in cancer	KEGG:hsa05205
igf1	IGF1	3479	Rap1 signaling pathway	KEGG:hsa04015
igf1	IGF1	3479	Ras signaling pathway	KEGG:hsa04014
igf1	IGF1	3479	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	REACT:R-HSA-381426
igf1	IGF1	3479	Response to elevated platelet cytosolic Ca2+	REACT:R-HSA-76005
igf1	IGF1	3479	SHC-related events triggered by IGF1R	REACT:R-HSA-2428933
igf1	IGF1	3479	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	REACT:R-HSA-2404192
igf1	IGF1	3479	Signaling pathways regulating pluripotency of stem cells	KEGG:hsa04550
igf1	IGF1	3479	Signal Transduction	REACT:R-HSA-162582
igf1	IGF1	3479	Synthesis, secretion, and deacylation of Ghrelin	REACT:R-HSA-422085
igf1	IGF1	3479	Transcriptional misregulation in cancer	KEGG:hsa05202
gatm	GATM	2628	Arginine and proline metabolism	KEGG:hsa00330
gatm	GATM	2628	Creatine metabolism	REACT:R-HSA-71288
gatm	GATM	2628	Creatine pathway	KEGG:hsa_M00047
gatm	GATM	2628	Glycine, serine and threonine metabolism	KEGG:hsa00260
gatm	GATM	2628	Metabolic pathways	KEGG:hsa01100
gatm	GATM	2628	Metabolism	REACT:R-HSA-1430728
gatm	GATM	2628	Metabolism of amino acids and derivatives	REACT:R-HSA-71291
gatm	GATM	2628	Metabolism of polyamines	REACT:R-HSA-351202
slc6a8	SLC6A8	6535	Creatine metabolism	REACT:R-HSA-71288
slc6a8	SLC6A8	6535	Metabolism	REACT:R-HSA-1430728
slc6a8	SLC6A8	6535	Metabolism of amino acids and derivatives	REACT:R-HSA-71291
slc6a8	SLC6A8	6535	Metabolism of polyamines	REACT:R-HSA-351202
akt1	AKT1	207	Activation of BAD and translocation to mitochondria	REACT:R-HSA-111447
akt1	AKT1	207	Activation of BH3-only proteins	REACT:R-HSA-114452
akt1	AKT1	207	Acute myeloid leukemia	KEGG:hsa05221
akt1	AKT1	207	Adaptive Immune System	REACT:R-HSA-1280218
akt1	AKT1	207	Adipocytokine signaling pathway	KEGG:hsa04920
akt1	AKT1	207	Adrenergic signaling in cardiomyocytes	KEGG:hsa04261
akt1	AKT1	207	AGE-RAGE signaling pathway in diabetic complications	KEGG:hsa04933
akt1	AKT1	207	AKT-mediated inactivation of FOXO1A	REACT:R-HSA-211163
akt1	AKT1	207	AKT phosphorylates targets in the cytosol	REACT:R-HSA-198323
akt1	AKT1	207	AKT phosphorylates targets in the nucleus	REACT:R-HSA-198693
akt1	AKT1	207	AMPK signaling pathway	KEGG:hsa04152
akt1	AKT1	207	Apelin signaling pathway	KEGG:hsa04371
akt1	AKT1	207	Apoptosis	REACT:R-HSA-109581
akt1	AKT1	207	Apoptosis	KEGG:hsa04210
akt1	AKT1	207	Autophagy - animal	KEGG:hsa04140
akt1	AKT1	207	B cell receptor signaling pathway	KEGG:hsa04662
akt1	AKT1	207	Breast cancer	KEGG:hsa05224
akt1	AKT1	207	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	REACT:R-HSA-450385
akt1	AKT1	207	cAMP signaling pathway	KEGG:hsa04024
akt1	AKT1	207	Carbohydrate digestion and absorption	KEGG:hsa04973
akt1	AKT1	207	CD28 co-stimulation	REACT:R-HSA-389356
akt1	AKT1	207	CD28 dependent PI3K/Akt signaling	REACT:R-HSA-389357
akt1	AKT1	207	Cell Cycle	REACT:R-HSA-1640170
akt1	AKT1	207	Cell Cycle, Mitotic	REACT:R-HSA-69278
akt1	AKT1	207	Central carbon metabolism in cancer	KEGG:hsa05230
akt1	AKT1	207	cGMP-PKG signaling pathway	KEGG:hsa04022
akt1	AKT1	207	Chagas disease (American trypanosomiasis)	KEGG:hsa05142
akt1	AKT1	207	Chemokine signaling pathway	KEGG:hsa04062
akt1	AKT1	207	Choline metabolism in cancer	KEGG:hsa05231
akt1	AKT1	207	Cholinergic synapse	KEGG:hsa04725
akt1	AKT1	207	Chronic myeloid leukemia	KEGG:hsa05220
akt1	AKT1	207	Colorectal cancer	KEGG:hsa05210
akt1	AKT1	207	Constitutive Signaling by AKT1 E17K in Cancer	REACT:R-HSA-5674400
akt1	AKT1	207	Costimulation by the CD28 family	REACT:R-HSA-388841
akt1	AKT1	207	CTLA4 inhibitory signaling	REACT:R-HSA-389513
akt1	AKT1	207	Cyclin E associated events during G1/S transition	REACT:R-HSA-69202
akt1	AKT1	207	Cytokine Signaling in Immune system	REACT:R-HSA-1280215
akt1	AKT1	207	DAP12 interactions	REACT:R-HSA-2172127
akt1	AKT1	207	DAP12 signaling	REACT:R-HSA-2424491
akt1	AKT1	207	Deactivation of the beta-catenin transactivating complex	REACT:R-HSA-3769402
akt1	AKT1	207	Developmental Biology	REACT:R-HSA-1266738
akt1	AKT1	207	Disease	REACT:R-HSA-1643685
akt1	AKT1	207	Diseases of signal transduction	REACT:R-HSA-5663202
akt1	AKT1	207	Dopaminergic synapse	KEGG:hsa04728
akt1	AKT1	207	Downregulation of ERBB2:ERBB3 signaling	REACT:R-HSA-1358803
akt1	AKT1	207	Downregulation of ERBB2 signaling	REACT:R-HSA-8863795
akt1	AKT1	207	Downstream signaling events of B Cell Receptor (BCR)	REACT:R-HSA-1168372
akt1	AKT1	207	Downstream signal transduction	REACT:R-HSA-186763
akt1	AKT1	207	EGFR tyrosine kinase inhibitor resistance	KEGG:hsa01521
akt1	AKT1	207	Endocrine resistance	KEGG:hsa01522
akt1	AKT1	207	Endometrial cancer	KEGG:hsa05213
akt1	AKT1	207	eNOS activation	REACT:R-HSA-203615
akt1	AKT1	207	eNOS activation and regulation	REACT:R-HSA-203765
akt1	AKT1	207	Epstein-Barr virus infection	KEGG:hsa05169
akt1	AKT1	207	ErbB signaling pathway	KEGG:hsa04012
akt1	AKT1	207	Estrogen signaling pathway	KEGG:hsa04915
akt1	AKT1	207	Fc epsilon receptor (FCERI) signaling	REACT:R-HSA-2454202
akt1	AKT1	207	Fc epsilon RI signaling pathway	KEGG:hsa04664
akt1	AKT1	207	Fc gamma R-mediated phagocytosis	KEGG:hsa04666
akt1	AKT1	207	Fluid shear stress and atherosclerosis	KEGG:hsa05418
akt1	AKT1	207	Focal adhesion	KEGG:hsa04510
akt1	AKT1	207	FoxO signaling pathway	KEGG:hsa04068
akt1	AKT1	207	G1/S Transition	REACT:R-HSA-69206
akt1	AKT1	207	GAB1 signalosome	REACT:R-HSA-180292
akt1	AKT1	207	G beta:gamma signalling through PI3Kgamma	REACT:R-HSA-392451
akt1	AKT1	207	Gene Expression	REACT:R-HSA-74160
akt1	AKT1	207	Generic Transcription Pathway	REACT:R-HSA-212436
akt1	AKT1	207	Glioma	KEGG:hsa05214
akt1	AKT1	207	Glucagon signaling pathway	KEGG:hsa04922
akt1	AKT1	207	GPCR downstream signaling	REACT:R-HSA-388396
akt1	AKT1	207	G-protein beta:gamma signalling	REACT:R-HSA-397795
akt1	AKT1	207	GPVI-mediated activation cascade	REACT:R-HSA-114604
akt1	AKT1	207	Hemostasis	REACT:R-HSA-109582
akt1	AKT1	207	Hepatitis B	KEGG:hsa05161
akt1	AKT1	207	Hepatitis C	KEGG:hsa05160
akt1	AKT1	207	HIF-1 signaling pathway	KEGG:hsa04066
akt1	AKT1	207	HTLV-I infection	KEGG:hsa05166
akt1	AKT1	207	IGF1R signaling cascade	REACT:R-HSA-2428924
akt1	AKT1	207	Immune System	REACT:R-HSA-168256
akt1	AKT1	207	Influenza A	KEGG:hsa05164
akt1	AKT1	207	Innate Immune System	REACT:R-HSA-168249
akt1	AKT1	207	Insulin receptor signalling cascade	REACT:R-HSA-74751
akt1	AKT1	207	Insulin resistance	KEGG:hsa04931
