Gene	Matched Name	Matched Type	Accession DB	Accession ID
CK	Creatine kinase level	Synonym		34882
CKB	creatine kinase B	Name		1152
CKBA	creatine kinase, brain a	Name		564694
CKBB	creatine kinase, brain b	Name		140744
CKBE	creatine kinase, ectopic expression	Name		1156
CKB.L	creatine kinase, brain L homeolog	Name		380055
CKBP1	creatine kinase B pseudogene 1	Name		1157
CKB-PS1	creatine kinase, brain, pseudogene 1	Name		100503400
CKB-PS2	creatine kinase, brain, pseudogene 2	Name		12706
CKB.S	creatine kinase, brain S homeolog	Name		108699769
CKM	creatine kinase, M-type	Name		1158
CKM2	creatine kinase-2	Name		100194631
CKMA	creatine kinase, muscle a	Name		30095
CKMB	creatine kinase, muscle b	Name		794752
CKM.L	creatine kinase, M-type L homeolog	Name		379765
CKM.S	creatine kinase, M-type S homeolog	Name		108700198
CKMT1	creatine kinase, mitochondrial 1, ubiquitous	Name		12716
CKMT1A	creatine kinase, mitochondrial 1A	Name		548596
CKMT1B	creatine kinase, mitochondrial 1B	Name		1159
CKMT1B.L	creatine kinase, mitochondrial 1B L homeolog	Name		379216
CKMT1B.S	creatine kinase, mitochondrial 1B S homeolog	Name		380155
CKMT1-PS1	creatine kinase, mitochondrial 1, pseudogene 1	Name		120102518
CKMT2	creatine kinase, mitochondrial 2	Name		1160
CKMT2A	creatine kinase, mitochondrial 2a (sarcomeric)	Name		327506
CKMT2B	creatine kinase, mitochondrial 2b (sarcomeric)	Name		799492
CK-PS2	creatine kinase pseudogene 2	Name		12707
CK-PS3	creatine kinase pseudogene 3	Name		12708
CREAT	Creatine kinase concentration	Synonym		101409882
KCRB	Creatine kinase B-type	Name		100194749
KCRT	Creatine kinase, testis isozyme	Name		100305175
SLC16A12	creatine transporter 2	Synonym		387700
SLC6A10P	creatine transporter-2	Synonym		386757
SLC6A10PB	sodium- and chloride-dependent creatine transporter 1-like	Synonym		653562
SLC6A8	Creatine transporter	Synonym		6535
SLC6A8.L	sodium- and chloride-dependent creatine transporter 1	Synonym		108704805
SLC6A8L	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	Synonym		100127575
SLC6A8L.L	sodium- and chloride-dependent creatine transporter 1	Synonym		108714680
SLC6A8L.S	sodium- and chloride-dependent creatine transporter 1	Synonym		108715888
SLC6A8.S	sodium- and chloride-dependent creatine transporter 1	Synonym		108699985
SRAE_1000331000	Sodium-and chloride-dependent creatine transporter 1	Name		36377422
SRAE_X000081600	Sodium-and chloride-dependent creatine transporter 1	Name		36383871
SRAE_X000196700	Sodium-and chloride-dependent creatine transporter 1	Name		36385037
TCK	creatine kinase	Name		373287
TSP_00144	sodium- and chloride-dependent creatine transporter 1	Name		10901432
