term,p-value,q-value
Sodium Ion Transport (GO:0006814),0.00029031441796761355,0.009482174765756345
Monocarboxylic Acid Metabolic Process (GO:0032787),0.00034480635511841256,0.009482174765756345
Purine Nucleobase Biosynthetic Process (GO:0009113),0.0014992198216206949,0.014426412563566067
Proteasomal Protein Catabolic Process (GO:0010498),0.0017549190604749184,0.014426412563566067
Ribose Phosphate Biosynthetic Process (GO:0046390),0.00179884089014784,0.014426412563566067
Regulation Of Digestive System Process (GO:0044058),0.00179884089014784,0.014426412563566067
Purine-Containing Compound Metabolic Process (GO:0072521),0.002098387281973246,0.014426412563566067
Cellular Modified Amino Acid Biosynthetic Process (GO:0042398),0.002098387281973246,0.014426412563566067
Purine Nucleobase Metabolic Process (GO:0006144),0.0026972559359141816,0.016483230719475554
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),0.0036462329907007438,0.019201695738314952
Positive Regulation Of Transporter Activity (GO:0032411),0.004193119798694676,0.019201695738314952
Regulation Of Secretion (GO:0051046),0.004790942275014269,0.019201695738314952
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),0.004797055817636471,0.019201695738314952
Purine-Containing Compound Biosynthetic Process (GO:0072522),0.005089741453570572,0.019201695738314952
Renal Absorption (GO:0070293),0.0053884659389882355,0.019201695738314952
Nucleotide Biosynthetic Process (GO:0009165),0.005687115738983334,0.019201695738314952
Long-Term Memory (GO:0007616),0.0059856908667451705,0.019201695738314952
Purine Nucleotide Biosynthetic Process (GO:0006164),0.006284191332539439,0.019201695738314952
Modified Amino Acid Transport (GO:0072337),0.008669508668721345,0.02509594614629863
Purine Nucleotide Metabolic Process (GO:0006163),0.010157908740538318,0.027934249036480376
Carboxylic Acid Transmembrane Transport (GO:1905039),0.011644446786079536,0.030497360630208307
Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),0.014019039014764203,0.03416481933189791
Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039),0.014908284799373634,0.03416481933189791
Positive Regulation Of Transport (GO:0051050),0.014908284799373634,0.03416481933189791
Memory (GO:0007613),0.017276340770511572,0.03800794969512546
Monocarboxylic Acid Biosynthetic Process (GO:0072330),0.019344497240045323,0.04092105185394203
Monocarboxylic Acid Transport (GO:0015718),0.02170366274746418,0.044211164855945555
Sodium Ion Transmembrane Transport (GO:0035725),0.024352069500002304,0.04783442223214738
Muscle Contraction (GO:0006936),0.027873983156466782,0.052864450813988724
Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),0.02904559756492306,0.05325026220235894
Positive Regulation Of Metabolic Process (GO:0009893),0.0319694869760854,0.05672005753821603
Regulation Of Cell Motility (GO:2000145),0.03634156214043396,0.06246205992887086
Neuron Projection Morphogenesis (GO:0048812),0.04301344581358425,0.06958057411020982
Regulation Of Cold-Induced Thermogenesis (GO:0120161),0.04301344581358425,0.06958057411020982
Regulation Of Cellular Component Organization (GO:0051128),0.045036361837818166,0.07060806315758293
Peptidyl-Serine Phosphorylation (GO:0018105),0.046479119185675176,0.07060806315758293
Nitrogen Compound Transport (GO:0071705),0.04792005971754639,0.07060806315758293
Peptidyl-Serine Modification (GO:0018209),0.048783752727057296,0.07060806315758293
