gene,tau,kidney_rank_pct,n_comparisons_significant,direction_consistency,nephrosclerosis_log2FC,nephrosclerosis_padj,spearman_rho_vs_TIF_fibrosis,padj_vs_TIF_BH,n_evidence_axes_significant
GATM,0.9191166857141834,0.8703703703703703,5,0.8,-1.87176142857143,0.0016496968351703,-0.5298867636908652,0.0246104121229199,3
PSMB5,0.6000717732575898,0.2592592592592592,2,0.5,0.2397642857142869,0.0401159147116477,-0.722441801687525,0.0011391937449583,3
SLC6A8,0.5772252715380378,0.7777777777777778,4,0.5,-0.9920125000000012,0.0016681978939047,-0.5825721886949463,0.0173232638880966,3
PRPS1,0.6065911190258884,0.1296296296296296,3,0.6666666666666666,0.1929071428571429,0.0280767881374684,-0.4649248506638054,0.0416920613693143,3
AKT3,0.6770336490412382,0.2592592592592592,2,0.5,-0.2194978571428576,0.0138080079099607,0.5642714916678799,0.0173232638880966,3
PSMD3,0.5206518386663594,0.2037037037037037,2,1.0,0.3658846428571429,0.0487645029698455,-0.2649243760108656,0.3099547522045759,2
CKMT2,0.9648726313431836,0.7407407407407407,2,1.0,-0.4957064285714283,0.1081914998261117,-0.504140630007519,0.0255130399827614,2
IGF1,0.8412383668125619,0.2777777777777778,4,0.75,-0.7918807142857149,0.0401159147116477,-0.0392157793437136,0.8556369609341208,2
SGK1,0.7925911188141472,0.5925925925925926,2,1.0,0.2896214285714276,0.2103843878863678,-0.5233127887977791,0.0246104121229199,2
AKT1,0.4580051343037999,0.2962962962962963,2,1.0,0.0208996428571417,0.7030795504786926,0.5119837858762617,0.0255130399827614,2
AKT2,0.6175669170606976,0.4259259259259259,4,0.5,-0.1090460714285699,0.4003550719237048,-0.0516453379372189,0.8556369609341208,1
SLC16A12,0.91374626851094,0.9444444444444444,0,,,,-0.5651429534310737,0.0173232638880966,1
SLC2A4,0.9015151454273672,0.3888888888888889,3,1.0,-0.1859971428571425,0.2449072864861974,-0.2649243760108656,0.3099547522045759,1
CKB,0.7262134457100541,0.4074074074074074,1,1.0,0.1603689285714296,0.5886145457732035,-0.1485842306245151,0.5930128577851651,1
CKM,0.9957396948325992,0.0925925925925925,0,,-0.1373660714285716,0.1012468883947892,-0.2605670671948975,0.3099547522045759,0
CKMT1A,0.8865252612597498,0.5370370370370371,0,,-0.3096925000000006,0.252755091951634,-0.0662310940027164,0.8556369609341208,0
CKMT1B,0.959965828958977,0.5370370370370371,0,,,,0.1560255779031595,0.5930128577851651,0
