gene,present,n_samples,spearman_rho_vs_GFR,pvalue_vs_GFR,spearman_rho_vs_TIF_fibrosis,pvalue_vs_TIF_fibrosis,padj_vs_GFR_BH,padj_vs_TIF_BH
PSMB5,True,24,0.4119182642829072,0.045494065811346074,-0.722441801687525,6.701139676225692e-05,0.13104462299037758,0.0011391937449583677
SLC6A8,True,24,0.2766420444392069,0.19066003504621004,-0.5825721886949463,0.002815589931571957,0.27010171631546426,0.017323263888096664
SLC16A12,True,24,0.3632014262684556,0.08107733421145807,-0.5651429534310737,0.004006780995061775,0.19690209737068387,0.017323263888096664
AKT3,True,24,-0.7298826266808007,5.1651189238328076e-05,0.5642714916678799,0.004076062091316862,0.0008780702170515773,0.017323263888096664
GATM,True,24,0.6916378930627817,0.0001815358721797219,-0.5298867636908652,0.0077404215762478315,0.001543054913527636,0.024610412122919933
SGK1,True,24,0.34014792256518844,0.10387782932264047,-0.5233127887977791,0.008686027808089388,0.21169696854777056,0.024610412122919933
AKT1,True,24,-0.5280557263352157,0.007994748663268655,0.5119837858762617,0.010540044790961843,0.03397768181889178,0.025513039982761478
CKMT2,True,24,0.18486300139412415,0.38715821502799075,-0.504140630007519,0.012006136462475989,0.4032574999270106,0.025513039982761478
PRPS1,True,24,0.2931709716226816,0.16442572662083388,-0.4649248506638054,0.022072267783754672,0.2541124865958342,0.04169206136931438
SLC2A4,True,24,0.5480644276625798,0.0055607814228695734,-0.26492437601086566,0.210907150444865,0.03151109472959425,0.30995475220457597
PSMD3,True,24,0.41061334897894863,0.04625104340836855,-0.26492437601086566,0.210907150444865,0.13104462299037758,0.30995475220457597
CKM,True,24,0.2575032866478153,0.22445178238072977,-0.2605670671948975,0.21879158979146537,0.29351386926710815,0.30995475220457597
CKMT1B,True,24,-0.21970851074547423,0.30227754000999923,0.1560255779031595,0.4665900137922433,0.3449326307624523,0.5930128577851651
CKB,True,24,0.3223140800777553,0.1245276285575121,-0.1485842306245151,0.48836352994072424,0.21169696854777056,0.5930128577851651
CKMT1A,True,24,-0.21879079929704573,0.3043523212609873,-0.06623109400271641,0.7584770133882712,0.3449326307624523,0.8556369609341208
AKT2,True,24,0.3226017043916221,0.12417263129784131,-0.05164533793721899,0.8105919313890096,0.21169696854777056,0.8556369609341208
IGF1,True,24,0.17877339664231767,0.4032574999270106,-0.03921577934371367,0.8556369609341208,0.4032574999270106,0.8556369609341208
