Gene.symbol,log2FC,neglog10P,comparison,direction
IGF1,-0.827,8.51,TXvsControl,down
SLC2A4,-0.793,6.551,TXvsControl,down
GATM,-2.265,6.544,ST2_Tumor_vs_Normal,down
AKT1,0.383,5.086,TXvsControl,up
IGF1,-0.635,5.068,TXvsNR,down
AKT2,0.737,4.972,ARvsTX,up
GATM,-2.993,4.798,ARvsTX,down
PRPS1,0.733,4.725,TXvsControl,up
AKT1,0.386,4.545,ARvsControl,up
SLC2A4,-0.695,4.434,TXvsNR,down
GATM,-2.393,4.408,ARvsControl,down
SLC6A8,-0.588,4.174,TXvsNR,down
GATM,-1.462,3.916,ST1_Tumor_vs_Normal,down
IGF1,-0.486,3.879,ARvsControl,down
CKMT2,-0.622,3.804,ARvsTX,down
PRPS1,-0.668,3.792,ARvsTX,down
AKT2,-0.61,3.639,TXvsControl,down
CKMT2,-1.73,3.588,ST1_Tumor_vs_Normal,down
SLC6A8,1.443,3.407,ST1_Tumor_vs_Normal,up
PSMB5,-0.623,3.392,ARvsTX,down
PSMD3,-0.369,3.348,ARvsTX,down
AKT2,-0.612,3.343,TXvsNR,down
SLC6A8,0.45,3.286,ARvsTX,up
SLC6A8,-0.366,3.237,TXvsControl,down
PRPS1,0.64,3.064,TXvsNR,up
SLC2A4,-0.478,2.971,ARvsControl,down
SGK1,-0.474,2.622,ARvsTX,down
CKB,-0.355,2.593,ARvsControl,down
IGF1,0.341,2.585,ARvsTX,up
SGK1,-0.458,2.416,ARvsControl,down
PSMB5,0.455,2.36,TXvsControl,up
PSMD3,-0.507,2.129,ST2_Tumor_vs_Normal,down
AKT3,-0.64,2.105,ST2_Tumor_vs_Normal,down
GATM,1.684,2.035,TXvsNR,up
AKT2,0.394,2.03,ARvsControl,up
AKT3,0.275,1.982,ARvsTX,up
