gene,n_comparisons_significant,n_comparisons_total,n_up,n_down,direction_consistency,mean_abs_log2FC,comparisons
GATM,5,7,1,4,0.8,2.1593999999999998,ST2_Tumor_vs_Normal:down;ARvsTX:down;ARvsControl:down;ST1_Tumor_vs_Normal:down;TXvsNR:up
IGF1,4,7,1,3,0.75,0.57225,TXvsControl:down;TXvsNR:down;ARvsControl:down;ARvsTX:up
SLC6A8,4,7,2,2,0.5,0.7117500000000001,TXvsNR:down;ST1_Tumor_vs_Normal:up;ARvsTX:up;TXvsControl:down
AKT2,4,7,2,2,0.5,0.58825,ARvsTX:up;TXvsControl:down;TXvsNR:down;ARvsControl:up
SLC2A4,3,7,0,3,1.0,0.6553333333333333,TXvsControl:down;TXvsNR:down;ARvsControl:down
PRPS1,3,7,2,1,0.6666666666666666,0.6803333333333333,TXvsControl:up;ARvsTX:down;TXvsNR:up
AKT1,2,7,2,0,1.0,0.3845,TXvsControl:up;ARvsControl:up
PSMD3,2,7,0,2,1.0,0.438,ARvsTX:down;ST2_Tumor_vs_Normal:down
SGK1,2,7,0,2,1.0,0.46599999999999997,ARvsTX:down;ARvsControl:down
CKMT2,2,7,0,2,1.0,1.176,ARvsTX:down;ST1_Tumor_vs_Normal:down
AKT3,2,7,1,1,0.5,0.4575,ST2_Tumor_vs_Normal:down;ARvsTX:up
PSMB5,2,7,1,1,0.5,0.539,ARvsTX:down;TXvsControl:up
CKB,1,7,0,1,1.0,0.355,ARvsControl:down
CKM,0,7,0,0,,,
CKMT1A,0,7,0,0,,,
CKMT1B,0,7,0,0,,,
SLC16A12,0,7,0,0,,,
