gene,probe,log2FC_NSCvsTN,pvalue,tn_mean,nsc_mean,n_probes,padj_BH
GATM,216733_s_at,-1.8717614285714301,6.34498782757813e-05,12.357850000000001,10.48608857142857,,0.0016496968351703135
SLC6A8,202219_at,-0.9920125000000013,0.00012832291491574911,10.0547125,9.0627,,0.0016681978939047386
GATM,203178_at,-1.530046071428572,0.00025655652747799717,10.3444275,8.814381428571428,,0.0022234899048093086
SLC6A8,213843_x_at,-0.6016185714285713,0.0019252724537751295,7.84341,7.241791428571429,,0.012514270949538341
AKT3,219393_s_at,-0.21949785714285763,0.0026553861365309107,6.057605,5.838107142857142,,0.013808007909960736
PRPS1,209440_at,0.19290714285714294,0.0065518436009499685,9.799325,9.992232142857143,,0.028076788137468466
SLC6A8,210854_x_at,-0.6293421428571433,0.007598839665173329,7.892355,7.263012857142857,,0.028076788137468466
AKT3,212609_s_at,0.5046267857142848,0.008639011734605682,9.6939775,10.198604285714286,,0.028076788137468466
IGF1,209540_at,-0.7918807142857149,0.015411430864007529,8.394885,7.603004285714285,,0.04011591471164771
PSMB5,208799_at,0.23976428571428698,0.015429197966018349,11.437149999999999,11.676914285714286,,0.04011591471164771
PSMD3,201388_at,0.36588464285714295,0.020631135871857727,7.8536175,8.219502142857143,,0.04876450296984554
CKM,204810_s_at,-0.1373660714285716,0.05053687910779842,5.6678275,5.530461428571428,,0.10124688839478924
IGF1,209541_at,-0.7442764285714283,0.05062344419739462,9.994895,9.250618571428571,,0.10124688839478924
CKMT2,205295_at,-0.4957064285714283,0.061005667496770846,6.616029999999999,6.120323571428571,,0.10819149982611179
PRPS1,208447_s_at,0.17558928571428467,0.06241817297660295,7.27626,7.451849285714284,,0.10819149982611179
SGK1,201739_at,0.2896214285714276,0.12946731562238017,12.49975,12.789371428571428,,0.2103843878863678
SLC2A4,206603_at,-0.18599714285714253,0.1601316873178983,5.7529,5.566902857142858,,0.24490728648619742
CKMT1A,202712_s_at,-0.3096925000000006,0.1749842944280543,6.8426225,6.5329299999999995,,0.252755091951634
AKT2,203808_at,-0.10904607142856992,0.2925671679442458,5.7246025,5.61555642857143,,0.4003550719237048
IGF1,209542_x_at,-0.16136642857142824,0.4362355830040178,7.307695,7.146328571428572,,0.5671062579052232
CKB,200884_at,0.1603689285714296,0.5007750949011645,9.5507025,9.71107142857143,,0.5886145457732035
IGF1,211577_s_at,-0.08791964285714293,0.5096494024264836,6.8481825,6.760262857142857,,0.5886145457732035
AKT2,211453_s_at,0.03357607142857155,0.5206974827993723,6.3279075,6.361483571428572,,0.5886145457732035
AKT3,212607_at,0.059637142857145164,0.6504960347102153,10.144274999999999,10.203912142857144,,0.7030795504786926
AKT1,207163_s_at,0.020899642857141743,0.6760380293064352,9.5871825,9.608082142857143,,0.7030795504786926
AKT2,203809_s_at,0.03161285714285711,0.724444237030443,5.4096,5.441212857142857,,0.724444237030443
CKMT1B,,,,,,0.0,
SLC16A12,,,,,,0.0,
