Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sodium Ion Transport (GO:0006814)	2/89	2.9031441796761355E-4	0.009482174765756345	0	0	114.4080459770115	931.8015957944161	SLC6A8;SGK1
Monocarboxylic Acid Metabolic Process (GO:0032787)	2/97	3.4480635511841256E-4	0.009482174765756345	0	0	104.73157894736842	834.9754024954899	GATM;SLC6A8
Purine Nucleobase Biosynthetic Process (GO:0009113)	1/5	0.0014992198216206949	0.014426412563566067	0	0	999.5	6499.5590198897235	PRPS1
Proteasomal Protein Catabolic Process (GO:0010498)	2/220	0.0017549190604749184	0.014426412563566067	0	0	45.357798165137616	287.8103127540908	PSMB5;PSMD3
Ribose Phosphate Biosynthetic Process (GO:0046390)	1/6	0.00179884089014784	0.014426412563566067	0	0	799.56	5053.709147518722	PRPS1
Regulation Of Digestive System Process (GO:0044058)	1/6	0.00179884089014784	0.014426412563566067	0	0	799.56	5053.709147518722	SGK1
Purine-Containing Compound Metabolic Process (GO:0072521)	1/7	0.002098387281973246	0.014426412563566067	0	0	666.2666666666667	4108.590825691207	PRPS1
Cellular Modified Amino Acid Biosynthetic Process (GO:0042398)	1/7	0.002098387281973246	0.014426412563566067	0	0	666.2666666666667	4108.590825691207	GATM
Purine Nucleobase Metabolic Process (GO:0006144)	1/9	0.0026972559359141816	0.016483230719475554	0	0	499.65	2955.689739283532	PRPS1
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	2/319	0.0036462329907007438	0.019201695738314952	0	0	31.036277602523658	174.23954641438343	PSMB5;PSMD3
Positive Regulation Of Transporter Activity (GO:0032411)	1/14	0.004193119798694676	0.019201695738314952	0	0	307.4	1682.8029678019434	SGK1
Regulation Of Secretion (GO:0051046)	1/16	0.004790942275014269	0.019201695738314952	0	0	266.38666666666666	1422.7786907214238	SGK1
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	2/367	0.004797055817636471	0.019201695738314952	0	0	26.889041095890413	143.58083572346186	PSMB5;PSMD3
Purine-Containing Compound Biosynthetic Process (GO:0072522)	1/17	0.005089741453570572	0.019201695738314952	0	0	249.725	1318.6799159042428	PRPS1
Renal Absorption (GO:0070293)	1/18	0.0053884659389882355	0.019201695738314952	0	0	235.0235294117647	1227.644124299904	SGK1
Nucleotide Biosynthetic Process (GO:0009165)	1/19	0.005687115738983334	0.019201695738314952	0	0	221.95555555555555	1147.4107993095174	PRPS1
Long-Term Memory (GO:0007616)	1/20	0.0059856908667451705	0.019201695738314952	0	0	210.26315789473685	1076.2074808846232	SGK1
Purine Nucleotide Biosynthetic Process (GO:0006164)	1/21	0.006284191332539439	0.019201695738314952	0	0	199.74	1012.6254955871668	PRPS1
Modified Amino Acid Transport (GO:0072337)	1/29	0.008669508668721345	0.02509594614629863	0	0	142.61428571428573	677.1245223853919	SLC6A8
Purine Nucleotide Metabolic Process (GO:0006163)	1/34	0.010157908740538318	0.027934249036480376	0	0	120.97575757575757	555.2185648964451	PRPS1
Carboxylic Acid Transmembrane Transport (GO:1905039)	1/39	0.011644446786079536	0.030497360630208307	0	0	105.03157894736842	467.6978364624713	SLC6A8
Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)	1/47	0.014019039014764203	0.03416481933189791	0	0	86.7304347826087	370.1081619438501	SGK1
Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039)	1/50	0.014908284799373634	0.03416481933189791	0	0	81.40816326530613	342.3895623444841	SGK1
