Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transferase Complex, Transferring Phosphorus-Containing Groups (GO:0061695)	1/9	0.0026972559359141816	0.029669815295056	0	0	499.65	2955.689739283532	PRPS1
Mitochondrial Intermembrane Space (GO:0005758)	1/62	0.018458588977028522	0.07417571030652208	0	0	65.35409836065574	260.90829732586	GATM
Organelle Envelope Lumen (GO:0031970)	1/68	0.02022973917450602	0.07417571030652208	0	0	59.483582089552236	232.02175076653654	GATM
Cytoplasmic Vesicle Lumen (GO:0060205)	1/115	0.03401184105762086	0.07885798399157112	0	0	34.87719298245614	117.92141295805094	PSMD3
Ficolin-1-Rich Granule Lumen (GO:1904813)	1/123	0.03634156214043396	0.07885798399157112	0	0	32.57704918032787	107.98618208071476	PSMD3
Mitochondrial Envelope (GO:0005740)	1/146	0.04301344581358425	0.07885798399157112	0	0	27.37793103448276	86.13761069822426	GATM
Ficolin-1-Rich Granule (GO:0101002)	1/184	0.05395221153779568	0.08478204670225035	0	0	21.65136612021858	63.214553900081434	PSMD3
Secretory Granule Lumen (GO:0034774)	1/316	0.09114399790985638	0.12532299712605252	0	0	12.494603174603174	29.928505761662493	PSMD3
Nucleus (GO:0005634)	3/4487	0.1309954233914112	0.1601055174783915	0	0	3.458965209634255	7.030668099935543	PSMB5;PSMD3;SGK1
Intracellular Membrane-Bounded Organelle (GO:0043231)	3/5175	0.1834853726416048	0.2018339099057653	0	0	2.865815931941222	4.859335749902665	PSMB5;PSMD3;SGK1
Intracellular Organelle Lumen (GO:0070013)	1/856	0.23086634248002338	0.23086634248002338	0	0	4.4769590643274855	6.562847445455738	PSMD3
