Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
macrophage - Heart	3/103	8.558724851199656E-5	0.0013050178709848516	0	0	42.60642857142857	399.0507129651805	CKMT2;CKM;SLC2A4
neuronal - Heart	3/103	8.558724851199656E-5	0.0013050178709848516	0	0	42.60642857142857	399.0507129651805	CKMT2;GATM;IGF1
Kidney Interstitial fibroblast - Kidney	3/104	8.808317003142788E-5	0.0013050178709848516	0	0	42.18246110325318	393.86730230343085	GATM;SLC16A12;IGF1
Cardiac Muscle cell - Heart	3/105	9.06262410406147E-5	0.0013050178709848516	0	0	41.766806722689076	388.7974617006561	CKMT2;CKM;SLC2A4
Basal cell - Skin	3/105	9.06262410406147E-5	0.0013050178709848516	0	0	41.766806722689076	388.7974617006561	CKMT1A;AKT2;CKMT1B
Gastrin Secreting cell - Pancreas	2/101	0.0032684109262669566	0.022655611815195546	0	0	26.77979797979798	153.27287136771164	CKMT1A;CKMT1B
Stratified Cuboidal Epithelial cell - Liver	2/102	0.0033321166769984686	0.022655611815195546	0	0	26.510666666666665	151.2207540022897	SLC6A8;CKB
Connecting Tubule Intercalated Cell Type A - Kidney	2/103	0.0033964046824717384	0.022655611815195546	0	0	26.246864686468648	149.2144192699383	CKMT2;SLC16A12
OPC L1-6 PDGFRA COL20A1 - Brain	2/103	0.0033964046824717384	0.022655611815195546	0	0	26.246864686468648	149.2144192699383	SLC6A8;CKB
Kidney Outer Medulla Collecting Duct Intercalated cell - Kidney	2/104	0.0034612740273215416	0.022655611815195546	0	0	25.988235294117647	147.2524218660231	CKMT2;SLC16A12
Uterine Natural Killer cell - Uterus	2/104	0.0034612740273215416	0.022655611815195546	0	0	25.988235294117647	147.2524218660231	SLC2A4;CKB
Epithelial Cell Of Proximal tubule - Kidney	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	GATM
Adult Endothelial Progenitor cell - Respiratory System	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	IGF1
Afferent neuron - Liver	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	SLC6A8
erythrocyte - Spleen	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	GATM
Schwann cell - Heart	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	CKB
Plasma cell - Fallopian Tube	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	CKB
Lens Epithelial cell - Eye	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	GATM
Secondary Lens fiber - Eye	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	PSMD3
Retinal Rod cell - Eye	1/101	0.0824990961274289	0.08762903156238577	0	0	12.426875	31.004654740919353	SLC16A12
absorptive - Small Intestine	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Vascular Smooth muscle - Prostate Gland	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	AKT3
Bronchial Smooth Muscle cell - Respiratory System	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	IGF1
Capsule Mesenchymal Stromal cell - Kidney	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	PSMD3
Proximal Tubule Epithelial Cell Segment 1 - Kidney	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Proximal Tubule Epithelial Cell Segment 2 - Kidney	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Kidney Distal Convoluted Tubule Epithelial cell - Kidney	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Distal Convoluted Tubule Cell Type 1 - Kidney	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	SLC16A12
Periportal Region hepatocyte - Liver	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Valve Interstitial cell - Heart	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	SLC6A8
Renal Interstitial pericyte - Kidney	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	IGF1
Cytotoxic T Cell - Placenta	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Regulatory T cell - Lymph Node	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	SGK1
Oligo L2-6 OPALIN MAP6D1 - Brain	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	GATM
Astro L1-6 FGFR3 PLCG1 - Brain	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	CKMT2
Perineurial cells - Skin	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	IGF1
Diffuse Bipolar 3B cell - Eye	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	IGF1
Perineural cell - Skin	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	IGF1
Inh L1-6 VIP SLC7A6OS - Brain	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	PRPS1
Perivascular Support cell - Uterus	1/102	0.08328292883718645	0.08762903156238577	0	0	12.303217821782178	30.57979168054389	CKB
