DiseaseID	 Count	Disease Term
D007676   	77	Kidney Failure/ Chronic
D007674   	77	Kidney Diseases
D007680   	77	Kidney Neoplasms
D007683   	77	Kidney Tubular Necrosis/ Acute
D058186   	77	Acute Kidney Injury
D007681   	66	Kidney Papillary Necrosis
D007673   	66	Kidney Cortex Necrosis
D007669   	60	Kidney Calculi
D052177   	40	Kidney Diseases/ Cystic
C537152   	32	Hypomagnesemia 2/ renal [Supplementary Concept]
D007690   	32	Polycystic Kidney Diseases
D021782   	32	Multicystic Dysplastic Kidney
D012080   	10	Chronic Kidney Disease-Mineral and Bone Disorder
C538445   	9	Clear-cell metastatic renal cell carcinoma [Supplementary Concept]
D000092702	8	Chronic Kidney Diseases of Uncertain Etiology
D016891   	3	Polycystic Kidney/ Autosomal Dominant
C531755   	1	Kidney disorder involving deposition of calcium and oxalate or phosphate in the renal tubules
