# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DirectEvidence	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
psmb5	Abdominal Injuries	MESH:D000007	PSMB5	5693	Wounds and injuries		Resveratrol	4.23		18277952
psmb5	Abdominal Neoplasms	MESH:D000008	PSMB5	5693	Cancer		Sulindac	9.85		14745880
psmb5	Abdominal Neoplasms	MESH:D000008	PSMB5	5693	Cancer		Tamoxifen	9.85		14745880
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Acetaminophen	34.01		11209028|11438806|16187469|29499192|8104298
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Arsenic	34.01		24735908
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Clozapine	34.01		1957942|9617515
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Copper	34.01		12600855
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Doxorubicin	34.01		3712578|6542584
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Heparin	34.01		19309387|4326840|4351955
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		nimesulide	34.01		14655069
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Ritonavir	34.01		12473836
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Smoke	34.01		18608866
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		sodium arsenite	34.01		30612929
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Tamoxifen	34.01		2578557
psmb5	Abdominal Pain	MESH:D015746	PSMB5	5693	Signs and symptoms		Valproic Acid	34.01		6206716
psmb5	Aberrant Crypt Foci	MESH:D058739	PSMB5	5693	Cancer		chlorophyllin	15.08		12628520
psmb5	Aberrant Crypt Foci	MESH:D058739	PSMB5	5693	Cancer		Copper	15.08		11983831
psmb5	Aberrant Crypt Foci	MESH:D058739	PSMB5	5693	Cancer		Resveratrol	15.08		16733082
psmb5	Aberrant Crypt Foci	MESH:D058739	PSMB5	5693	Cancer		Sulindac	15.08		29999212
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		4,4'-hexafluorisopropylidene diphenol	87.81		29458080
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Acetaminophen	87.81		2213573
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		bisphenol A	87.81		20299547|20970156|21269433|25853433|29458080
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Cannabidiol	87.81		29106691
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Dibutyl Phthalate	87.81		22027561
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Diethylhexyl Phthalate	87.81		20420898|25853433|6734493
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Diethylstilbestrol	87.81		1171234|20002218
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Doxorubicin	87.81		10674343|15578190
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Dronabinol	87.81		29106691
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Estradiol	87.81		12507662|29458080
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Ethinyl Estradiol	87.81		29458080
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Isotretinoin	87.81		12149069|18769834|8048045
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate	87.81		21346248
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		pentabromodiphenyl ether	87.81		20375078
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Pentachlorophenol	87.81		29458080
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		perfluorooctane sulfonic acid	87.81		29458080
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Phenobarbital	87.81		15123016|15644835|17584909|1893664|2055617|424928|4441320|6195326|6462788
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Piperonyl Butoxide	87.81		19851987
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Smoke	87.81		16193507
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Tetrachlorodibenzodioxin	87.81		11091363|11752688|14514962|15322242|19805408|21777668|23811824
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Thiram	87.81		20045017
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Tobacco Smoke Pollution	87.81		27576004
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Trichloroethylene	87.81		19910388
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Trinitrotoluene	87.81		7525203
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		Valproic Acid	87.81		11091363|11223853|11339465|11986102|12196666|12237071|1363493|1377411|15123016|15208813|1574164|1574165|15901671|15955936|16112698|16239295|17320131|1893664|19174036|19507301|19850124|20025093|2284927|23888923|2499680|3080718|3140405|3142446|6126782|6147468|6150384|6401849|6412342|6428923|7687042|7852547|8363144|8816215|8875741|8935868|9344057
psmb5	Abnormalities, Drug-Induced	MESH:D000014	PSMB5	5693	Congenital abnormality		vinclozolin	87.81		25853433|29458080|32827888
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		2,2',4,4'-tetrabromodiphenyl ether	60.04		20566336
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Atrazine	60.04		20809547
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		bisphenol A	60.04		23637088|27107150|27486708|30248606
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Chlorpyrifos	60.04		23637088
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Copper	60.04		12604640
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Dibutyl Phthalate	60.04		22975441
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Estradiol	60.04		27107150
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Glyphosate	60.04		20695457
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Isotretinoin	60.04		18769834
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Particulate Matter	60.04		28391149
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		perfluorooctane sulfonic acid	60.04		24667235
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		perfluorooctanoic acid	60.04		31494276
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Phenobarbital	60.04		2492459
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Polycyclic Aromatic Hydrocarbons	60.04		29630969
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Tetrachlorodibenzodioxin	60.04		10048156|20566336|23811824|30398377
psmb5	Abnormalities, Multiple	MESH:D000015	PSMB5	5693	Congenital abnormality		Valproic Acid	60.04		11223853|15901671|19490988|23811354|2492459|6439041|8363144
psmb5	Abnormalities, Severe Teratoid	MESH:D009008	PSMB5	5693	Congenital abnormality		Acetaminophen	3.14		20566340
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Arsenic	25.25		12934964|20940111|22426358
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Chlorpyrifos	25.25		36769379
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Diethylhexyl Phthalate	25.25		22588786
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Diethylstilbestrol	25.25		10209454|79882
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Heparin	25.25		15592302|15671997
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Isotretinoin	25.25		3162101
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		perfluorooctanoic acid	25.25		23978332|32319790
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		sodium arsenite	25.25		17569693
psmb5	Abortion, Spontaneous	MESH:D000022	PSMB5	5693	Pregnancy complication		Vehicle Emissions	25.25		20049215
psmb5	Abruptio Placentae	MESH:D000037	PSMB5	5693	Pregnancy complication		Phenobarbital	3.42		19047607
psmb5	Accutane embryopathy	MESH:C535670	PSMB5	5693	Congenital abnormality		Isotretinoin	5.13		11105626|15864947|2278026|2933136|3162101|6237184|6591112|7499738
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Acetaminophen	30.37		10092726|3403780|8214766
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Ammonium Chloride	30.37		18287403
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		benzyloxycarbonylleucyl-leucyl-leucine aldehyde	30.37		29618784
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Copper	30.37		11820775
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Diethylhexyl Phthalate	30.37		22672789
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Lactic Acid	30.37		18406487|20872349
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Ritonavir	30.37		12473836
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Theophylline	30.37		3769383|6506685
psmb5	Acidosis	MESH:D000138	PSMB5	5693	Metabolic disease		Valproic Acid	30.37		11891102
psmb5	Acidosis, Lactic	MESH:D000140	PSMB5	5693	Metabolic disease		Acetaminophen	26.95		10447915|18609519
psmb5	Acidosis, Lactic	MESH:D000140	PSMB5	5693	Metabolic disease		Clozapine	26.95		9034416
psmb5	Acidosis, Lactic	MESH:D000140	PSMB5	5693	Metabolic disease		Glucose	26.95		19427052
psmb5	Acidosis, Lactic	MESH:D000140	PSMB5	5693	Metabolic disease		Lactic Acid	26.95		11356440
psmb5	Acidosis, Lactic	MESH:D000140	PSMB5	5693	Metabolic disease		Lipopolysaccharides	26.95		9445295
