GeneSymbol	DiseaseID
AKT1	"['MESH:D058186' 'MESH:D012080' 'MESH:D000092702' 'MESH:D007669'
 'MESH:D007673' 'MESH:D007674' 'MESH:D052177' 'MESH:C531755'
 'MESH:D007676' 'MESH:D007680' 'MESH:D007681' 'MESH:D007683'
 'MESH:D021782' 'MESH:D016891' 'MESH:D007690' 'MESH:C538445'
 'MESH:C537152']"
AKT2	"['MESH:D058186' 'MESH:D007669' 'MESH:D007673' 'MESH:D007674'
 'MESH:D052177' 'MESH:D007676' 'MESH:D007680' 'MESH:D007681'
 'MESH:D007683' 'MESH:D021782' 'MESH:D016891' 'MESH:D007690'
 'MESH:C538445' 'MESH:C537152']"
AKT3	"['MESH:D058186' 'MESH:D007669' 'MESH:D007673' 'MESH:D007674'
 'MESH:D007676' 'MESH:D007680' 'MESH:D007681' 'MESH:D007683'
 'MESH:D007690' 'MESH:C538445' 'MESH:C537152']"
GATM	"['MESH:D058186' 'MESH:D007669' 'MESH:D007673' 'MESH:D007674'
 'MESH:D052177' 'MESH:D007676' 'MESH:D007680' 'MESH:D007681'
 'MESH:D007683' 'MESH:D021782' 'MESH:D007690' 'MESH:C537152']"
IGF1	"['MESH:D058186' 'MESH:D012080' 'MESH:D000092702' 'MESH:D007669'
 'MESH:D007673' 'MESH:D007674' 'MESH:D052177' 'MESH:D007676'
 'MESH:D007680' 'MESH:D007681' 'MESH:D007683' 'MESH:D021782'
 'MESH:D016891' 'MESH:D007690' 'MESH:C538445' 'MESH:C537152']"
PRPS1	"['MESH:D058186' 'MESH:D007673' 'MESH:D007674' 'MESH:D007676'
 'MESH:D007680' 'MESH:D007681' 'MESH:D007683' 'MESH:D021782'
 'MESH:C538445']"
PSMB5	"['MESH:D058186' 'MESH:D000092702' 'MESH:D007669' 'MESH:D007673'
 'MESH:D007674' 'MESH:D052177' 'MESH:D007676' 'MESH:D007680'
 'MESH:D007681' 'MESH:D007683' 'MESH:D021782' 'MESH:C538445']"
PSMD3	"['MESH:D058186' 'MESH:D007669' 'MESH:D007673' 'MESH:D007674'
 'MESH:D007676' 'MESH:D007680' 'MESH:D007681' 'MESH:D007683']"
SGK1	"['MESH:D058186' 'MESH:D012080' 'MESH:D007669' 'MESH:D007673'
 'MESH:D007674' 'MESH:D052177' 'MESH:D007676' 'MESH:D007680'
 'MESH:D007681' 'MESH:D007683' 'MESH:D021782' 'MESH:D007690'
 'MESH:C538445' 'MESH:C537152']"
SLC2A4	"['MESH:D058186' 'MESH:D012080' 'MESH:D000092702' 'MESH:D007669'
 'MESH:D007673' 'MESH:D007674' 'MESH:D052177' 'MESH:D007676'
 'MESH:D007680' 'MESH:D007681' 'MESH:D007683' 'MESH:D007690'
 'MESH:C538445' 'MESH:C537152']"
SLC6A8	"['MESH:D058186' 'MESH:D012080' 'MESH:D007669' 'MESH:D007673'
 'MESH:D007674' 'MESH:D052177' 'MESH:D007676' 'MESH:D007680'
 'MESH:D007681' 'MESH:D007683' 'MESH:D021782' 'MESH:D007690'
 'MESH:C538445' 'MESH:C537152']"
