GeneSymbol	DiseaseID
AKT1	MESH:D058186
AKT1	MESH:D012080
AKT1	MESH:D000092702
AKT1	MESH:D007669
AKT1	MESH:D007673
AKT1	MESH:D007674
AKT1	MESH:D052177
AKT1	MESH:C531755
AKT1	MESH:D007676
AKT1	MESH:D007680
AKT1	MESH:D007681
AKT1	MESH:D007683
AKT1	MESH:D021782
AKT1	MESH:D016891
AKT1	MESH:D007690
AKT1	MESH:C538445
AKT1	MESH:C537152
AKT2	MESH:D058186
AKT2	MESH:D007669
AKT2	MESH:D007673
AKT2	MESH:D007674
AKT2	MESH:D052177
AKT2	MESH:D007676
AKT2	MESH:D007680
AKT2	MESH:D007681
AKT2	MESH:D007683
AKT2	MESH:D021782
AKT2	MESH:D016891
AKT2	MESH:D007690
AKT2	MESH:C538445
AKT2	MESH:C537152
AKT3	MESH:D058186
AKT3	MESH:D007669
AKT3	MESH:D007673
AKT3	MESH:D007674
AKT3	MESH:D007676
AKT3	MESH:D007680
AKT3	MESH:D007681
AKT3	MESH:D007683
AKT3	MESH:D007690
AKT3	MESH:C538445
AKT3	MESH:C537152
GATM	MESH:D058186
GATM	MESH:D007669
GATM	MESH:D007673
GATM	MESH:D007674
GATM	MESH:D052177
GATM	MESH:D007676
GATM	MESH:D007680
GATM	MESH:D007681
GATM	MESH:D007683
GATM	MESH:D021782
GATM	MESH:D007690
GATM	MESH:C537152
IGF1	MESH:D058186
IGF1	MESH:D012080
IGF1	MESH:D000092702
IGF1	MESH:D007669
IGF1	MESH:D007673
IGF1	MESH:D007674
IGF1	MESH:D052177
IGF1	MESH:D007676
IGF1	MESH:D007680
IGF1	MESH:D007681
IGF1	MESH:D007683
IGF1	MESH:D021782
IGF1	MESH:D016891
IGF1	MESH:D007690
IGF1	MESH:C538445
IGF1	MESH:C537152
PRPS1	MESH:D058186
PRPS1	MESH:D007673
PRPS1	MESH:D007674
PRPS1	MESH:D007676
PRPS1	MESH:D007680
PRPS1	MESH:D007681
PRPS1	MESH:D007683
PRPS1	MESH:D021782
PRPS1	MESH:C538445
PSMB5	MESH:D058186
PSMB5	MESH:D000092702
PSMB5	MESH:D007669
PSMB5	MESH:D007673
PSMB5	MESH:D007674
PSMB5	MESH:D052177
PSMB5	MESH:D007676
PSMB5	MESH:D007680
PSMB5	MESH:D007681
PSMB5	MESH:D007683
PSMB5	MESH:D021782
PSMB5	MESH:C538445
PSMD3	MESH:D058186
PSMD3	MESH:D007669
PSMD3	MESH:D007673
PSMD3	MESH:D007674
PSMD3	MESH:D007676
PSMD3	MESH:D007680
PSMD3	MESH:D007681
PSMD3	MESH:D007683
SGK1	MESH:D058186
SGK1	MESH:D012080
SGK1	MESH:D007669
SGK1	MESH:D007673
SGK1	MESH:D007674
SGK1	MESH:D052177
SGK1	MESH:D007676
SGK1	MESH:D007680
SGK1	MESH:D007681
SGK1	MESH:D007683
SGK1	MESH:D021782
SGK1	MESH:D007690
SGK1	MESH:C538445
SGK1	MESH:C537152
SLC2A4	MESH:D058186
SLC2A4	MESH:D012080
SLC2A4	MESH:D000092702
SLC2A4	MESH:D007669
SLC2A4	MESH:D007673
SLC2A4	MESH:D007674
SLC2A4	MESH:D052177
SLC2A4	MESH:D007676
SLC2A4	MESH:D007680
SLC2A4	MESH:D007681
SLC2A4	MESH:D007683
SLC2A4	MESH:D007690
SLC2A4	MESH:C538445
SLC2A4	MESH:C537152
SLC6A8	MESH:D058186
SLC6A8	MESH:D012080
SLC6A8	MESH:D007669
SLC6A8	MESH:D007673
SLC6A8	MESH:D007674
SLC6A8	MESH:D052177
SLC6A8	MESH:D007676
SLC6A8	MESH:D007680
SLC6A8	MESH:D007681
SLC6A8	MESH:D007683
SLC6A8	MESH:D021782
SLC6A8	MESH:D007690
SLC6A8	MESH:C538445
SLC6A8	MESH:C537152
