ID  Sample  State
GSM146778   Stage1  Normal
GSM146779   Stage1  Tumor
GSM146780   Stage1  Normal
GSM146781   Stage1  Tumor
GSM146782   Stage1  Normal
GSM146783   Stage1  Tumor
GSM146784   Stage1  Normal
GSM146785   Stage1  Tumor
GSM146786   Stage1  Normal
GSM146787   Stage1  Tumor
GSM146788   Stage2  Tumor
GSM146789   Stage2  Normal
GSM146790   Stage2  Normal
GSM146791   Stage2  Tumor
GSM146792   Stage2  Normal
GSM146793   Stage2  Tumor
GSM146794   Stage2  Normal
GSM146795   Stage2  Tumor
GSM146796   Stage2  Normal
GSM146797   Stage2  Tumor
