#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
GATM	creatine	1858414	-586	9606.ENSP00000379895	-1.CID000000586	0	0	0	0	0	0	0.900	0.947	0	0.993339990222596
CKB	creatine	1848031	-586	9606.ENSP00000299198	-1.CID000000586	0	0	0	0	0	0.800	0.900	0.867	0	0.970729865468654
SLC6A8	creatine	1844202	-586	9606.ENSP00000253122	-1.CID000000586	0	0	0	0	0	0	0.900	0.880	0	0.949839144222766
GAMT	creatine	1860415	-586	9606.ENSP00000403536	-1.CID000000586	0	0	0	0	0	0	0.900	0.818	0	0.924765792759085
GAMT	GATM	1860415	1858414	9606.ENSP00000403536	9606.ENSP00000379895	0	0	0	0	0	0	0.900	0.811	0	0.923209703344173
GAMT	CKB	1860415	1848031	9606.ENSP00000403536	9606.ENSP00000299198	0	0	0	0	0	0	0.900	0.347	0	0.854507075985328
CKMT2	creatine	1844264	-586	9606.ENSP00000254035	-1.CID000000586	0	0	0	0	0	0	0.900	0.816	0	0.800011233805361
GAMT	CKMT2	1860415	1844264	9606.ENSP00000403536	9606.ENSP00000254035	0	0	0	0	0	0	0.900	0.276	0	0.71033268504218
AKT2	AKT1	1857974	1846136	9606.ENSP00000375892	9606.ENSP00000270202	0	0	0.527	0.986	0.074	0.567	0.900	0.973	0	0.691752550421303
CKM	creatine	1842839	-586	9606.ENSP00000221476	-1.CID000000586	0	0	0	0	0	0	0.900	0.780	0	0.628970894121973
CKB	CKM	1848031	1842839	9606.ENSP00000299198	9606.ENSP00000221476	0	0	0.527	0.986	0	0.576	0.900	0.640	0	0.599234915443972
AKT1	creatine	1846136	-586	9606.ENSP00000270202	-1.CID000000586	0	0	0	0	0	0	0	0.687	0	0.57820898861591
GAMT	CKM	1860415	1842839	9606.ENSP00000403536	9606.ENSP00000221476	0	0	0	0	0	0	0.900	0.411	0	0.569248077795975
CKMT1A	creatine	1860613	-586	9606.ENSP00000406577	-1.CID000000586	0	0	0	0	0	0	0.900	0.910	0	0.555961386760805
AKT3	creatine	1845421	-586	9606.ENSP00000263826	-1.CID000000586	0	0	0	0	0	0	0	0.646	0	0.555616262446712
AKT2	creatine	1857974	-586	9606.ENSP00000375892	-1.CID000000586	0	0	0	0	0	0	0	0.646	0	0.555616262446712
CKMT1A	GAMT	1860613	1860415	9606.ENSP00000406577	9606.ENSP00000403536	0	0	0	0	0	0	0.900	0.295	0	0.490211133970716
