Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BEWO	5/2395	0.04417020235184285	0.8857370659521143	0	0	3.0671199442119943	9.568509033514891	CKMT2;CKM;CKMT1A;CKMT1B;SGK1
BXPC3	5/2395	0.04417020235184285	0.8857370659521143	0	0	3.0671199442119943	9.568509033514891	GATM;CKM;CKMT1A;SLC16A12;CKMT1B
HCC1599	5/2395	0.04417020235184285	0.8857370659521143	0	0	3.0671199442119943	9.568509033514891	GATM;CKMT1A;AKT2;AKT3;CKMT1B
HEK293	5/2395	0.04417020235184285	0.8857370659521143	0	0	3.0671199442119943	9.568509033514891	PRPS1;CKMT1A;AKT3;CKMT1B;CKB
T47D	5/2395	0.04417020235184285	0.8857370659521143	0	0	3.0671199442119943	9.568509033514891	CKMT2;GATM;CKMT1A;AKT1;CKMT1B
293F	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	CKMT1A;AKT3;CKMT1B;CKB
ES2	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	CKMT2;GATM;AKT3;SLC16A12
G401	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	GATM;CKM;AKT3;CKMT1B
HEPG2	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	CKMT2;GATM;SLC6A8;CKM
KYSE510	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	CKM;CKMT1A;CKMT1B;SGK1
MEWO	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	GATM;SLC6A8;AKT3;SGK1
PANC1	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	PRPS1;GATM;AKT2;AKT3
RH18	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	GATM;CKM;AKT3;SLC16A12
T24	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	PSMB5;AKT3;SLC2A4;IGF1
T84	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	GATM;SLC6A8;CKMT1B;CKB
VCAP	4/2395	0.13738764338533377	0.8857370659521143	0	0	2.2638741434224494	4.493674343417565	CKMT1A;AKT3;CKMT1B;CKB
22RV1	3/2395	0.33326479901909656	0.8857370659521143	0	0	1.5758779264214047	1.73160289385917	CKMT1A;CKMT1B;CKB
BT474	3/2395	0.33326479901909656	0.8857370659521143	0	0	1.5758779264214047	1.73160289385917	CKMT1A;PSMD3;CKMT1B
CAKI2	3/2395	0.33326479901909656	0.8857370659521143	0	0	1.5758779264214047	1.73160289385917	GATM;AKT3;SLC16A12
CAPAN1	3/2395	0.33326479901909656	0.8857370659521143	0	0	1.5758779264214047	1.73160289385917	GATM;CKMT1A;CKMT1B
CFPAC1	3/2395	0.33326479901909656	0.8857370659521143	0	0	1.5758779264214047	1.73160289385917	GATM;AKT3;PSMD3
COLO 205	3/2395	0.33326479901909656	0.8857370659521143	0	0	1.5758779264214047	1.73160289385917	CKMT1A;SLC16A12;CKMT1B
