Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
STK25 human kinase ARCHS4 coexpression	4/299	9.992190247741576E-5	0.008343478856864216	0	0	20.535071707953065	189.15104364111238	CKMT2;CKM;PSMD3;AKT1
CDK16 human kinase ARCHS4 coexpression	4/299	9.992190247741576E-5	0.008343478856864216	0	0	20.535071707953065	189.15104364111238	SLC6A8;AKT2;PSMD3;AKT1
DMPK human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	CKMT2;CKM;AKT2
MAST2 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	CKMT2;CKM;AKT1
PRKACA human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	CKMT2;CKM;AKT1
ABL1 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	SLC6A8;PSMD3;AKT1
STK11 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	AKT2;PSMD3;AKT1
TNK1 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	CKMT1A;AKT1;CKMT1B
EIF2AK1 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	SLC6A8;PSMD3;AKT1
GSK3A human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	AKT2;PSMD3;AKT1
MAPK12 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	CKMT2;CKM;AKT2
EEF2K human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	CKMT2;CKM;AKT2
PAK4 human kinase ARCHS4 coexpression	3/299	0.001925573805929655	0.024736217353096338	0	0	14.252171814671815	89.11215000302461	AKT2;PSMD3;AKT1
CDC42BPG human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	CKMT1A;AKT1
TAOK2 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
PKN1 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
IRAK1 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
PRKCQ human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	CKMT2;CKM
PRKG1 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	CKMT2;CKM
RPS6KA4 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
RPS6KB2 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
EPHA4 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	AKT3;CKB
DAPK3 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
EPHB4 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	PSMD3;AKT1
FGFR3 human kinase ARCHS4 coexpression	2/299	0.026128976618467595	0.08555959010360957	0	0	8.837710437710438	32.21089483713391	SLC6A8;CKB
