Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KIDNEY (BULK TISSUE)	8/2316	2.952357524640197E-4	0.025095038959441675	0	0	6.807240516079338	55.327456253044275	PRPS1;SLC6A8;PSMB5;CKMT1A;PSMD3;CKMT1B;SLC2A4;CKB
HEART (BULK TISSUE)	6/2316	0.009559182333635228	0.2031326245897486	0	0	4.173081463990555	19.40588495409512	CKMT2;SLC6A8;CKM;SLC16A12;SLC2A4;IGF1
SKELETAL MUSCLE (BULK TISSUE)	6/2316	0.009559182333635228	0.2031326245897486	0	0	4.173081463990555	19.40588495409512	CKMT2;GATM;SLC6A8;CKM;SLC2A4;IGF1
SMALL INTESTINE (BULK TISSUE)	6/2316	0.009559182333635228	0.2031326245897486	0	0	4.173081463990555	19.40588495409512	GATM;SLC6A8;CKMT1A;CKMT1B;IGF1;SGK1
BRAIN (BULK)	5/2316	0.038946032574721394	0.33104127688513185	0	0	3.1862108755228618	10.341097103984236	GATM;SLC6A8;CKMT1A;CKMT1B;CKB
CEREBRAL CORTEX	5/2316	0.038946032574721394	0.33104127688513185	0	0	3.1862108755228618	10.341097103984236	GATM;SLC6A8;CKMT1A;CKMT1B;CKB
GASTRIC TISSUE (BULK)	5/2316	0.038946032574721394	0.33104127688513185	0	0	3.1862108755228618	10.341097103984236	CKMT2;GATM;CKM;CKMT1A;CKMT1B
HUMAN EMBRYO	5/2316	0.038946032574721394	0.33104127688513185	0	0	3.1862108755228618	10.341097103984236	SLC6A8;PSMB5;CKMT1A;CKMT1B;CKB
SUPERIOR FRONTAL GYRUS	5/2316	0.038946032574721394	0.33104127688513185	0	0	3.1862108755228618	10.341097103984236	GATM;SLC6A8;CKMT1A;CKMT1B;CKB
VENTRICLE	5/2316	0.038946032574721394	0.33104127688513185	0	0	3.1862108755228618	10.341097103984236	CKMT2;SLC6A8;CKM;SLC16A12;SLC2A4
ATRIUM	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	CKMT2;SLC6A8;CKM;SLC16A12
CARDIAC MUSCLE FIBER	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	CKMT2;SLC6A8;CKM;SLC16A12
CINGULATE GYRUS	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	GATM;CKMT1A;CKMT1B;CKB
DENTATE GRANULE CELL	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	CKMT2;GATM;CKMT1A;CKMT1B
DORSAL STRIATUM	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	CKMT2;GATM;CKMT1A;CKMT1B
FETAL BRAIN CORTEX	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	PSMB5;AKT3;IGF1;CKB
ILEUM (BULK)	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	GATM;SLC6A8;CKMT1A;CKMT1B
MELANOCYTE	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	CKMT2;SLC6A8;AKT1;SGK1
MOTOR NEURON	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	SLC6A8;CKMT1A;CKMT1B;CKB
PANCREATIC ISLET	4/2316	0.12533910106726984	0.5326911795358968	0	0	2.3517434122970453	4.883941755303394	PSMB5;CKMT1A;SLC16A12;CKMT1B
ALPHA CELL	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	CKMT1A;SLC16A12;CKMT1B
BASAL CELL	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	SLC6A8;CKMT1A;CKMT1B
BETA CELL	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	CKMT1A;SLC16A12;CKMT1B
BREAST (BULK TISSUE)	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	CKMT2;SLC6A8;IGF1
COLON (BULK TISSUE)	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	SLC6A8;CKMT1A;CKMT1B
ESOPHAGUS (BULK TISSUE)	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	SLC6A8;CKMT1A;CKMT1B
FETAL BRAIN	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	GATM;SLC6A8;CKB
GASTRIC EPITHELIAL CELL	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	CKMT2;CKMT1A;CKMT1B
LIVER (BULK TISSUE)	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	GATM;IGF1;SGK1
LUNG EPITHELIAL CELL	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	SLC6A8;CKMT1A;CKMT1B
MIDBRAIN	3/2316	0.3139197017718606	0.635313682157337	0	0	1.6370205669816564	1.8966815814131717	AKT3;SLC2A4;CKB
