Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MDAMB453 BREAST TenPx19	5/701	2.2713526805443474E-4	0.03338888440400191	0	0	11.546336206896552	96.87335461552655	CKMT2;CKMT1A;AKT2;AKT1;CKB
NCIH716 LARGE INTESTINE TenPx36	5/956	9.439871611888251E-4	0.03977674228379891	0	0	8.338590956887487	58.08160471010551	PRPS1;CKM;CKMT1A;AKT1;CKB
WM115 SKIN TenPx29	5/961	9.665004902947006E-4	0.03977674228379891	0	0	8.292799860529986	57.56719650663371	PSMB5;AKT2;AKT3;PSMD3;AKT1
8505C THYROID TenPx40	4/560	0.0010823603342530316	0.03977674228379891	0	0	10.750968456004427	73.4141828342326	PSMB5;AKT2;PSMD3;AKT1
SHP77 LUNG TenPx25	4/927	0.0067257061453970405	0.19773576067467297	0	0	6.353862821901825	31.78086769392708	CKMT2;CKM;CKMT1A;AKT3
KYM1 SOFT TISSUE TenPx38	3/580	0.012183467102855259	0.2736768108302481	0	0	7.2069819262193615	31.766036957415803	PSMB5;AKT1;CKB
WM88 SKIN TenPx32	4/1122	0.01303222908715467	0.2736768108302481	0	0	5.19196367139122	22.534834794122386	AKT2;AKT3;PSMD3;AKT1
LNCAPCLONEFGC PROSTATE TenPx30	3/648	0.01640267957305763	0.2980837987872036	0	0	6.424584717607973	26.407038465560596	CKMT2;CKMT1A;CKB
KATOIII STOMACH TenPx15	3/691	0.019450326595526996	0.2980837987872036	0	0	6.0096553156146175	23.67738940021255	GATM;SLC6A8;AKT2
HT1376 URINARY TRACT TenPx13	3/702	0.020277809441306367	0.2980837987872036	0	0	5.911710606989577	23.045196536157103	CKMT2;PRPS1;CKMT1A
MCF7 BREAST TenPx08	2/291	0.024845619358225515	0.33202782233265005	0	0	9.086043829296424	33.57360272962015	AKT2;AKT1
HCC1833 LUNG TenPx40	3/827	0.031063965100946216	0.3767625283048727	0	0	4.982402912621359	17.297442121960913	CKMT2;CKMT1A;CKB
22RV1 PROSTATE TenPx24	3/854	0.03372856405199731	0.3767625283048727	0	0	4.817525600134296	16.32857042062287	CKMT2;CKMT1A;CKB
IM95 STOMACH TenPx28	3/972	0.046759100991323695	0.3767625283048727	0	0	4.204776647501106	12.8781644078353	CKMT2;CKM;CKMT1A
MONOMAC1 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx23	4/1661	0.04705850262713839	0.3767625283048727	0	0	3.402998932268697	10.40080245729624	PRPS1;AKT2;PSMD3;AKT1
SKMEL30 SKIN TenPx22	2/415	0.04757003854569552	0.3767625283048727	0	0	6.317998385794996	19.241793619640475	AKT2;AKT3
COLO679 SKIN TenPx10	2/420	0.04860432957627302	0.3767625283048727	0	0	6.240829346092504	18.872534214507965	AKT2;AKT3
UACC257 SKIN TenPx11	2/428	0.050276630644713986	0.3767625283048727	0	0	6.121126760563381	18.303484501426695	SLC6A8;AKT3
NCIH446 LUNG TenPx38	2/436	0.05197010329127008	0.3767625283048727	0	0	6.005837173579109	17.7597810028164	PRPS1;CKB
CCK81 LARGE INTESTINE TenPx39	2/444	0.0536844217487102	0.3767625283048727	0	0	5.894720965309201	17.23989202633591	CKMT2;CKM
NCIH661 LUNG TenPx17	2/447	0.05433259951246841	0.3767625283048727	0	0	5.854082397003745	17.05078112166335	PSMB5;AKT2
