Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CAOV4 OVARY	2/187	0.010783507910879503	0.30121044897845306	0	0	14.268828828828829	64.63404699033538	CKMT2;IGF1
HUH6 LIVER	2/281	0.023279766826953433	0.30121044897845306	0	0	9.416487455197133	35.4075999641093	CKMT2;IGF1
LAMA84 HAEMATOPOIETIC AND LYMPHOID TISSUE	2/302	0.02661717936346283	0.30121044897845306	0	0	8.748	31.72198387375964	CKM;IGF1
KYSE410 OESOPHAGUS	1/59	0.04900264615895895	0.30121044897845306	0	0	21.470905172413794	64.75369451323282	PSMD3
OE33 OESOPHAGUS	1/71	0.05868866866009026	0.30121044897845306	0	0	17.779464285714287	50.413824044500984	PSMD3
NCIH1339 LUNG	1/76	0.06269704374316237	0.30121044897845306	0	0	16.59	45.94502588618206	CKM
SCC4 UPPER AERODIGESTIVE TRACT	1/80	0.06589217159861402	0.30121044897845306	0	0	15.746835443037975	42.82722951905598	CKM
SNU201 CENTRAL NERVOUS SYSTEM	1/86	0.0706656488135395	0.30121044897845306	0	0	14.630882352941176	38.768849097220134	IGF1
TE15 OESOPHAGUS	1/88	0.0722516994220309	0.30121044897845306	0	0	14.293103448275861	37.55655048582739	CKM
ISTMES1 PLEURA	1/94	0.07699457959048413	0.30121044897845306	0	0	13.366935483870968	34.2730933217087	PRPS1
CALU3 LUNG	1/99	0.08092953799668379	0.30121044897845306	0	0	12.681760204081632	31.884182268430102	PSMD3
FTC133 THYROID	1/102	0.08328292883718645	0.30121044897845306	0	0	12.303217821782178	30.57979168054389	CKMT2
JIMT1 BREAST	1/107	0.08719264777091836	0.30121044897845306	0	0	11.71992924528302	28.59235270387481	PSMD3
AGS STOMACH	1/107	0.08719264777091836	0.30121044897845306	0	0	11.71992924528302	28.59235270387481	GATM
PANC1 PANCREAS	1/107	0.08719264777091836	0.30121044897845306	0	0	11.71992924528302	28.59235270387481	AKT2
CL11 LARGE INTESTINE	1/120	0.09728459993901338	0.30121044897845306	0	0	10.432773109243698	24.309556693339346	CKMT2
KPL1 BREAST	1/130	0.10497608175602371	0.30121044897845306	0	0	9.619186046511627	21.681864161975042	AKT1
SW480 LARGE INTESTINE	1/130	0.10497608175602371	0.30121044897845306	0	0	9.619186046511627	21.681864161975042	CKMT2
HS870T BONE	1/133	0.10727147167528207	0.30121044897845306	0	0	9.399147727272727	20.98258726036805	SLC2A4
NCIH1437 LUNG	1/137	0.11032337391025118	0.30121044897845306	0	0	9.120863970588236	20.1054803872225	AKT1
GP2D LARGE INTESTINE	1/137	0.11032337391025118	0.30121044897845306	0	0	9.120863970588236	20.1054803872225	CKMT2
SNU1040 LARGE INTESTINE	1/139	0.111845640128632	0.30121044897845306	0	0	8.987771739130435	19.68893247966396	CKMT2
HUH28 BILIARY TRACT	1/143	0.11488282122106265	0.30121044897845306	0	0	8.732834507042254	18.89647946482192	SLC2A4
NIHOVCAR3 OVARY	1/145	0.11639774352560338	0.30121044897845306	0	0	8.610677083333334	18.51934596571155	AKT2
IGR1 SKIN	1/145	0.11639774352560338	0.30121044897845306	0	0	8.610677083333334	18.51934596571155	IGF1
COLO783 SKIN	1/150	0.12017437982499951	0.30121044897845306	0	0	8.319630872483222	17.627728951176998	IGF1
SU8686 PANCREAS	1/157	0.12543615403421773	0.30121044897845306	0	0	7.943509615384615	16.49039537374883	AKT2
CL14 LARGE INTESTINE	1/161	0.12842957012278863	0.30121044897845306	0	0	7.743359375	15.89227423414592	CKMT2
CCK81 LARGE INTESTINE	1/172	0.13661182020804502	0.30121044897845306	0	0	7.241228070175438	14.414474072319711	CKMT2
T47D BREAST	1/176	0.13956921774067063	0.30121044897845306	0	0	7.074285714285714	13.930645342446658	CKMT2
SW1463 LARGE INTESTINE	1/177	0.14030707599307726	0.30121044897845306	0	0	7.033735795454546	13.813707474989815	CKMT2
KMS34 HAEMATOPOIETIC AND LYMPHOID TISSUE	1/183	0.1447217345643916	0.30121044897845306	0	0	6.799793956043956	13.143610404592614	IGF1
TC71 BONE	1/185	0.14618853978760954	0.30121044897845306	0	0	6.725203804347826	12.931612757057115	IGF1
