Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Collecting Duct Intercalated Cell Kidney Mouse	2/106	0.003592753073271419	0.07842799986805654	0	0	25.485897435897435	143.45594966129724	CKMT1B;SGK1
lmmLeydig Cell Testis Human	1/6	0.005089741453570572	0.07842799986805654	0	0	249.725	1318.6799159042428	IGF1
Microglial Cell Embryonic Prefrontal Cortex Human	3/476	0.007105127192040564	0.07842799986805654	0	0	8.838719420114769	43.72460241383704	GATM;IGF1;SGK1
Cardiomyocyte Heart Muscle Mouse	1/10	0.00846936628057759	0.07842799986805654	0	0	138.70833333333334	661.8190142974174	SLC2A4
Granulosa Cell Fetal Gonad Human	2/179	0.009917630202507998	0.07842799986805654	0	0	14.919774011299435	68.83150126874065	GATM;SLC6A8
Rheaume Et al.Nat Commun.22 Retina Mouse	1/12	0.010155125895608219	0.07842799986805654	0	0	113.47727272727273	520.8353408254836	CKM
Neuron Hypothalamic Brain Slice Mouse	1/13	0.010996994142530848	0.07842799986805654	0	0	104.015625	469.12433437564215	IGF1
Endothelial Cell Capillary Mouse	1/14	0.01183818865932929	0.07842799986805654	0	0	96.00961538461539	425.93942395331476	SGK1
Fat Cell (Adipocyte) Adipose Tissue Human	1/20	0.016871234817272356	0.08558926864611037	0	0	65.67105263157895	268.0787715603985	SLC2A4
Macrophage Lacrimal Gland Mouse	1/21	0.01770772695128657	0.08558926864611037	0	0	62.384375	251.6432336564321	GATM
Pan-endothelial Cell Lung Human	1/23	0.019378702334968384	0.08558926864611037	0	0	56.70738636363637	223.63015065372352	AKT3
Macrophage Lung Mouse	1/23	0.019378702334968384	0.08558926864611037	0	0	56.70738636363637	223.63015065372352	IGF1
Smooth Muscle Cell Lung Mouse	1/33	0.02769353076527467	0.10829927879479552	0	0	38.966796875	139.75661625657744	IGF1
Paneth Cell Large Intestine Human	2/314	0.028607356662776175	0.10829927879479552	0	0	8.406410256410256	29.877150130377366	GATM;SGK1
Myofibroblast Lung Mouse	1/38	0.03182602024276041	0.11245193819108679	0	0	33.692567567567565	116.15415220409753	IGF1
Multipotent Progenitor Cell Stomach Human	1/45	0.03758374258298183	0.1197289916511166	0	0	28.322443181818183	92.93113891804632	SGK1
Olfactory Ensheathing Glia Brain Mouse	1/46	0.03840363883149023	0.1197289916511166	0	0	27.691666666666666	90.26384147630849	IGF1
Smooth Muscle Cell Brain Mouse	1/49	0.04085938516720612	0.12030818965899581	0	0	25.95703125	83.00068948212059	SLC16A12
Pit Progenitor Cell Stomach Human	1/54	0.04493918392504326	0.12535667094880487	0	0	23.50235849056604	72.91477862029602	SLC2A4
Homeostatic Chondrocyte Articular Cartilage Human	1/70	0.05788506010088898	0.14651064929784752	0	0	18.03804347826087	51.395724355594396	SGK1
Type I Spiral Ganglion Neuron Brain Mouse	3/1061	0.05805138934443015	0.14651064929784752	0	0	3.833040777747772	10.910469372568743	CKMT2;PRPS1;CKMT1B
Enterocyte Small Intestine Mouse	1/77	0.0634967886050346	0.1518384823794149	0	0	16.370888157894736	45.13070700420213	CKMT1B
Collecting Duct Principal Cell Kidney Mouse	1/80	0.06589217159861402	0.1518384823794149	0	0	15.746835443037975	42.82722951905598	SGK1
Primitive Endoderm Cell Embryo Human	1/95	0.0777828375206224	0.15509692051041685	0	0	13.22406914893617	33.77208362032262	IGF1
Ionocyte Cell Trachea Mouse	1/96	0.07857046186584668	0.15509692051041685	0	0	13.08421052631579	33.28308421675135	AKT2
Acinar Cell Pancreatic Islet Human	1/97	0.07935745306317064	0.15509692051041685	0	0	12.947265625	32.80568984423409	SGK1
Basal Cell Trachea Mouse	1/98	0.08014381161944185	0.15509692051041685	0	0	12.813144329896907	32.33951284796603	SGK1
Hematopoietic Stem Cell Bone Marrow Mouse	2/565	0.0819379957413523	0.15509692051041685	0	0	4.599171107164002	11.506171631445286	SLC16A12;IGF1
Astrocyte Brain Mouse	2/582	0.08622355198050273	0.15758097430919465	0	0	4.460459770114943	10.931747945622321	CKM;AKT2
Oligodendrocyte Progenitor Cell Embryonic Prefrontal Cortex Human	1/110	0.08953094052928076	0.158171328268396	0	0	11.395642201834862	27.499633392746567	GATM
Endothelial Cell Lung Mouse	1/144	0.11564058767870697	0.1927837627142806	0	0	8.671328671328672	18.706382287067274	SGK1
Monocyte Spleen Mouse	1/145	0.11639774352560338	0.1927837627142806	0	0	8.610677083333334	18.51934596571155	SGK1
Schwalie Et al.Nature.P2 Adipose Tissue Mouse	1/178	0.1410443386808778	0.21568817365846354	0	0	6.99364406779661	13.698317611630321	SGK1
Oligodendrocyte Brain Human	1/180	0.14251707919559353	0.21568817365846354	0	0	6.914804469273743	13.472068134170128	SGK1
Schwalie Et al.Nature.G3 Adipose Tissue Mouse	1/188	0.14838430903089075	0.21568817365846354	0	0	6.616310160427807	12.623586907174872	IGF1
Schwalie Et al.Nature.G2 Adipose Tissue Mouse	1/189	0.14911505028991673	0.21568817365846354	0	0	6.580784574468085	12.52347733311014	SGK1
Schwalie Et al.Nature.P3 Adipose Tissue Mouse	1/191	0.15057476274270096	0.21568817365846354	0	0	6.510855263157895	12.32697333373052	IGF1
Vascular Endothelial Cell Kidney Mouse	1/205	0.16072695068123882	0.22138795834234742	0	0	6.059742647058823	11.077502318716135	SGK1
Oogenesis Phase Fetal Germ Cell Fetal Gonad Human	2/855	0.16290812028965188	0.22138795834234742	0	0	2.990230558812036	5.4259794246110715	AKT3;SGK1
Leydig Precursor Cell Fetal Gonad Human	1/221	0.1721895869532201	0.22815120271301662	0	0	5.614488636363636	9.876779110409798	IGF1
