Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Serotonergic neuron:Undefined	3/97	7.157895938391714E-5	0.004223158603651111	0	0	45.33966565349544	432.75393252672956	CKMT1A;CKMT1B;CKB
Lake Et al.Science.In8:Brain	2/98	0.00308079638844763	0.024104530581218805	0	0	27.620833333333334	159.71932342658255	CKMT1A;CKMT1B
Flk1+ Mesodermal cell:Pluripotent Stem Cell	2/99	0.003142749862972081	0.024104530581218805	0	0	27.334707903780068	157.52054884522119	CKMT1A;CKMT1B
Multipotent Progenitor cell:Heart	2/99	0.003142749862972081	0.024104530581218805	0	0	27.334707903780068	157.52054884522119	CKMT1A;CKMT1B
Cancer Stem cell:Eye	2/100	0.00320528834894988	0.024104530581218805	0	0	27.05442176870748	155.3722787250682	CKMT1A;CKMT1B
Progenitor cell:Skin	2/100	0.00320528834894988	0.024104530581218805	0	0	27.05442176870748	155.3722787250682	CKMT1A;CKMT1B
Merkel cell:Skin	2/101	0.0032684109262669566	0.024104530581218805	0	0	26.77979797979798	153.27287136771164	CKMT1A;CKMT1B
PDX1+ Pancreatic Progenitor cell:Embryonic Stem Cell	2/101	0.0032684109262669566	0.024104530581218805	0	0	26.77979797979798	153.27287136771164	CKMT1A;CKMT1B
Microglial cell:Embryonic Prefrontal Cortex	3/472	0.006941724637082948	0.04550686150976599	0	0	8.915930551325008	44.314002860414476	GATM;IGF1;SGK1
Granulosa cell:Fetal Gonad	2/185	0.010563975090007009	0.062327453031041355	0	0	14.426229508196721	65.64375353197991	GATM;SLC6A8
Idiopathic Pulmonary Fibrosis cell:Lung	1/15	0.012678709933633063	0.06800398964403188	0	0	89.14732142857143	389.38044082427126	AKT2
Fat Cell (adipocyte):Adipose Tissue	1/25	0.021047002518984472	0.10217453333315266	0	0	51.9765625	200.68135849118187	SLC2A4
Ciliated cell:Lung	2/276	0.022513032768321773	0.10217453333315266	0	0	9.590754257907543	36.384069461530274	PRPS1;CKB
Paneth cell:Large Intestine	2/311	0.028104246992205362	0.10651220277044862	0	0	8.489320388349515	30.322448086028903	GATM;SGK1
Multipotent Progenitor cell:Stomach	1/47	0.0392228776844792	0.10651220277044862	0	0	27.088315217391305	87.72537577432398	SGK1
Pit Progenitor cell:Stomach	1/54	0.04493918392504326	0.10651220277044862	0	0	23.50235849056604	72.91477862029602	SLC2A4
Sertoli cell:Fetal Gonad	2/446	0.054116220630899284	0.10651220277044862	0	0	5.867567567567567	17.113472612766532	GATM;CKB
Mesenchymal Stem cell:White Adipose Tissue	1/80	0.06589217159861402	0.10651220277044862	0	0	15.746835443037975	42.82722951905598	IGF1
Myotube:Muscle	1/93	0.07620568756138293	0.10651220277044862	0	0	13.512907608695652	34.78653722330656	CKM
Acinar cell:Pancreatic Islet	1/95	0.0777828375206224	0.10651220277044862	0	0	13.22406914893617	33.77208362032262	SGK1
Bipolar cell:Eye	1/96	0.07857046186584668	0.10651220277044862	0	0	13.08421052631579	33.28308421675135	AKT3
Stromal cell:Amniotic Membrane	1/96	0.07857046186584668	0.10651220277044862	0	0	13.08421052631579	33.28308421675135	AKT3
Primitive Endoderm cell:Embryo	1/96	0.07857046186584668	0.10651220277044862	0	0	13.08421052631579	33.28308421675135	IGF1
Decidual cell:Blood	1/97	0.07935745306317064	0.10651220277044862	0	0	12.947265625	32.80568984423409	SGK1
Alveolar Epithelial Progenitor cell:Embryonic Stem Cell	1/98	0.08014381161944185	0.10651220277044862	0	0	12.813144329896907	32.33951284796603	SGK1
Anterior Foregut Endoderm cell:Lung	1/98	0.08014381161944185	0.10651220277044862	0	0	12.813144329896907	32.33951284796603	SGK1
Neural Crest Stem cell:Hair Follicle	1/99	0.08092953799668379	0.10651220277044862	0	0	12.681760204081632	31.884182268430102	AKT3
EBV+ B Lymphoma cell:Lymph	1/99	0.08092953799668379	0.10651220277044862	0	0	12.681760204081632	31.884182268430102	SLC6A8
EBV+ B Lymphoma cell:Kidney	1/99	0.08092953799668379	0.10651220277044862	0	0	12.681760204081632	31.884182268430102	SLC6A8
EBV+ B Lymphoma cell:Liver	1/99	0.08092953799668379	0.10651220277044862	0	0	12.681760204081632	31.884182268430102	SLC6A8
Mesoderm cell:Undefined	1/99	0.08092953799668379	0.10651220277044862	0	0	12.681760204081632	31.884182268430102	PSMD3
Basal cell:Undefined	1/100	0.08171463267155567	0.10651220277044862	0	0	12.553030303030303	31.43934295429433	SGK1
Endometrial Progenitor cell:Endometrium	1/100	0.08171463267155567	0.10651220277044862	0	0	12.553030303030303	31.43934295429433	PSMD3
Stem cell:Stomach	1/100	0.08171463267155567	0.10651220277044862	0	0	12.553030303030303	31.43934295429433	SGK1
Cancer Stem cell:Ovarian Cortex	1/100	0.08171463267155567	0.10651220277044862	0	0	12.553030303030303	31.43934295429433	SGK1
Cancer Stem cell:Endometrium	1/100	0.08171463267155567	0.10651220277044862	0	0	12.553030303030303	31.43934295429433	SGK1
Cancer Stem cell:Embryo	1/101	0.0824990961274289	0.10651220277044862	0	0	12.426875	31.004654740919353	CKMT1A
Hematopoietic Progenitor cell:Undefined	1/101	0.0824990961274289	0.10651220277044862	0	0	12.426875	31.004654740919353	GATM
Stem cell:Amniotic Membrane	1/101	0.0824990961274289	0.10651220277044862	0	0	12.426875	31.004654740919353	SGK1
Abnormal Plasma cell:Peripheral Blood	1/101	0.0824990961274289	0.10651220277044862	0	0	12.426875	31.004654740919353	GATM
Central Nervous System Stem cell:Fetal Brain	1/101	0.0824990961274289	0.10651220277044862	0	0	12.426875	31.004654740919353	GATM
Type I pneumocyte:Undefined	1/102	0.08328292883718645	0.10651220277044862	0	0	12.303217821782178	30.57979168054389	CKMT1A
Hepatoblast:Liver	1/102	0.08328292883718645	0.10651220277044862	0	0	12.303217821782178	30.57979168054389	IGF1
Limbal Mesenchymal cell:Sclerocorneal Tissue	1/103	0.084066131270889	0.10651220277044862	0	0	12.181985294117647	30.16444131547811	AKT3
Progenitor cell:Undefined	1/103	0.084066131270889	0.10651220277044862	0	0	12.181985294117647	30.16444131547811	PSMB5
Theca Interna cell:Ovarian Follicle	1/104	0.0848487039018828	0.10651220277044862	0	0	12.063106796116505	29.7583039952957	IGF1
Endocrine cell:Pancreas	1/104	0.0848487039018828	0.10651220277044862	0	0	12.063106796116505	29.7583039952957	CKMT1B
Oligodendrocyte Progenitor cell:Embryonic Prefrontal Cortex	1/110	0.08953094052928076	0.11004844773390761	0	0	11.395642201834862	27.499633392746567	GATM
Oligodendrocyte:Brain	1/152	0.12168077621173076	0.14651358768351255	0	0	8.208609271523178	17.290239041489134	SGK1
Oogenesis Phase Fetal Germ cell:Fetal Gonad	2/844	0.1595933015442869	0.1883200958222585	0	0	3.0310372129849563	5.562336909419305	AKT3;SGK1
Leydig Precursor cell:Fetal Gonad	1/217	0.16933782259523614	0.19590061829644967	0	0	5.719618055555555	10.157238683962671	IGF1
Ionocyte cell:Lung	1/290	0.2199553612909533	0.24956473684935085	0	0	4.259083044982699	6.449660023342653	IGF1
CD1C-CD141- Dendritic cell:Blood	1/314	0.23595247395495425	0.2626640747800434	0	0	3.9277156549520766	5.672111882319859	CKB
Astrocyte:Embryonic Prefrontal Cortex	1/342	0.25422544402503966	0.2777648369903211	0	0	3.6000733137829912	4.930422196310857	GATM
Multilymphoid Progenitor cell:Umbilical Cord Blood	1/530	0.36666834384682684	0.39333513249023244	0	0	2.2984404536862004	2.3060196409450757	IGF1
B cell:Kidney	1/668	0.43883081273787305	0.462339606277402	0	0	1.8099700149925038	1.4907661150897542	IGF1
Natural Killer T (NKT) cell:Fetal Kidney	4/4543	0.5617266590562362	0.5718338868488981	0	0	1.0469266358228684	0.6038043833440413	CKMT2;PRPS1;AKT2;PSMD3
Mitotic Arrest Phase Fetal Germ cell:Fetal Gonad	1/948	0.5621417870717982	0.5718338868488981	0	0	1.256335797254488	0.7236508900673319	AKT3
Meiotic Prophase Fetal Germ cell:Fetal Gonad	1/1034	0.5945685127400548	0.5945685127400548	0	0	1.146539206195547	0.5961078903835448	GATM
