Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Parietal and chief cells in Stomach	2/41	5.468458658113756E-4	0.009843225584604761	0	0	68.18461538461538	512.1580727660178	CKMT2;CKM
Acinar cells in Pancreas	2/91	0.002663579809883278	0.023972218288949503	0	0	29.80374531835206	176.67911374226674	GATM;SLC16A12
Skeletal muscle cells in Muscle	2/240	0.017320771047777586	0.10392462628666552	0	0	11.061624649859944	44.864277715580286	CKMT2;CKM
Neuroendocrine cells in Lung	1/92	0.0754161609714499	0.24851053068444162	0	0	13.662087912087912	35.31285890817634	SLC16A12
Visceral neurons in Heart	1/107	0.08719264777091836	0.24851053068444162	0	0	11.71992924528302	28.59235270387481	CKMT1A
Vascular endothelial cells in Cerebellum	2/597	0.09006277493851818	0.24851053068444162	0	0	4.344649859943978	10.458651217429136	CKMT2;SLC16A12
Stromal cells in Kidney	1/167	0.13290161909015044	0.24851053068444162	0	0	7.461219879518072	15.057832029159092	IGF1
Erythroblasts in Muscle	1/191	0.15057476274270096	0.24851053068444162	0	0	6.510855263157895	12.32697333373052	SLC6A8
Erythroblasts in Kidney	1/200	0.15711435119222805	0.24851053068444162	0	0	6.21356783919598	11.499955704952034	SLC6A8
Skeletal muscle cells in Eye	1/213	0.1664768138567705	0.24851053068444162	0	0	5.82871462264151	10.450297990148172	CKM
Squamous epithelial cells in Lung	1/229	0.17786549439156385	0.24851053068444162	0	0	5.415296052631579	9.350741501868432	SLC2A4
CSH1 CSH2 positive cells in Lung	1/247	0.19050264968079775	0.24851053068444162	0	0	5.014481707317073	8.314457839276931	PSMD3
AFP ALB positive cells in Placenta	1/251	0.19328596831012124	0.24851053068444162	0	0	4.93325	8.108213163706939	PRPS1
AFP ALB positive cells in Spleen	1/251	0.19328596831012124	0.24851053068444162	0	0	4.93325	8.108213163706939	GATM
Ureteric bud cells in Kidney	1/291	0.2206281537943097	0.2647537845531716	0	0	4.244181034482758	6.41413129928822	CKMT1B
Megakaryocytes in Cerebrum	1/437	0.31320499569992566	0.35159591950119906	0	0	2.8020355504587156	3.2528756857126138	CKM
Hepatoblasts in Liver	1/469	0.33206281286224354	0.35159591950119906	0	0	2.606169871794872	2.873122803491614	SLC16A12
Microglia in Cerebellum	1/606	0.4074243148956121	0.4074243148956121	0	0	2.0018595041322316	1.7974698366723747	IGF1
