Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GSE156067 PCOS 3D Hs SubcutAdipose Dn	4/181	1.4083949486544683E-5	0.0010633205843197276	0	0	34.43024771838331	384.60221254246676	CKMT2;CKMT1A;CKMT1B;SLC2A4
GSE156067 PCOS 12D Hs SubcutAdipose Dn	4/199	2.0448472775379377E-5	0.0010633205843197276	0	0	31.223668639053255	337.1407581591326	CKMT2;CKMT1A;CKMT1B;SLC2A4
GSE156067PCOS Day7 Hs SubcutaneousAdipose Dn	4/199	2.0448472775379377E-5	0.0010633205843197276	0	0	31.223668639053255	337.1407581591326	CKMT2;CKMT1A;CKMT1B;SLC2A4
GSE37248 hFXRBat-AdiposehsFXR Mm Chip BAT Dn	4/221	3.084231626996769E-5	0.0012028503345287399	0	0	28.026940801134348	291.1052653118323	CKMT2;GATM;CKM;IGF1
GSE115421 Rosiglitazone P5 Hs Adipocytes Dn	3/207	6.67591371085614E-4	0.01809825875453502	0	0	20.77626050420168	151.9125740045135	CKMT2;CKMT1A;CKMT1B
GSE115421 Rosiglitazone P2 Hs Adipocytes Dn	3/210	6.960868751744239E-4	0.01809825875453502	0	0	20.472049689440993	148.8325399713667	CKMT2;CKMT1A;CKMT1B
GSE125856 Epicardial-vs-Subcut Hs Adipose Up	2/123	0.004803034207885631	0.055347313782412436	0	0	21.886501377410468	116.84125031047543	CKMT1A;CKMT1B
GSE107894 Metformin Visit2 Hs Adipose Dn	2/124	0.004879339373469417	0.055347313782412436	0	0	21.70601092896175	115.53557074850708	CKM;CKMT1B
GSE125856 Mediastinal-vs-Subcut Hs Adipose Up	2/125	0.004956206857340974	0.055347313782412436	0	0	21.528455284552845	114.25397886776575	CKMT1A;CKMT1B
GSE120290 Young-Old Mm Chip Muscle-Quads Up	2/136	0.005838606827857576	0.055347313782412436	0	0	19.750248756218905	101.5807250013032	AKT3;IGF1
GSE143319 Healthy-Obese Hs SubcutAdipose Up	2/141	0.006261834324439534	0.055347313782412436	0	0	19.035011990407675	96.56998586537334	SLC2A4;CKB
GSE127251 Ucp1-KO Fat 30C Mm InterscapBAT Dn	2/146	0.006698742643058796	0.055347313782412436	0	0	18.369444444444444	91.95441592882551	CKMT2;CKM
GSE143319 HealthyvsObese Hs SubcutAdipose Dn	2/147	0.006787756348563802	0.055347313782412436	0	0	18.24183908045977	91.07484109599747	CKMT1A;CKMT1B
GSE43106 FatDiet C57BL 6NTac Mm Chip Liver Up	2/155	0.007519303745517923	0.055347313782412436	0	0	17.281045751633986	84.50918235493056	GATM;SGK1
GSE125856 Epicard-Mediastinal Hs Adipose Up	2/155	0.007519303745517923	0.055347313782412436	0	0	17.281045751633986	84.50918235493056	CKMT1A;CKMT1B
GSE113764 White-vs-Brown Hs AdiposeTissue Dn	2/155	0.007519303745517923	0.055347313782412436	0	0	17.281045751633986	84.50918235493056	CKMT1A;CKMT1B
GSE153222 FatDiet 4Wks Mm Islet Up	2/159	0.007897945551070117	0.055347313782412436	0	0	16.83736730360934	81.51226467002986	CKMT2;CKM
GSE87854 FatDiet Day14 Mm Chip Adipose Up	2/166	0.008581000495283724	0.055347313782412436	0	0	16.1130081300813	76.66899205398923	CKMT2;IGF1
GSE122348 Ctrl- REGN1193 ChowDiet Mm Liver Dn	2/170	0.008982898405752818	0.055347313782412436	0	0	15.726190476190476	74.10861403273024	CKMT2;CKM
GSE48009 IRKO Mm Chip MammaryAlveolars Dn	2/170	0.008982898405752818	0.055347313782412436	0	0	15.726190476190476	74.10861403273024	GATM;CKB
GSE127056 FatDiet 8Wk Mm Chip Hypothalamus Up	2/175	0.009497012252283893	0.055347313782412436	0	0	15.267822736030828	71.09886147698569	IGF1;SGK1
GSE149468 Fasting-8Hrs Mm Liver Up	2/181	0.010131029514538877	0.055347313782412436	0	0	14.751582867783986	67.7415157204607	CKMT2;CKM
GSE120429 D316A-Transgen Fat Mm SubcutWAT Dn	2/181	0.010131029514538877	0.055347313782412436	0	0	14.751582867783986	67.7415157204607	CKMT2;CKM
GSE137678 Stat5-Adipoq Mm BAT Up	2/192	0.011341211331969121	0.055347313782412436	0	0	13.88982456140351	62.216860155246934	CKMT2;CKM
GSE149468 Fasting-2Hrs Mm Liver Up	2/194	0.011567823728233475	0.055347313782412436	0	0	13.74375	61.29063590986802	CKMT2;CKM
GSE135445 AtrialFibr Hs EpicardialAdipose Dn	2/195	0.01168188324539907	0.055347313782412436	0	0	13.671848013816925	60.83584192053364	CKMT1A;CKMT1B
GSE41203 2Vs4Wk NonObeseDiab Mm Chip Islets Up	2/195	0.01168188324539907	0.055347313782412436	0	0	13.671848013816925	60.83584192053364	IGF1;SGK1
GSE150679 CdCl2 PostnatalDay1 Mm Liver Up	2/197	0.011911504772536776	0.055347313782412436	0	0	13.53025641025641	59.942426015408465	CKMT2;CKM
GSE115421 Rosiglitazone P4 Hs Adipocytes Dn	2/197	0.011911504772536776	0.055347313782412436	0	0	13.53025641025641	59.942426015408465	CKMT1A;CKMT1B
GSE100067 DendriticCell ShiLtJ Mm 2Tissues Up	2/201	0.01237673461794994	0.055347313782412436	0	0	13.255611390284757	58.217807593481794	GATM;IGF1
GSE59143 Pregnant Mm Chip Islets Dn	2/202	0.012494284509874618	0.055347313782412436	0	0	13.188666666666666	57.79912036377943	GATM;SLC6A8
GSE115421 Rosiglitazone sP1 Hs Adipocytes Dn	2/203	0.012612329724431846	0.055347313782412436	0	0	13.122388059701493	57.38525794547592	CKMT2;CKMT1B
GSE138252 NoAtrialFib-AtrialFib Hs LAtrium Up	2/204	0.012730869441244937	0.055347313782412436	0	0	13.056765676567657	56.97614224616206	CKM;CKMT1A
GSE138252 NoFib-vs-AtrialFib Hs RAtrium Up	2/204	0.012730869441244937	0.055347313782412436	0	0	13.056765676567657	56.97614224616206	CKM;CKB
GSE115421 Rosiglitazone P3 Hs Adipocytes Dn	2/204	0.012730869441244937	0.055347313782412436	0	0	13.056765676567657	56.97614224616206	CKMT1A;CKMT1B
GSE138782 PGAM5-Knockout Mm BAT Dn	2/206	0.012969429089203106	0.055347313782412436	0	0	12.927450980392157	56.17184677266284	CKMT2;CKM
GSE124621 PGRMC2-AdiposeTissueKO Mm BAT Dn	2/210	0.013452446306043557	0.055347313782412436	0	0	12.676282051282051	54.61695669253451	CKMT2;CKM
GSE149468 Fasting-12Hrs Mm Liver Dn	2/214	0.01394328383186424	0.055347313782412436	0	0	12.434591194968553	53.12999070359236	CKMT2;CKM
GSE135391 RoomTemp-vs-Cold Young Mm BAT Dn	2/214	0.01394328383186424	0.055347313782412436	0	0	12.434591194968553	53.12999070359236	CKMT2;CKM
GSE131320 Ctrl-vs-IL-1OE 6Hr Hs Islet Up	2/216	0.014191618918567291	0.055347313782412436	0	0	12.317133956386293	52.41068234048461	GATM;IGF1
GSE149468 Fasting-8Hrs Mm InterscapularBAT Dn	2/224	0.015204250133510344	0.057850317581161305	0	0	11.868468468468468	49.683548611023284	CKMT2;CKM
GSE154649 DOXY 4-5Hrs DUX4 Hs AMLCells Up	2/228	0.01572204992770195	0.05839618544575009	0	0	11.656047197640119	48.403963435008826	GATM;CKMT1B
GSE134068 HighQual-vs-MedQual Hs Islet Up	1/99	0.08092953799668379	0.17953350145532343	0	0	12.681760204081632	31.884182268430102	SLC6A8
GSE149468 Fasting-22Hrs Mm SubcutWAT Up	1/122	0.09882785548789487	0.17953350145532343	0	0	10.259297520661157	23.743869658838804	SLC16A12
GSE125856 NoCAD-vs-CAD Obese Hs Adipose Up	1/125	0.10113808374787076	0.17953350145532343	0	0	10.009576612903226	22.93462789217583	CKMT1A
GSE142025 EarlyDiabetNephropathy Hs Kidney Dn	1/132	0.10650695802526006	0.17953350145532343	0	0	9.471374045801527	21.21156803124573	CKM
GSE70681 PtenDel 3Months Mm Chip Liver Up	1/132	0.10650695802526006	0.17953350145532343	0	0	9.471374045801527	21.21156803124573	CKM
GSE108971 Diabetic Hs SubcutaneousAdipose Up	1/133	0.10727147167528207	0.17953350145532343	0	0	9.399147727272727	20.98258726036805	CKMT1A
GSE149468 Fasting-2h Mm Poster-SubcutWAT Dn	1/138	0.11108481371066996	0.17953350145532343	0	0	9.053832116788321	19.895445529940535	CKM
GSE101657 ControlDiet-vs-FatDiet Mm Liver Up	1/138	0.11108481371066996	0.17953350145532343	0	0	9.053832116788321	19.895445529940535	SLC2A4
GSE106295 Mertk-KO Mm Heart Dn	1/145	0.11639774352560338	0.17953350145532343	0	0	8.610677083333334	18.51934596571155	GATM
GSE87354 Rpl13a-snoless Mm Islet Dn	1/146	0.11715428923466466	0.17953350145532343	0	0	8.550862068965516	18.33530144095658	IGF1
GSE145070 Ctrl-vs-Bscl2f f-Ucp1Cre Mm BAT Dn	1/146	0.11715428923466466	0.17953350145532343	0	0	8.550862068965516	18.33530144095658	CKB
GSE59143 PregnantFIslet Mm Chip Islets Dn	1/147	0.11791022527046315	0.17953350145532343	0	0	8.491866438356164	18.154181662067753	AKT1
GSE149468 Fasting-8Hrs Mm OlfactoryBulb Dn	1/151	0.12092788170856181	0.17953350145532343	0	0	8.26375	17.457675385393244	CKM
GSE41203 NOD.RAG-NonObeseDiab 6Wks Mm Chip Islets Dn	1/151	0.12092788170856181	0.17953350145532343	0	0	8.26375	17.457675385393244	GATM
GSE101207 NonDiabetic-vs-T2D Hs Islet Up	1/152	0.12168077621173076	0.17953350145532343	0	0	8.208609271523178	17.290239041489134	SLC2A4
GSE135448 LowProtein-HighProtein Hs Liver Dn	1/154	0.12318474491100036	0.17953350145532343	0	0	8.10049019607843	16.962993985454318	IGF1
GSE89035 Gcgr+ +-vs-Gcgr- - Mm Liver Up	1/155	0.12393582001851285	0.17953350145532343	0	0	8.047483766233766	16.803077119770684	SLC2A4
GSE41203 ObeseDiabetic Mm Chip Islets Dn	1/157	0.12543615403421773	0.17953350145532343	0	0	7.943509615384615	16.49039537374883	CKB
GSE101657 KetogenicDiet Mm Liver Up	1/157	0.12543615403421773	0.17953350145532343	0	0	7.943509615384615	16.49039537374883	SLC2A4
GSE149468 Fasting-2Hrs Mm PerigonadalWAT Dn	1/157	0.12543615403421773	0.17953350145532343	0	0	7.943509615384615	16.49039537374883	CKM
GSE59143 PregnantIsletGraft Mm Chip Islets Dn	1/158	0.12618541387632468	0.17953350145532343	0	0	7.892515923566879	16.337530968323282	SLC6A8
GSE149468 Fasting-8Hrs Mm Stomach Up	1/158	0.12618541387632468	0.17953350145532343	0	0	7.892515923566879	16.337530968323282	CKMT2
GSE156903 Vehicle-vs-Tacrolimus Hs Islet Dn	1/159	0.12693406952722158	0.17953350145532343	0	0	7.8421677215189876	16.18692009165463	IGF1
GSE149468 Fasting-18Hrs Mm Liver Up	1/161	0.12842957012278863	0.17953350145532343	0	0	7.743359375	15.89227423414592	CKMT2
GSE148997 PBS-vs-FGF19WT Mm Liver Up	1/162	0.12917641598942675	0.17953350145532343	0	0	7.694875776397516	15.748149957406868	IGF1
GSE150679 CdCl2 M 42D Mm BulkRNAseq Liver Up	1/164	0.13066830109652797	0.17953350145532343	0	0	7.5996932515337425	15.46608420682747	SLC2A4
GSE101537 p300-KO Mm Islet Up	1/165	0.13141334126950083	0.17953350145532343	0	0	7.5529725609756095	15.328060267947844	GATM
