Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
YY1-22210892 DOWN	2/129	0.005269282078796867	0.6850066702435926	0	0	20.846194225721785	109.3562404899696	GATM;AKT3
SOX2-17515932 DOWN	3/593	0.012933936846646205	0.7372155403825538	0	0	7.043462469733656	30.624275111748787	CKMT2;SLC6A8;SLC16A12
POU5F1-19796622 DOWN	3/834	0.03174337689824457	0.7372155403825538	0	0	4.938628158844765	17.0386186649182	CKMT2;SLC6A8;IGF1
mWholeBrain H3K27me3 18600261	3/906	0.03919425740651771	0.7372155403825538	0	0	4.527764594209777	14.666448438144124	SLC16A12;SLC2A4;IGF1
NR0B1-19796622 UP	2/375	0.03960785758725446	0.7372155403825538	0	0	7.009830205540661	22.632833352872982	CKM;IGF1
POU5F1-16518401 DOWN	3/957	0.04497865310936145	0.7372155403825538	0	0	4.274258760107816	13.256901104255103	SLC6A8;AKT1;CKB
MYOD1-19796622 UP	4/1651	0.04618048919289698	0.7372155403825538	0	0	3.425528933725655	10.534179321501085	GATM;CKM;IGF1;CKB
T-19796622 UP	3/1000	0.05017800549335433	0.7372155403825538	0	0	4.080670583178105	12.210094726938115	CKM;AKT1;CKB
KLF5-20875108 UP	1/75	0.061896656139105055	0.7372155403825538	0	0	16.815033783783782	46.78428556789713	SLC6A8
SALL4-19796622 UP	2/552	0.07870938519902838	0.7372155403825538	0	0	4.711030303030303	11.975405477507698	CKMT2;CKB
CHiP POU5F1-18700969	2/567	0.08243848272477311	0.7372155403825538	0	0	4.582418879056047	11.436356212542105	PRPS1;CKB
CHiP STAT3-18555785	2/572	0.08369404383216815	0.7372155403825538	0	0	4.541052631578947	11.264478235458334	PSMD3;CKB
MEF2C-19796622 DOWN	2/631	0.09895615254004278	0.7372155403825538	0	0	4.10259671436142	9.489627969416299	GATM;SLC6A8
KLF4-19796622 DOWN	4/2166	0.10391572538062656	0.7372155403825538	0	0	2.5362556037856687	5.742526636237035	GATM;CKM;AKT3;IGF1
SFPI1-19796622 UP	3/1440	0.11903845931753515	0.7372155403825538	0	0	2.7655830599463167	5.886014350276547	CKMT2;AKT1;CKB
POU5F1-20526341 UP	2/721	0.12364790356748044	0.7372155403825538	0	0	3.5723690310616596	7.467384572298417	CKMT1A;CKMT1B
NIPBL-20720539 DOWN	4/2422	0.14162133099864366	0.7372155403825538	0	0	2.235159381561367	4.368839099409025	AKT3;AKT1;SLC2A4;IGF1
CHiP SOX2-18358816	2/785	0.14207656428532883	0.7372155403825538	0	0	3.269476372924649	6.380020823559806	PRPS1;CKB
GATA3-19796622 UP	4/2429	0.14272837719691206	0.7372155403825538	0	0	2.22781919111816	4.3371449460592695	SLC6A8;AKT1;IGF1;CKB
CHiP CTCF-18555785	3/1568	0.1437450014141717	0.7372155403825538	0	0	2.52186216339571	4.891692284257151	SLC6A8;PSMD3;SLC2A4
ZFP281-21915945 DOWN	1/186	0.14692105422114227	0.7372155403825538	0	0	6.688513513513514	12.827631741655056	SLC6A8
NR0B1-19530134 DOWN	1/186	0.14692105422114227	0.7372155403825538	0	0	6.688513513513514	12.827631741655056	SGK1
mESC H3K36me3 18692474	4/2469	0.14912767127874724	0.7372155403825538	0	0	2.1866749882977063	4.161138604414246	PSMB5;PSMD3;CKB;SGK1
CHiP EED-16625203	2/831	0.1556946952128932	0.7372155403825538	0	0	3.080659429030961	5.729589920106062	GATM;SLC16A12
ESRRB-19136965 UP	1/214	0.1671929342336873	0.7372155403825538	0	0	5.801056338028169	10.375809037256893	SLC6A8
CHiP NR0B1-18358816	3/1691	0.16908297881247303	0.7372155403825538	0	0	2.3224864590385916	4.127907737726567	PRPS1;SLC6A8;CKB
SFPI1-19796622 DOWN	3/1700	0.17099231653308714	0.7372155403825538	0	0	2.3090327468642142	4.078067374242903	SLC6A8;AKT3;IGF1
NR5A2-19796622 UP	2/883	0.17140840154811032	0.7372155403825538	0	0	2.8909572455542945	5.098799382182021	CKM;SGK1
CHiP SOX17-20123909	3/1731	0.17762264964990387	0.7372155403825538	0	0	2.263764880952381	3.9119983378204513	PSMB5;SLC2A4;IGF1
SETDB1-19884255 UP	1/229	0.17786549439156385	0.7372155403825538	0	0	5.415296052631579	9.350741501868432	SGK1
DPPA5A-19796622 UP	1/235	0.1820983661652471	0.7372155403825538	0	0	5.274839743589744	8.984150645053116	CKM
mESC H3K27me3 17603471	4/2753	0.1978872006036605	0.7372155403825538	0	0	1.9289811679771665	3.1250615746975314	GATM;SLC16A12;IGF1;CKB
KAT5-22196727 DOWN	1/269	0.20569981165618098	0.7372155403825538	0	0	4.597714552238806	7.270537966542489	SLC6A8
JARID2-20075857 UP	2/1005	0.20931648699129646	0.7372155403825538	0	0	2.5230973745430374	3.9458918675101238	AKT3;CKB
SOX2-19796622 DOWN	3/1898	0.21463658091647744	0.7372155403825538	0	0	2.045382585751979	3.147453136262668	CKMT2;GATM;SLC6A8
KLF4-18264089 UP	2/1033	0.2181743585657628	0.7372155403825538	0	0	2.4509537665696737	3.731480850686943	SLC6A8;CKB
SUZ12-17339329 UP	1/315	0.23661227227521564	0.7372155403825538	0	0	3.9150079617834397	5.642828054472181	AKT1
KLF4-19796622 UP	4/2994	0.2431619564064122	0.7372155403825538	0	0	1.748700797530229	2.4727111400469535	CKMT2;SLC6A8;AKT2;CKB
PANCT1-22327834 DOWN	1/338	0.25164044300216615	0.7372155403825538	0	0	3.6435459940652817	5.027197246291413	GATM
TBX3-16767105 DOWN	1/346	0.2568020393591608	0.7372155403825538	0	0	3.5576086956521737	4.83639030799894	AKT1
MYBL2-19796622 UP	1/352	0.2606512279120521	0.7372155403825538	0	0	3.4957264957264957	4.700256164431664	CKM
CHiP POU5F1-18347094	3/2109	0.26388256106415586	0.7372155403825538	0	0	1.818986568986569	2.4233468924556707	CKMT2;AKT1;IGF1
TCF3-19796622 UP	4/3118	0.26755545152232046	0.7372155403825538	0	0	1.666814880687713	2.1975761407774588	AKT3;AKT1;SLC2A4;IGF1
CHiP RNF2-16625203	2/1219	0.2778401096328991	0.7372155403825538	0	0	2.0559846617365105	2.633119038706855	GATM;PSMB5
ESX1-19796622 UP	4/3170	0.27796723660898853	0.7372155403825538	0	0	1.6343845667913892	2.092424153161469	CKMT2;AKT2;AKT1;CKB
CHiP NANOG-18358816	2/1232	0.2820378195430786	0.7372155403825538	0	0	2.0328455284552844	2.5730012590206393	PRPS1;IGF1
NR2F2-19796622 UP	2/1279	0.29721627891806546	0.7372155403825538	0	0	1.9531192900026102	2.369710246602639	CKB;SGK1
ESRRB-16767105 DOWN	1/427	0.3072099125552024	0.7372155403825538	0	0	2.8692781690140845	3.3863909887257964	AKT1
CHiP SOX2-18692474	4/3319	0.30829487069487743	0.7372155403825538	0	0	1.547093630351549	1.8204628804544711	PRPS1;SLC6A8;IGF1;CKB
SOX2-16767105 UP	1/431	0.30961383203747633	0.7372155403825538	0	0	2.8420058139534885	3.332051345012869	PRPS1
CDX2-19796622 UP	4/3333	0.31117692572550293	0.7372155403825538	0	0	1.5392933890981353	1.796961305682181	AKT2;AKT3;AKT1;IGF1
CHiP ASH2L-23239880	4/3336	0.3117951463149588	0.7372155403825538	0	0	1.5376304367901006	1.7919681792490587	PRPS1;SLC6A8;PSMD3;SGK1
POU5F1-16767105 DOWN	1/458	0.3256361027892805	0.7372155403825538	0	0	2.6704048140043763	2.9961268275285002	AKT1
MYC-19796622 DOWN	2/1373	0.327510921092673	0.7372155403825538	0	0	1.8100656455142232	2.020456594229981	SLC2A4;SGK1
POU5F1-16767105 UP	1/462	0.3279797923842713	0.7372155403825538	0	0	2.6466919739696313	2.9505408965905557	SGK1
POU5F1-20526341 DOWN	2/1406	0.3381025416750091	0.7372155403825538	0	0	1.7643874643874644	1.9133124440526414	GATM;AKT1
mMEF K27me3 17603471	3/2444	0.34529743401317203	0.7372155403825538	0	0	1.5399426464563704	1.6374966360847898	GATM;SLC16A12;CKB
CHiP ESRRB-18555785	2/1434	0.34706348617681215	0.7372155403825538	0	0	1.7272811918063316	1.8278911040513637	AKT1;CKB
NANOG-16767105 UP	1/497	0.3481625795631102	0.7372155403825538	0	0	2.4555191532258065	2.590783207630898	SGK1
NRIP1-19796622 DOWN	2/1452	0.35280968710997024	0.7372155403825538	0	0	1.704183908045977	1.775463951899107	PRPS1;SLC6A8
CHiP YY1-21170310	1/514	0.35775848947214656	0.7372155403825538	0	0	2.372076023391813	2.4382501381196384	PSMB5
CBX8-19796622 DOWN	1/524	0.3633408699323086	0.7372155403825538	0	0	2.325525812619503	2.354394540552296	AKT3
SMAD7-19796622 DOWN	1/529	0.3661149038899727	0.7372155403825538	0	0	2.3029119318181817	2.3139844470636337	AKT3
CHiP NANOG-18555785	1/542	0.37327424820984967	0.7372155403825538	0	0	2.246072088724584	2.213373500851747	PSMB5
CHiP ZFP281-18358816	1/578	0.3927050129785468	0.7372155403825538	0	0	2.1020363951473136	1.9647661708581925	SLC2A4
SOX2-17515932 UP	1/608	0.40846274048494113	0.7372155403825538	0	0	1.9950576606260297	1.786284012618932	PRPS1
ESX1-19796622 DOWN	3/2712	0.4110503955373118	0.7372155403825538	0	0	1.3663977218794494	1.2147814861418795	PRPS1;GATM;SGK1
MYC-19796622 UP	1/614	0.4115677506309472	0.7372155403825538	0	0	1.9749184339314845	1.7532963050668333	AKT1
TCF7L2-19796622 UP	1/624	0.41670870395657517	0.7372155403825538	0	0	1.942215088282504	1.7001526517913612	IGF1
RAD21-21589869 DOWN	1/659	0.4343711057936249	0.7372155403825538	0	0	1.8355813069908815	1.530610537319578	GATM
EOMES-19796622 UP	2/1724	0.43765138357667666	0.7372155403825538	0	0	1.4139372822299652	1.168382489653479	PRPS1;AKT1
RAD21-21589869 UP	1/671	0.44031001262946395	0.7372155403825538	0	0	1.8015858208955224	1.4777980179933468	SLC6A8
MYCN-19796622 DOWN	1/674	0.44178554217565613	0.7372155403825538	0	0	1.7932763744427935	1.4649825478055067	SLC2A4
CHiP PRDM14-21183938	2/1758	0.44792296167712503	0.7372155403825538	0	0	1.3839787395596053	1.1115204113213293	CKM;SGK1
NANOG-16767105 DOWN	1/698	0.45345866946593394	0.7372155403825538	0	0	1.7293758967001436	1.3676789173269688	AKT1
CHiP TIP60-20946988	1/705	0.456819811000844	0.7372155403825538	0	0	1.7115589488636365	1.3409486755812043	SLC2A4
SOX2-16767105 DOWN	1/713	0.4606372911791914	0.7372155403825538	0	0	1.691625702247191	1.3112540761377756	AKT1
EP400-22196727 DOWN	1/718	0.4630103781324142	0.7372155403825538	0	0	1.6793933054393306	1.293142602756104	SLC6A8
POU5F1-16518401 UP	1/724	0.4658451109295491	0.7372155403825538	0	0	1.6649377593360997	1.2718494175713497	PRPS1
ASCL2-19796622 UP	2/1819	0.4661280465547198	0.7372155403825538	0	0	1.3330398092093194	1.0175024939806143	IGF1;CKB
CHiP MTF2-20144788	3/2981	0.47579904683159024	0.7372155403825538	0	0	1.2236160414468003	0.9088526647860576	GATM;SLC16A12;AKT1
CHiP NACC1-18358816	1/769	0.48666104291623646	0.7372155403825538	0	0	1.563720703125	1.1261719610612828	SLC6A8
SALL4-19796622 DOWN	1/774	0.4889261963374095	0.7372155403825538	0	0	1.553201811125485	1.1113838152528184	SLC2A4
CHiP NANOG-18347094	2/1908	0.49214085213111897	0.7372155403825538	0	0	1.264568030779993	0.8965664910873969	PRPS1;IGF1
CHiP SUZ12-18692474	2/1909	0.49242926073580345	0.7372155403825538	0	0	1.2638349938821885	0.895306348531314	GATM;SLC16A12
CHiP NANOG-18692474	3/3052	0.49250620779112675	0.7372155403825538	0	0	1.1901325961673617	0.8429092854175932	PRPS1;IGF1;CKB
MSC-19796622 UP	1/796	0.4987815764485074	0.7372155403825538	0	0	1.508490566037736	1.0492864297829056	IGF1
CHiP SUZ12-18974828	2/1932	0.49903821195126713	0.7372155403825538	0	0	1.2471848013816926	0.8668839939335269	GATM;SLC16A12
SOX9-19796622 UP	3/3184	0.5230177912989922	0.7567170515402033	0	0	1.1318543135581802	0.7335998258332481	SLC6A8;AKT3;AKT1
CHiP SETDB1-19884255	2/2020	0.5238810356816792	0.7567170515402033	0	0	1.1869838123554675	0.7673739382626988	PSMB5;CKB
NRIP1-19796622 UP	2/2133	0.5547057233312322	0.790155775479136	0	0	1.1169716877835132	0.6582510006911552	GATM;AKT3
mESC H3K9me3 19884255	2/2163	0.5626788831444716	0.790155775479136	0	0	1.0996143760604657	0.6323290475047028	PSMD3;AKT1
