Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PI3K/AKT/MTOR Signaling Activation in Cancer	3/17	3.442744264155221E-7	9.138563669603297E-5	0	0	305.6479591836735	4548.599973962004	AKT2;AKT3;AKT1
Proteins Involved in Insulin Resistance	4/81	5.707296999774423E-7	9.138563669603297E-5	0	0	79.54445554445554	1143.5589429676934	AKT2;AKT1;SLC2A4;IGF1
mTOR Signaling	4/81	5.707296999774423E-7	9.138563669603297E-5	0	0	79.54445554445554	1143.5589429676934	AKT1;SLC2A4;IGF1;SGK1
Dexamethasone Induced Diabetes	3/21	6.719532110002424E-7	9.138563669603297E-5	0	0	237.67857142857142	3378.1438667537373	AKT1;SLC2A4;SGK1
PI3K/AKT/MTOR Signaling Activation by Blocking of Tumor Suppressors	3/25	1.15959377718675E-6	1.261638029579184E-4	0	0	194.42532467532467	2657.2966162374837	AKT2;AKT3;AKT1
Myostatin-IGF1 Crosstalk in Skeletal Muscles in Muscular Dystrophies	3/32	2.4915350814739284E-6	2.1287904870031856E-4	0	0	147.44334975369458	1902.4042658603282	AKT1;SLC2A4;IGF1
IGF1 Role in Muscle Hypertrophy	3/33	2.7392524648938054E-6	2.1287904870031856E-4	0	0	142.52142857142857	1825.3895868426932	AKT1;SLC2A4;IGF1
Glucocorticoids in Insulin Resistance in Skeletal Muscles	3/35	3.2825551383464033E-6	2.2321374940755543E-4	0	0	133.60044642857142	1686.9579316849192	AKT1;SLC2A4;SGK1
mTOR Signaling Hyperfunction	3/48	8.615629850848899E-6	5.207669598735334E-4	0	0	94.94285714285714	1107.217198924578	AKT1;IGF1;SGK1
Proteins with Altered Expression in Cancer-Associated Sustaining of Proliferative Signaling	4/175	1.2331668345829871E-5	6.708427580131449E-4	0	0	35.64912280701754	402.9541537249656	AKT2;AKT3;AKT1;IGF1
Steroids Induced Cataract	3/59	1.6100456261945033E-5	7.962407460452816E-4	0	0	76.25127551020408	841.5596270944254	AKT2;AKT1;IGF1
Ritonavir Induced Diabetes	2/9	2.4394349832130377E-5	0.001020809716052225	0	0	380.4952380952381	4041.30042892081	AKT1;SLC2A4
IGF1R -> CEBPA/FOXO1A Signaling	2/9	2.4394349832130377E-5	0.001020809716052225	0	0	380.4952380952381	4041.30042892081	AKT1;IGF1
Androgen Receptor/SGK1 Signaling	2/11	3.723204414400794E-5	0.0014467308581671656	0	0	295.9111111111111	3017.8023474852107	SLC2A4;SGK1
FOXO3 and PTEN Inactivation in Premature Ovarian Failure (Mouse Model)	2/12	4.4656194172606244E-5	0.0016195313086598531	0	0	266.3066666666667	2667.465395819719	AKT1;IGF1
Advanced Glycation End Products in Diabetes or Age Related Erectile Dysfunction	2/13	5.274920091662329E-5	0.0017248911213354823	0	0	242.0848484848485	2384.5265424278687	AKT1;IGF1
Proteins Involved in Arterial Hypertension	4/255	5.390284754173382E-5	0.0017248911213354823	0	0	24.188783328225558	237.73527836196806	AKT1;SLC2A4;IGF1;SGK1
Epithelial to Mesenchymal Transition in Cancer: Overview	3/90	5.724406606069783E-5	0.0017300428853899788	0	0	49.004926108374384	478.68926110000643	AKT2;AKT1;IGF1
Proteins Involved in Polycystic Ovary Syndrome	3/99	7.606688839952799E-5	0.0020990962664335336	0	0	44.390625	420.9961372047152	AKT1;SLC2A4;IGF1
Insulin Influence on Lipogenesis	2/16	8.103128969688274E-5	0.0020990962664335336	0	0	190.1809523809524	1791.6329788175672	AKT1;SLC2A4
Androgen Induced Sebocyte Hyperfunction	2/16	8.103128969688274E-5	0.0020990962664335336	0	0	190.1809523809524	1791.6329788175672	AKT1;IGF1
Genes with Mutations in Cancer-Associated Sustaining of Proliferative Signaling	3/112	1.0978197783324695E-4	0.002691422059527111	0	0	39.070773263433814	356.20879381432326	AKT2;AKT3;AKT1
Leptin in Insulin Synthesis and Secretion	2/19	1.1529687235353156E-4	0.002691422059527111	0	0	156.59607843137255	1420.0132794951876	AKT1;IGF1
Proteins Involved in Diabetes Mellitus Type 2	3/115	1.18739208508549E-4	0.002691422059527111	0	0	38.01849489795919	343.6332454392617	AKT1;SLC2A4;IGF1
Dexamethasone Induced Osteoporosis	2/21	1.4145138530987652E-4	0.0030779821443429134	0	0	140.09824561403508	1241.7684306790552	AKT1;SGK1
AGE Related Insulin Resistance in Skeletal Muscles	2/22	1.5551887733367725E-4	0.003134532911904745	0	0	133.08666666666667	1167.0028347616174	AKT1;SLC2A4
Proteins with Altered Expression in Endometrial Cancer	2/23	1.7024519462281439E-4	0.003134532911904745	0	0	126.74285714285715	1099.9088411626703	AKT1;IGF1
Hypoxia-Induced Cell Death Evasion in Cancer	2/23	1.7024519462281439E-4	0.003134532911904745	0	0	126.74285714285715	1099.9088411626703	AKT1;IGF1
beta-Cell Function Inhibition by Ciclosporine and Tacrolimus (Rodent Model)	2/23	1.7024519462281439E-4	0.003134532911904745	0	0	126.74285714285715	1099.9088411626703	AKT1;IGF1
Insulin Influence on Glycogenesis	2/24	1.8562933966781003E-4	0.003134532911904745	0	0	120.97575757575757	1039.394514011186	AKT1;SLC2A4
Adiponectin in Insulin Resistance Prevention	2/24	1.8562933966781003E-4	0.003134532911904745	0	0	120.97575757575757	1039.394514011186	AKT1;SLC2A4
IL6 and Insulin Resistance in Muscular Dystrophies	2/24	1.8562933966781003E-4	0.003134532911904745	0	0	120.97575757575757	1039.394514011186	AKT1;SLC2A4
Lipogenesis Regulation in Adipocyte	2/25	2.0167031602328324E-4	0.003134532911904745	0	0	115.71014492753623	984.5633090082882	AKT1;SLC2A4
Axonal Transport	2/25	2.0167031602328324E-4	0.003134532911904745	0	0	115.71014492753623	984.5633090082882	AKT1;SGK1
