Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTEX-QLQ7-0008-SM-447AW skin male 60-69 years	7/1720	3.0838920868616455E-4	0.23329060757540987	0	0	7.46584938704028	60.35503070500852	CKMT2;GATM;CKM;CKMT1B;SLC2A4;IGF1;CKB
GTEX-PWN1-0008-SM-48TEA skin female 40-49 years	7/1830	4.524012667470384E-4	0.23329060757540987	0	0	6.973121228743829	53.69959526370163	CKMT2;GATM;CKM;CKMT1B;SLC2A4;IGF1;CKB
GTEX-SUCS-0006-SM-4DM59 blood male 70-79 years	15/9613	6.917681377866246E-4	0.23329060757540987	0	0	8.114971869139405	59.04664293624656	PRPS1;CKM;SLC16A12;SLC2A4;IGF1;CKMT2;GATM;SLC6A8;PSMB5;AKT3;PSMD3;AKT1;CKMT1B;CKB;SGK1
GTEX-S4Q7-0006-SM-3K2AT blood male 20-29 years	13/7164	7.569098067299655E-4	0.23329060757540987	0	0	5.831911620752343	41.90967086210624	PRPS1;SLC16A12;IGF1;CKMT2;GATM;SLC6A8;PSMB5;AKT3;PSMD3;AKT1;CKMT1B;CKB;SGK1
GTEX-PX3G-0926-SM-48U12 spleen female 20-29 years	4/526	8.570780311206184E-4	0.23329060757540987	0	0	11.471264367816092	81.00985780281306	CKM;SLC16A12;CKMT1B;SLC2A4
GTEX-PLZ6-0008-SM-48TD5 skin male 30-39 years	7/2118	0.0011004228951301204	0.23329060757540987	0	0	5.926290857413548	40.370253182514325	CKMT2;GATM;CKM;CKMT1B;SLC2A4;IGF1;CKB
GTEX-PVOW-0008-SM-48TE8 skin male 40-49 years	7/2151	0.001207339110910067	0.23329060757540987	0	0	5.824300373134329	39.13543363451356	CKMT2;GATM;SLC6A8;CKMT1B;SLC2A4;IGF1;CKB
GTEX-R55D-0008-SM-48FEV skin male 50-59 years	7/2203	0.001392577595170514	0.23329060757540987	0	0	5.669808743169399	37.28805773984491	CKMT2;GATM;CKM;CKMT1B;SLC2A4;IGF1;CKB
GTEX-PWOO-0006-SM-2I3E3 blood female 40-49 years	12/6541	0.001547772113798032	0.23329060757540987	0	0	4.9455659365905955	32.00245415076538	CKMT2;PRPS1;GATM;SLC6A8;PSMB5;AKT3;PSMD3;SLC16A12;AKT1;IGF1;CKB;SGK1
GTEX-VJYA-0126-SM-4KL1P spleen male 60-69 years	3/304	0.0020188207463873653	0.23329060757540987	0	0	14.01186521120076	86.94701068104388	SLC16A12;CKMT1B;CKB
