Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTEX-XYKS-2426-SM-4AT43 muscle female 60-69 years	8/1114	1.3984806900364693E-6	0.0026109634482980883	0	0	15.17138838657826	204.51219870623288	CKMT2;PRPS1;SLC6A8;PSMB5;CKM;AKT2;PSMD3;SLC2A4
GTEX-W5WG-1926-SM-4KKZK muscle female 50-59 years	7/954	7.01566510304344E-6	0.006549123373691051	0	0	14.070960929250264	166.9852297737208	CKMT2;SLC6A8;PSMB5;CKM;AKT2;PSMD3;SLC2A4
GTEX-T5JW-1826-SM-3GAE1 muscle female 20-29 years	7/1025	1.1244960942466258E-5	0.0068680546127336895	0	0	13.040766208251473	148.60723080975094	CKMT2;SLC6A8;PSMB5;CKM;AKT2;PSMD3;SLC2A4
GTEX-SNOS-1526-SM-32PLW muscle male 40-49 years	7/1068	1.4714632271523705E-5	0.0068680546127336895	0	0	12.483883129123468	138.90402500879304	CKMT2;SLC6A8;PSMB5;CKM;AKT2;PSMD3;SLC2A4
GTEX-OOBK-1626-SM-2HMKG muscle male 40-49 years	6/745	2.2781648342673644E-5	0.008506667491154338	0	0	14.203961126829869	151.83402713976812	CKMT2;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
GTEX-XQ8I-0626-SM-4BOPT muscle male 50-59 years	7/1209	3.294312423084515E-5	0.009669654522208119	0	0	10.937354409317804	112.88145980632811	CKMT2;PRPS1;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
GTEX-P78B-1626-SM-2S1O1 muscle female 40-49 years	7/1235	3.7795042991599247E-5	0.009669654522208119	0	0	10.690960912052118	108.86961079948318	CKMT2;PRPS1;PSMB5;CKM;AKT2;PSMD3;SLC2A4
GTEX-WY7C-2526-SM-3NB2N muscle male 50-59 years	7/1291	5.028171611986239E-5	0.009669654522208119	0	0	10.194158878504673	100.90044958870928	CKMT2;SLC6A8;PSMB5;CKM;AKT2;PSMD3;SLC2A4
GTEX-P4QS-1626-SM-2S1NH muscle male 60-69 years	6/861	5.1456939284423843E-5	0.009669654522208119	0	0	12.20287081339713	120.50048441975969	CKMT2;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
GTEX-S3XE-2026-SM-3K2B5 muscle male 50-59 years	6/862	5.179247199897225E-5	0.009669654522208119	0	0	12.187977909940527	120.27420493952827	CKMT2;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
GTEX-OIZH-1626-SM-2HMKI muscle male 50-59 years	6/878	5.740563068964495E-5	0.009743301136142465	0	0	11.954336947456213	116.73850144616328	CKMT2;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
GTEX-O5YV-2026-SM-2D7VS muscle female 60-69 years	6/906	6.84034573936886E-5	0.010302035244392193	0	0	11.565454545454546	110.91371745885624	CKMT2;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
GTEX-SUCS-1626-SM-32PLS muscle male 70-79 years	6/914	7.183895183215034E-5	0.010302035244392193	0	0	11.45875050060072	109.32889790308697	CKMT2;SLC6A8;PSMB5;CKM;PSMD3;SLC2A4
