Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pancreas Female 30-39 Up	2/100	0.00320528834894988	0.0293818098653739	0	0	27.05442176870748	155.3722787250682	GATM;SLC16A12
Pancreas Female 20-29 Up	2/100	0.00320528834894988	0.0293818098653739	0	0	27.05442176870748	155.3722787250682	GATM;SLC16A12
Pancreas Female 40-49 Up	2/100	0.00320528834894988	0.0293818098653739	0	0	27.05442176870748	155.3722787250682	GATM;SLC16A12
Pancreas Female 60-69 Up	2/100	0.00320528834894988	0.0293818098653739	0	0	27.05442176870748	155.3722787250682	GATM;SLC16A12
Pancreas Female 50-59 Up	2/100	0.00320528834894988	0.0293818098653739	0	0	27.05442176870748	155.3722787250682	GATM;SLC16A12
Pancreas Male 20-29 Up	2/100	0.00320528834894988	0.0293818098653739	0	0	27.05442176870748	155.3722787250682	GATM;SLC16A12
Breast - Mammary Tissue Male 40-49 Up	1/65	0.05385732286437942	0.08171463267155567	0	0	19.4521484375	56.82783515327219	IGF1
Heart - Left Ventricle Female 70-79 Up	1/66	0.054664164526580065	0.08171463267155567	0	0	19.151923076923076	55.66596287289847	CKMT2
Breast - Mammary Tissue Female 30-39 Up	1/86	0.0706656488135395	0.08171463267155567	0	0	14.630882352941176	38.768849097220134	IGF1
Esophagus - Muscularis Male 70-79 Up	1/89	0.07304376905454353	0.08171463267155567	0	0	14.129971590909092	36.97384637926978	CKB
Brain - Cerebellar Hemisphere Male 60-69 Up	1/100	0.08171463267155567	0.08171463267155567	0	0	12.553030303030303	31.43934295429433	CKMT1B
Brain - Cerebellum Female 40-49 Up	1/100	0.08171463267155567	0.08171463267155567	0	0	12.553030303030303	31.43934295429433	CKMT1B
Brain - Cerebellar Hemisphere Female 50-59 Up	1/100	0.08171463267155567	0.08171463267155567	0	0	12.553030303030303	31.43934295429433	CKMT1B
Pancreas Male 50-59 Up	1/100	0.08171463267155567	0.08171463267155567	0	0	12.553030303030303	31.43934295429433	GATM
Heart - Left Ventricle Female 20-29 Up	1/100	0.08171463267155567	0.08171463267155567	0	0	12.553030303030303	31.43934295429433	CKMT2
Muscle - Skeletal Female 30-39 Up	1/100	0.08171463267155567	0.08171463267155567	0	0	12.553030303030303	31.43934295429433	PSMD3
