Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Opc L1-6 Pdgfra Col20A1 (id:481)	3/100	7.837829876798801E-5	0.0016459442741277482	0	0	43.930780559646536	415.3199946350019	CKMT1A;CKMT1B;CKB
Cardiomyocyte (id:84)	2/96	0.002958648154093225	0.01166240836949464	0	0	28.211347517730495	164.2753203692656	CKMT2;CKM
Inh L2-5 Pvalb Rph3Al (id:306)	2/99	0.003142749862972081	0.01166240836949464	0	0	27.334707903780068	157.52054884522119	CKMT1A;CKMT1B
Exc L6 Fezf2 Prokr2 (id:233)	2/101	0.0032684109262669566	0.01166240836949464	0	0	26.77979797979798	153.27287136771164	CKMT1A;CKMT1B
Exc L2-3 Rorb Rtkn2 (id:199)	2/101	0.0032684109262669566	0.01166240836949464	0	0	26.77979797979798	153.27287136771164	CKMT1A;CKMT1B
Transitional Principal-Intercalated Cell (id:612)	2/102	0.0033321166769984686	0.01166240836949464	0	0	26.510666666666665	151.2207540022897	CKMT1A;CKMT1B
Inh L1-6 Vip Slc7A6Os (id:300)	1/93	0.07620568756138293	0.0856306472143875	0	0	13.512907608695652	34.78653722330656	AKT3
Inh L1 Pax6 Mir101-1 (id:272)	1/97	0.07935745306317064	0.0856306472143875	0	0	12.947265625	32.80568984423409	SGK1
Neuroendocrine (id:456)	1/98	0.08014381161944185	0.0856306472143875	0	0	12.813144329896907	32.33951284796603	CKB
Bronchial Smooth Muscle Cell (id:76)	1/98	0.08014381161944185	0.0856306472143875	0	0	12.813144329896907	32.33951284796603	IGF1
Exc L5-6 Themis Smyd1 (L6 It Car3) (id:227)	1/98	0.08014381161944185	0.0856306472143875	0	0	12.813144329896907	32.33951284796603	AKT3
Exc L3-5 Fezf2 Linc01107 (id:204)	1/99	0.08092953799668379	0.0856306472143875	0	0	12.681760204081632	31.884182268430102	IGF1
Peritubular Capillary Endothelial Cell (id:500)	1/100	0.08171463267155567	0.0856306472143875	0	0	12.553030303030303	31.43934295429433	IGF1
Inh L3-5 Vip Hs3St3A1 (id:314)	1/100	0.08171463267155567	0.0856306472143875	0	0	12.553030303030303	31.43934295429433	IGF1
Exc L3-5 Rorb Rprm (id:208)	1/100	0.08171463267155567	0.0856306472143875	0	0	12.553030303030303	31.43934295429433	CKB
At2 (id:54)	1/100	0.08171463267155567	0.0856306472143875	0	0	12.553030303030303	31.43934295429433	CKB
Inh L5-6 Lamp5 Crabp1 (id:322)	1/101	0.0824990961274289	0.0856306472143875	0	0	12.426875	31.004654740919353	AKT3
Proximal Tubule Epithelial Cell (id:523)	1/101	0.0824990961274289	0.0856306472143875	0	0	12.426875	31.004654740919353	GATM
Cap2 (id:80)	1/101	0.0824990961274289	0.0856306472143875	0	0	12.426875	31.004654740919353	SLC6A8
Medullary Thick Ascending Limb Cell (id:403)	1/104	0.0848487039018828	0.0856306472143875	0	0	12.063106796116505	29.7583039952957	GATM
Lymphatic Endothelial Cell (id:367)	1/105	0.0856306472143875	0.0856306472143875	0	0	11.946514423076923	29.361092234542827	IGF1
