Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Heart	2/415	0.04757003854569552	0.42503280643607677	0	0	6.317998385794996	19.241793619640475	CKMT2;CKM
CD71+ EarlyErythroid	2/553	0.07895621344167778	0.42503280643607677	0	0	4.7022383545069575	11.938333522751336	PRPS1;SLC6A8
Kidney	1/142	0.1141244437060844	0.42503280643607677	0	0	8.795212765957446	19.089708639811313	GATM
Uterus	1/201	0.15783803986056658	0.42503280643607677	0	0	6.1821875	11.413466997170229	IGF1
retina	1/218	0.1700516292571852	0.42503280643607677	0	0	5.692972350230415	10.085972605095764	SLC16A12
Prostate	1/249	0.191895436785764	0.42503280643607677	0	0	4.973538306451613	8.210340189986086	AKT1
BronchialEpithelialCells	1/280	0.21319730465061193	0.42503280643607677	0	0	4.413978494623656	6.821968091985136	PSMB5
Colorectaladenocarcinoma	1/292	0.22130040014346808	0.42503280643607677	0	0	4.229381443298969	6.378897838192312	PSMD3
Lung	1/299	0.22599086627348913	0.42503280643607677	0	0	4.128565436241611	6.140253101071745	AKT1
Fetalbrain	1/325	0.24318082709773156	0.42503280643607677	0	0	3.7922453703703702	5.362045219873505	AKT3
CD105+ Endothelial	1/370	0.2720865233571068	0.42503280643607677	0	0	3.3221544715447155	4.324233076056408	PRPS1
Thyroid	1/388	0.28335520429071787	0.42503280643607677	0	0	3.1647286821705425	3.990893857022562	AKT2
SkeletalMuscle	1/441	0.31558932944437806	0.43696984076913886	0	0	2.775994318181818	3.201591725750205	CKM
721 B lymphoblasts	2/1543	0.38165134348932944	0.4515292384363214	0	0	1.5956738048886006	1.5370292829234842	PRPS1;PSMD3
Liver	1/618	0.4136292283216117	0.4515292384363214	0	0	1.961709886547812	1.7317686314760532	IGF1
pineal night	1/674	0.44178554217565613	0.4515292384363214	0	0	1.7932763744427935	1.4649825478055067	SLC6A8
CD33+ Myeloid	1/679	0.44423662512795464	0.4515292384363214	0	0	1.7795907079646018	1.4439561971753336	SGK1
pineal day	1/694	0.4515292384363214	0.4515292384363214	0	0	1.7397186147186148	1.3832766269176882	CKB
