Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Arginine and proline metabolism	6/50	2.167863990086027E-12	2.471364948698071E-10	0	0	247.17768595041323	6638.520017174931	CKMT2;GATM;CKM;CKMT1A;CKMT1B;CKB
FoxO signaling pathway	6/131	8.206604458116714E-10	4.6777645411265273E-8	0	0	86.6530909090909	1812.861661545776	AKT2;AKT3;AKT1;SLC2A4;IGF1;SGK1
AMPK signaling pathway	5/120	4.1762472319220094E-8	1.5869739481303636E-6	0	0	71.98550724637681	1223.125023573209	AKT2;AKT3;AKT1;SLC2A4;IGF1
Spinocerebellar ataxia	5/143	1.005795294602024E-7	2.8665165896157683E-6	0	0	59.91847826086956	965.4255209585073	PSMB5;AKT2;AKT3;PSMD3;AKT1
mTOR signaling pathway	5/154	1.4562974080079344E-7	3.3203580902580907E-6	0	0	55.46420581655481	873.1285352962645	AKT2;AKT3;AKT1;IGF1;SGK1
Adipocytokine signaling pathway	4/69	2.9841568453594475E-7	5.66989800618295E-6	0	0	94.28639053254437	1416.6321246303487	AKT2;AKT3;AKT1;SLC2A4
Melanoma	4/72	3.545726530398664E-7	5.774468920934967E-6	0	0	90.1131221719457	1338.3918613989156	AKT2;AKT3;AKT1;IGF1
Glioma	4/75	4.182518410872301E-7	5.9600887354930285E-6	0	0	86.29252437703141	1267.3940189805464	AKT2;AKT3;AKT1;IGF1
Prostate cancer	4/97	1.1787217874989481E-6	1.4930475974986676E-5	0	0	65.80645161290323	898.3291313734982	AKT2;AKT3;AKT1;IGF1
Progesterone-mediated oocyte maturation	4/100	1.331899620230903E-6	1.4943595273294845E-5	0	0	63.74038461538461	862.3375666219024	AKT2;AKT3;AKT1;IGF1
Longevity regulating pathway	4/102	1.4419258597038886E-6	1.4943595273294845E-5	0	0	62.43328100470958	839.6983442670211	AKT2;AKT3;AKT1;IGF1
Insulin resistance	4/108	1.8127245448347064E-6	1.64931766244344E-5	0	0	58.81360946745562	777.555885188195	AKT2;AKT3;AKT1;SLC2A4
HIF-1 signaling pathway	4/109	1.8808008431372562E-6	1.64931766244344E-5	0	0	58.25054945054945	767.9643447792761	AKT2;AKT3;AKT1;IGF1
