Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AKT1 activemutant 9 GDS2304	4/300	1.0121923535514024E-4	0.008806073475897201	0	0	20.464656964656964	188.23845272683081	SLC6A8;AKT2;AKT3;SLC2A4
KSR1 knockout 126 GSE28228	3/300	0.001944001714153394	0.08456407456567264	0	0	14.203463203463203	88.67231581712312	PRPS1;PSMB5;SGK1
MYLK knockdown 48 GSE14525	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	PSMB5;AKT1
TGFBR2 knockout 295 GSE45968	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	PRPS1;AKT2
TRIM28 knockout 302 GSE32224	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	CKMT2;AKT3
PRKACB knockdown 91 GSE27869	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	IGF1;SGK1
PLK2 knockdown 87 GSE27869	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	AKT2;PSMD3
MAP2K1 druginhibition 172 GSE39984	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	SLC6A8;SGK1
WEE1 druginhibition 307 GSE38972	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	PRPS1;PSMB5
PIK3CA knockdown 182 GSE46869	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	PSMB5;SGK1
AKT2 knockout 221 GSE19079	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	SLC6A8;AKT2
AKT1 knockout 214 GSE39699	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	PSMD3;AKT1
AKT1 knockdown 123 GSE27869	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	AKT2;AKT1
BTK mutant 1 GDS1346	2/300	0.026291292253072487	0.15248949506782042	0	0	8.807606263982104	32.04662941593047	AKT2;PSMD3
