Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IRAK4 defectivemutant 200 GSE6789	4/300	1.0121923535514024E-4	0.007996319593056078	0	0	20.464656964656964	188.23845272683081	AKT3;SLC16A12;IGF1;CKB
HIPK2 knockout 171 GSE39253	3/300	0.001944001714153394	0.051192045139372706	0	0	14.203463203463203	88.67231581712312	PSMD3;IGF1;CKB
MAP2K4 knockdown 62 GSE19091	3/300	0.001944001714153394	0.051192045139372706	0	0	14.203463203463203	88.67231581712312	PRPS1;GATM;PSMB5
AKT1 activemutant 10 GDS2304	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	AKT1;CKB
AKT1 activemutant 9 GDS2304	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	AKT1;CKB
HIPK2 knockdown 106 GSE27869	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	PRPS1;PSMD3
EGFR drugactivation 19 GDS2146	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	PRPS1;SGK1
FGFR1 activemutant 58 GSE17916	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	CKMT2;PSMD3
MET knockout 247 GDS3148	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	IGF1;SGK1
ROCK2 knockdown 157 GSE34769	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	CKB;SGK1
PIK3CG knockdown 96 GSE27869	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	CKM;AKT3
ERBB2 overexpression 230 GSE14990	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	PRPS1;AKT1
IKBKB knockdown 86 GSE27869	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	PRPS1;CKM
BTK mutant 1 GDS1346	2/300	0.026291292253072487	0.14835800628519477	0	0	8.807606263982104	32.04662941593047	GATM;AKT1
HIPK2 defectivemutant 29 GDS4233	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
IRAK2 knockout 39 GSE10765	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKM
FGFR3 druginhibition 36 GDS5023	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SGK1
BRAF knockdown 193 GSE5481	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKMT2
HIPK1 knockout 170 GSE39253	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
AKT1 knockdown 43 GSE12291	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKM
BTK knockout 2 GDS1346	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	GATM
CDK7 knockdown 124 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
IGF1R druginhibition 46 GSE14024	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	IGF1
AKT1 activemutant 216 GSE9484	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
RET knockout 270 GSE32093	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SGK1
KSR2 knockout 60 GSE17923	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMD3
ERBB2 knockdown 234 GSE8373	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
GSK3A knockdown 207 GDS4305	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	IGF1
EPHA4 knockout 227 GSE34430	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT3
CSF1R druginhibition 195 GSE57686	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT3
PRKCA knockdown 118 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	IGF1
ERBB3 knockout 239 GSE32129	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SLC6A8
PRKACB knockdown 91 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKM
AKT1 knockout 212 GSE39699	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
SYK druginhibition 284 GSE43510	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
JAK1 druginhibition 166 GSE38335	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
AKT1 knockout 213 GSE39699	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SLC6A8
JAK2 druginhibition 168 GSE38335	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
CDK19 knockdown 162 GSE38061	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
MELK druginhibition 186 GSE50227	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMD3
AKT1 knockout 210 GSE39699	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKB
WEE1 druginhibition 307 GSE38972	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT3
BRD4 druginhibition 224 GSE50865	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMD3
IGF1R knockout 151 GSE32936	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKMT2
BRD4 knockdown 223 GSE50865	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SGK1
PDGFRB knockdown 114 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKM
ITK knockout 241 GSE12465	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMD3
ITK knockout 242 GSE12465	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
ROCK1 knockdown 156 GSE34769	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKB
ABL1 knockdown 100 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
MET knockout 249 GDS3148	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	GATM
MAP3K1 knockout 245 GSE39240	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SLC16A12
CHEK2 knockdown 84 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
PLK1 druginhibition 181 GSE46856	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SLC6A8
MAPK14 knockdown 101 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
TBK1 druginhibition 188 GSE53658	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SGK1
AKT1 knockout 214 GSE39699	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
JAK2 activemutant 178 GSE44961	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
ERBB3 drugactivation 31 GDS4361	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SGK1
EPHB2 drugactivation 228 GSE26523	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMD3
ERBB2 druginhibition 8 GDS2139	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
JAK2 knockout 79 GSE26188	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMD3
MET knockout 253 GSE30651	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
SNRK overexpression 127 GSE30185	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT3
ATM knockout 16 GDS1544	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT1
AURKB knockdown 92 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
MELK knockdown 150 GSE32873	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	SGK1
BMPR1A knockout 222 GSE48092	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKMT2
TRPM7 overexpression 305 GSE23102	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
MET knockout 256 GSE25583	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
PIK3CA activemutant 56 GSE17785	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
PLK1 knockdown 98 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
CDK9 knockdown 71 GSE21751	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
CDK3 knockdown 110 GSE27869	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
ATM knockout 74 GSE23116	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT3
SYK knockdown 279 GDS3609	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	AKT2
GSK3A knockdown 205 GDS4305	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PRPS1
GSK3B knockdown 206 GDS4305	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	PSMB5
JAK2 knockdown 192 GSE54645	1/300	0.22665875807778754	0.22665875807778754	0	0	4.114548494983278	6.1072640814360994	CKM
