Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DC 11 Paul Et Al. 2015	3/271	0.001453431540446166	0.023987921285843816	0	0	15.763592750533048	102.99660273041424	GATM;CKB;SGK1
NASH Kupffer Cells 4 Seidman Et Al. 2020	3/277	0.0015476078248931493	0.023987921285843816	0	0	15.41371220020855	99.74282339959585	GATM;SLC6A8;CKB
Monocyte-derived 3 Misharin Et Al. 2017	5/1407	0.0051811483505809575	0.05353853295600323	0	0	5.52217070851165	29.06168548971853	GATM;SLC6A8;PSMD3;AKT1;IGF1
Day 7 post-MI 3 Mouton Et Al. 2018	5/1704	0.011576408136197492	0.08971716305553057	0	0	4.484010202079655	19.99324206164155	SLC6A8;PSMB5;PSMD3;IGF1;CKB
RETNLA+ Interstitial Macrophages 3 Culemann Et Al. 2019	2/251	0.018845083220296	0.1168395159658352	0	0	10.567068273092369	41.96714584406672	GATM;IGF1
CX3CR1+ Lining Macrophages 2 Culemann Et Al. 2019	2/296	0.025644550265853067	0.1193266880623679	0	0	8.929251700680272	32.71163672537596	IGF1;SGK1
CCR2+ARG1+ Infiltrating Macrophages 5 Culemann Et Al. 2019	2/304	0.026944736014083072	0.1193266880623679	0	0	8.689183222958057	31.402424247475953	PSMB5;SGK1
Kupffer Cells & Spleen & Lung M? 3 Lavin Et Al. 2014	2/425	0.049647019108458174	0.18550855653286247	0	0	6.16548463356974	18.513821629416768	AKT1;IGF1
MHCII+ Interstitial Macrophages 4 Culemann Et Al. 2019	1/65	0.05385732286437942	0.18550855653286247	0	0	19.4521484375	56.82783515327219	IGF1
Spleen 1 Gautier Et Al. 2012	1/83	0.06828178733054555	0.2116735407246912	0	0	15.168445121951219	40.713808681356575	IGF1
Erythroid Progenitors 2 Paul Et Al. 2015	1/135	0.1087986523383489	0.30661438386261963	0	0	9.257929104477611	20.536459850114344	PSMD3
MHCII High Dendritic Cells 6 Culemann Et Al. 2019	1/159	0.12693406952722158	0.32791301294532244	0	0	7.8421677215189876	16.18692009165463	CKB
Erythroid Progenitors 8 Paul Et Al. 2015	1/191	0.15057476274270096	0.35008628068677305	0	0	6.510855263157895	12.32697333373052	AKT1
Pre-microglia P1 4 Matcovitch-Natan Et Al. 2016	1/214	0.1671929342336873	0.35008628068677305	0	0	5.801056338028169	10.375809037256893	CKB
Lung M? 4 Lavin Et Al. 2014	1/223	0.17361201123765793	0.35008628068677305	0	0	5.563344594594595	9.741039691029968	SGK1
Ileal & Colonic M? 7 Lavin Et Al. 2014	1/233	0.18068969325768933	0.35008628068677305	0	0	5.320851293103448	9.103838863530969	GATM
Kupffer Cells & Spleen M? 2 Lavin Et Al. 2014	1/262	0.20089372482502335	0.3663356158573955	0	0	4.722701149425287	7.579837315554733	CKB
Yolk Sac 1 Matcovitch-Natan Et Al. 2016	1/313	0.2352921389412589	0.4052253503988348	0	0	3.9405048076923075	5.701624346414991	IGF1
Mature Microglia A2 7 Matcovitch-Natan Et Al. 2016	1/361	0.2663898459718848	0.4346360644804436	0	0	3.4067708333333333	4.50645757379683	SGK1
Early Microglia E2 3 Matcovitch-Natan Et Al. 2016	1/449	0.32033464381630505	0.48822042932955306	0	0	2.725306919642857	3.102459603422678	PRPS1
Day 1 post-MI 1 Mouton Et Al. 2018	1/470	0.33264419193563166	0.48822042932955306	0	0	2.6004797441364604	2.862300863290188	SLC2A4
Progenitor 2 2 Thion Et Al. 2018	2/1467	0.35758875026506326	0.48822042932955306	0	0	1.6853697383390216	1.733186534800443	PRPS1;AKT3
Healthy Kupffer Cells 1 Seidman Et Al. 2020	1/522	0.3622280604703136	0.48822042932955306	0	0	2.3346928982725528	2.3708368959141604	IGF1
Adult 1 6 Thion Et Al. 2018	2/1623	0.4066564356277703	0.5252645626858701	0	0	1.5103434094180548	1.3589867438717407	SLC6A8;SGK1
STMN1+ Proliferating Cells 7 Culemann Et Al. 2019	1/673	0.44129410624792004	0.5472046917474208	0	0	1.7960379464285714	1.469237559774436	GATM
AM Differentiation 1 Misharin Et Al. 2017	3/2957	0.4701095677646758	0.5605152538732673	0	0	1.2352983847567462	0.932390236029019	PRPS1;PSMB5;SGK1
Progenitor 1 1 Thion Et Al. 2018	1/896	0.5413668794025661	0.6215693800547981	0	0	1.3329608938547486	0.817982222183409	CKMT2
Infiltrating Monocytes 2 Misharin Et Al. 2017	2/2283	0.5936629732346113	0.657269720366891	0	0	1.0347508402747334	0.539564105751581	AKT3;CKB
Progenitor 3 3 Thion Et Al. 2018	1/1330	0.6897339942279413	0.7373018558988338	0	0	0.8772573363431151	0.3258565983559671	PSMB5
Embryonic 2 5 Thion Et Al. 2018	1/1507	0.7361384566534227	0.7606764052085369	0	0	0.7668077689243028	0.23490163559479355	IGF1
Early Fibrosis 4 Misharin Et Al. 2017	1/1797	0.798334744899117	0.798334744899117	0	0	0.6328994988864143	0.14254623876511735	AKT2
