Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T58-Heart Male 8W Up	3/92	6.11266918299256E-5	0.002139434214047396	0	0	47.89887640449438	464.7418148047324	CKMT2;SLC6A8;SLC2A4
T58-Heart Consensus	4/720	0.002725266266441356	0.024323568734636137	0	0	8.279759346798453	48.89354500289823	CKMT2;SLC6A8;SLC2A4;CKB
T59-Kidney Consensus	3/338	0.0027283289091587022	0.024323568734636137	0	0	12.568017057569296	74.20240192548566	SLC2A4;IGF1;CKB
T60-Adrenal Female 2W Up	2/93	0.0027798364268155585	0.024323568734636137	0	0	29.145787545787545	171.53354523215606	AKT1;IGF1
T59-Kidney Female 4W Up	1/5	0.004243143988996933	0.026702092577683224	0	0	312.171875	1705.2235013634931	SLC2A4
T60-Adrenal Female 8W Down	2/120	0.004577501584745696	0.026702092577683224	0	0	22.44632768361582	120.90943213897548	SLC2A4;CKB
T56-Vastus-Lateralis Female 1W Up	1/10	0.00846936628057759	0.04143366030765252	0	0	138.70833333333334	661.8190142974174	CKMT2
T56-Vastus-Lateralis Female 2W Up	1/13	0.010996994142530848	0.04143366030765252	0	0	104.015625	469.12433437564215	CKMT2
T55-Gastrocnemius Male 1W Up	1/13	0.010996994142530848	0.04143366030765252	0	0	104.015625	469.12433437564215	CKMT2
T55-Gastrocnemius Male 4W Up	1/14	0.01183818865932929	0.04143366030765252	0	0	96.00961538461539	425.93942395331476	CKMT2
T66-Lung Female 2W Up	1/16	0.013518558453539395	0.04301359507944353	0	0	83.2	358.0671608642671	SLC6A8
T68-Liver Consensus	2/276	0.022513032768321773	0.059054878340654454	0	0	9.590754257907543	36.384069461530274	SLC6A8;IGF1
T58-Heart Female 8W Up	1/27	0.02271263147660753	0.059054878340654454	0	0	47.97355769230769	181.5719549673859	CKMT2
T61-Colon Female 2W Down	1/30	0.025206075066878136	0.059054878340654454	0	0	43.00431034482759	158.28468525367578	SLC6A8
T56-Vastus-Lateralis Consensus	3/764	0.025309233574566194	0.059054878340654454	0	0	5.412614980289093	19.899944386363845	CKMT2;AKT2;SLC2A4
T63-Testes Male 2W Down	1/35	0.029348514575720203	0.06212502465746915	0	0	36.67095588235294	129.39395719366985	IGF1
T68-Liver Male 8W Up	1/36	0.03017501197648502	0.06212502465746915	0	0	35.621428571428574	124.70139957851625	SLC6A8
T58-Heart Male 2W Up	1/40	0.033474383104990776	0.06508907825970428	0	0	31.96153846153846	108.57254123777712	CKMT2
T60-Adrenal Male 1W Up	2/362	0.03714406275562791	0.06669099512032789	0	0	7.267777777777778	23.93243856302237	AKT2;SLC2A4
T64-Ovaries Consensus	3/896	0.03810914006875879	0.06669099512032789	0	0	4.5808670612701965	14.967072120181415	SLC6A8;IGF1;SGK1
T56-Vastus-Lateralis Female 4W Up	1/53	0.04412453306089756	0.07354088843482927	0	0	23.955528846153847	74.75896142380645	CKMT2
T61-Colon Consensus	5/2515	0.052920881220458536	0.08419231103254766	0	0	2.9005644090305447	8.52463490905367	SLC6A8;PSMB5;PSMD3;SLC16A12;AKT1
T70-White-Adipose Male 2W Down	1/74	0.06109562531641464	0.09297160374237011	0	0	17.046232876712327	47.64959069441307	CKM
T60-Adrenal Female 2W Down	1/86	0.0706656488135395	0.10305407118641176	0	0	14.630882352941176	38.768849097220134	CKB
T56-Vastus-Lateralis Female 8W Up	1/95	0.0777828375206224	0.10889597252887136	0	0	13.22406914893617	33.77208362032262	CKMT2
T63-Testes Consensus	1/107	0.08719264777091836	0.11737471815315934	0	0	11.71992924528302	28.59235270387481	IGF1
T30-Blood-Rna Consensus	3/1575	0.14514715802291775	0.18815372336304154	0	0	2.509678298800436	4.843697106787652	AKT2;AKT3;SLC2A4
T60-Adrenal Consensus	6/4489	0.16223626827332685	0.19839356746671608	0	0	1.8859124368827693	3.4299118912041133	AKT2;SLC16A12;AKT1;SLC2A4;IGF1;CKB
T30-Blood-Rna Male 2W Up	1/213	0.1664768138567705	0.19839356746671608	0	0	5.82871462264151	10.450297990148172	AKT2
T30-Blood-Rna Male 1W Up	1/218	0.1700516292571852	0.19839356746671608	0	0	5.692972350230415	10.085972605095764	AKT2
T66-Lung Consensus	2/961	0.19550240584709733	0.2207285227305938	0	0	2.6449774070212024	4.317086083965043	SLC6A8;IGF1
T55-Gastrocnemius Consensus	1/565	0.38575470152939717	0.42191920479777817	0	0	2.1519281914893615	2.049826945295728	CKMT2
T69-Brown-Adipose Consensus	2/1631	0.40913612524287213	0.4339322540454704	0	0	1.5022713321055863	1.3425909368432527	SLC2A4;CKB
T30-Blood-Rna Male 8W Up	1/791	0.49655755235985	0.5111621862527868	0	0	1.5184335443037975	1.0629883403142832	AKT2
T62-Spleen Consensus	1/1099	0.6175625223227014	0.6175625223227014	0	0	1.0749658469945356	0.5181066263529186	CKB
