Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
skeletal muscle	4/710	0.0025903016353581608	0.049215731071805054	0	0	8.40139463935498	50.038546413026225	CKMT2;CKM;AKT2;SLC2A4
mammary gland non-lactating	2/201	0.01237673461794994	0.11757897887052443	0	0	13.255611390284757	58.217807593481794	CKM;SLC2A4
neuro2a	2/425	0.049647019108458174	0.26739783046108084	0	0	6.16548463356974	18.513821629416768	PRPS1;AKT3
adipose brown	2/456	0.05629428009706965	0.26739783046108084	0	0	5.735389133627019	16.50164565408436	AKT2;SLC2A4
microglia	1/90	0.07383520219328692	0.28057376833449027	0	0	13.970505617977528	36.406015342407166	IGF1
macrophage peri LPS thio 1hrs	2/598	0.09032060467918424	0.2860152481507501	0	0	4.3371364653243845	10.428166089925627	SLC6A8;SGK1
osteoblast day21	1/264	0.20226967796044873	0.4599962136904899	0	0	4.686311787072244	7.489445268488009	IGF1
MEF	1/300	0.22665875807778754	0.4599962136904899	0	0	4.114548494983278	6.1072640814360994	AKT1
macrophage peri LPS thio 0hrs	1/353	0.2612909322717675	0.4599962136904899	0	0	3.485617897727273	4.678120314239458	SLC6A8
min6	1/361	0.2663898459718848	0.4599962136904899	0	0	3.4067708333333333	4.50645757379683	PRPS1
olfactory bulb	1/414	0.2993426520398316	0.4599962136904899	0	0	2.9615617433414045	3.572136172451768	CKB
cornea	1/427	0.3072099125552024	0.4599962136904899	0	0	2.8692781690140845	3.3863909887257964	SLC16A12
intestine small	1/466	0.3303158142605823	0.4599962136904899	0	0	2.6233870967741937	2.905941809103742	SLC6A8
dorsal root ganglia	1/541	0.3727262428676638	0.4599962136904899	0	0	2.250347222222222	2.220892567244405	AKT3
kidney	1/554	0.37981526343664695	0.4599962136904899	0	0	2.195976491862568	2.125859606604076	GATM
heart	1/568	0.38736523258146516	0.4599962136904899	0	0	2.14021164021164	2.029749490877868	CKMT2
pancreas	1/667	0.4383369290235202	0.4899059794968756	0	0	1.8127815315315314	1.4951231467423884	GATM
embryonic stem line Bruce4 p13	1/876	0.5331322602109838	0.5542585292894631	0	0	1.3648571428571428	0.8584756835616272	AKT1
liver	1/928	0.5542585292894631	0.5542585292894631	0	0	1.284789644012945	0.7581852574839052	IGF1
