Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
UACC257	2/196	0.011796443870131065	0.13492397977556236	0	0	13.600687285223367	60.38646889116274	SLC6A8;AKT3
A361	2/205	0.012849902835767845	0.13492397977556236	0	0	12.991789819376026	56.57169681140714	SLC6A8;SGK1
MALME 3M	2/366	0.03789548040166045	0.22186364354762023	0	0	7.186446886446887	23.520690354443044	GATM;AKT3
SKMEL28	2/436	0.05197010329127008	0.22186364354762023	0	0	6.005837173579109	17.7597810028164	SLC6A8;SGK1
ZR75 1	2/440	0.05282467703514767	0.22186364354762023	0	0	5.949771689497717	17.49695072447157	CKMT2;AKT1
HELA	1/162	0.12917641598942675	0.3615981326017622	0	0	7.694875776397516	15.748149957406868	PRPS1
HEK 293 T-rex    	2/773	0.13857271395229767	0.3615981326017622	0	0	3.3224383916990923	6.566334607735288	CKM;CKB
KM12	1/179	0.14178100627369258	0.3615981326017622	0	0	6.954002808988764	13.584447140756783	GATM
SKMEL2	1/216	0.1686234381637829	0.3615981326017622	0	0	5.746511627906977	10.229291946826688	SLC6A8
SN12C	1/221	0.1721895869532201	0.3615981326017622	0	0	5.614488636363636	9.876779110409798	PRPS1
PANC1	1/337	0.2509928763398107	0.4455579801592137	0	0	3.654575892857143	5.051832530272422	AKT2
SHSYSY+RA	1/351	0.2600110021967802	0.4455579801592137	0	0	3.505892857142857	4.722547527732248	AKT3
huh-7	1/414	0.2993426520398316	0.4455579801592137	0	0	2.9615617433414045	3.572136172451768	GATM
U20S	1/458	0.3256361027892805	0.4455579801592137	0	0	2.6704048140043763	2.9961268275285002	PSMD3
HEK 293T	1/529	0.3661149038899727	0.4455579801592137	0	0	2.3029119318181817	2.3139844470636337	CKB
HEK293	1/546	0.37546176690923894	0.4455579801592137	0	0	2.2291284403669724	2.183651170984771	CKB
ALVA31	1/560	0.3830616246589332	0.4455579801592137	0	0	2.171735241502683	2.0839089714883388	SLC2A4
SHSYSY-RA	1/584	0.3958878227310922	0.4455579801592137	0	0	2.079759862778731	1.9271562012773673	AKT3
MDA MB435	1/621	0.41517087384578794	0.4455579801592137	0	0	1.9519153225806452	1.71586063684633	SLC6A8
K562	1/639	0.42434093348496543	0.4455579801592137	0	0	1.895082288401254	1.624498759862769	IGF1
CCRT CEM	1/2130	0.8526810257042289	0.8526810257042289	0	0	0.5241310474401127	0.0835306316390426	SLC2A4
