Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pancreatic Progenitor Cells	3/114	1.1570242214951093E-4	0.002082643598691197	0	0	38.36293436293436	347.74039612786925	CKMT1A;CKMT1B;CKB
Cardiomyocytes	3/174	4.023229136546445E-4	0.0036209062228918006	0	0	24.827067669172934	194.10435894909764	CKMT2;CKM;CKB
Oxyphil Cells	2/94	0.0028388510214479115	0.01703310612868747	0	0	28.827536231884057	169.05493156649112	CKMT2;SLC2A4
Myocytes	2/163	0.008285092259151689	0.0372829151661826	0	0	16.415734989648033	78.68550136310326	CKMT2;CKM
Glycinergic Neurons	1/100	0.08171463267155567	0.1929440049880306	0	0	12.553030303030303	31.43934295429433	CKB
Undefined Placental Cells	1/108	0.08797270596617715	0.1929440049880306	0	0	11.60981308411215	28.22030554114064	PSMD3
Spermatozoa	1/108	0.08797270596617715	0.1929440049880306	0	0	11.60981308411215	28.22030554114064	SGK1
Motor Neurons	1/111	0.09030911785300354	0.1929440049880306	0	0	11.291477272727272	27.150547372191404	CKB
Luteal Cells	1/125	0.10113808374787076	0.1929440049880306	0	0	10.009576612903226	22.93462789217583	AKT1
Leydig Cells	1/145	0.11639774352560338	0.1929440049880306	0	0	8.610677083333334	18.51934596571155	IGF1
Loop Of Henle Cells	1/147	0.11791022527046315	0.1929440049880306	0	0	8.491866438356164	18.154181662067753	IGF1
Smooth Muscle Cells	1/169	0.13438749659312352	0.2009704332361404	0	0	7.371651785714286	14.79511070365777	AKT2
Podocytes	1/184	0.1454554333771828	0.2009704332361404	0	0	6.762295081967213	13.036930899672841	SLC2A4
Adipocytes	1/210	0.16432497374812993	0.2009704332361404	0	0	5.913277511961723	10.678842642933322	SLC2A4
Olfactory Epithelial Cells	1/226	0.17574133511114554	0.2009704332361404	0	0	5.488333333333333	9.542795961300165	CKB
Fibroblasts	1/232	0.1799845008406272	0.2009704332361404	0	0	5.3441558441558445	9.164610227089177	IGF1
Endothelial Cells	1/246	0.1898054091674659	0.2009704332361404	0	0	5.035204081632653	8.367280059696222	SGK1
Neurons	1/289	0.21928202219903398	0.21928202219903398	0	0	4.274088541666667	6.485487442745123	IGF1
