Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuroblastoma SK-N-BE BTO:0002696 48h P003963-1	3/230	9.060817974273178E-4	0.15040957837293475	0	0	18.64946507237256	130.66525721844903	PSMB5;AKT3;CKB
Neuroblastoma SK-N-BE BTO:0002696 48h P003963-2	3/230	9.060817974273178E-4	0.15040957837293475	0	0	18.64946507237256	130.66525721844903	PSMB5;AKT3;CKB
Breast MCF-7 BTO:0000093 MDAMB453 R3-2	3/598	0.013229592219642003	0.44706319361150326	0	0	6.982472989195679	30.20128430164167	PSMB5;CKMT1B;CKB
Breast MDA-MB-453 BTO:0001908 MDAMB453 R3-1	3/598	0.013229592219642003	0.44706319361150326	0	0	6.982472989195679	30.20128430164167	PSMB5;CKMT1B;CKB
Breast MCF-7 BTO:0000093 MDAMB453 R1-2	2/295	0.025483917469932105	0.44706319361150326	0	0	8.960182025028441	32.88124908926688	CKMT1B;CKB
Breast MDA-MB-453 BTO:0001908 MDAMB453 R1-1	2/296	0.025644550265853067	0.44706319361150326	0	0	8.929251700680272	32.71163672537596	CKMT1B;CKB
Renal SN-12C BTO:0004221 P0001751	2/384	0.04134985878495573	0.44706319361150326	0	0	6.841535776614311	21.794986607296053	PRPS1;AKT1
Colon HRA-19 PDB:201059 HRA-19 CRC65	2/411	0.046748706954252206	0.44706319361150326	0	0	6.381092094539527	19.545085244845655	CKMT1B;CKB
Melanoma SK-MEL-5 BTO:0002134 P001570	2/414	0.047364195263509754	0.44706319361150326	0	0	6.3336569579288025	19.316948848414118	AKT3;CKMT1B
Colon C70 PDB:200066 C70 CRC65	2/421	0.048812198180431775	0.44706319361150326	0	0	6.2256165473349245	18.79996142491321	CKMT1B;CKB
Colon HDC-82 PDB:200099 HDC-82 CRC65	2/425	0.049647019108458174	0.44706319361150326	0	0	6.16548463356974	18.513821629416768	CKMT1B;CKB
Breast MCF-7 BTO:0000093 MDAMB453 R4-2	2/429	0.05048716361359113	0.44706319361150326	0	0	6.10647931303669	18.23416804439938	PSMB5;CKMT1B
Breast MDA-MB-453 BTO:0001908 MDAMB453 R4-1	2/429	0.05048716361359113	0.44706319361150326	0	0	6.10647931303669	18.23416804439938	PSMB5;CKMT1B
Cecum C84 PDB:200069 C84 CRC65	2/431	0.050909219408826416	0.44706319361150326	0	0	6.077389277389277	18.09671038515872	CKMT1B;CKB
Renal HEK-293 BTO:0000007 HEK293 R1	2/443	0.053469002993440304	0.44706319361150326	0	0	5.908390022675737	17.303625206655973	PSMB5;CKB
Colon HDC-57 PDB:201057 HDC-57 CRC65	2/444	0.0536844217487102	0.44706319361150326	0	0	5.894720965309201	17.23989202633591	CKMT1B;CKB
Breast HCC-1143 PDB:200001 HCC1143 R1-1	2/447	0.05433259951246841	0.44706319361150326	0	0	5.854082397003745	17.05078112166335	PSMB5;AKT3
Breast MCF-7 BTO:0000093 HCC1143 R1-2	2/447	0.05433259951246841	0.44706319361150326	0	0	5.854082397003745	17.05078112166335	PSMB5;AKT3
Cecum LS411 PDB:200122 LS411 CRC65	2/479	0.0614216639244084	0.44706319361150326	0	0	5.4524109014675055	15.212186467541068	PRPS1;CKMT1B
Colon C99 PDB:200070 C99 CRC65	2/485	0.06278556711234491	0.44706319361150326	0	0	5.383022774327122	14.90036882594259	CKMT1B;CKB
Embryonic stem hES H1 PDB:200035 4plex protein D-1	3/1104	0.06394550940349376	0.44706319361150326	0	0	3.6749708057609967	10.1051553278108	PRPS1;PSMD3;AKT1
Embryonic stem hES H9 PDB:200038 4plex protein D-2	3/1104	0.06394550940349376	0.44706319361150326	0	0	3.6749708057609967	10.1051553278108	PRPS1;PSMD3;AKT1
Human fetal fibroblast NFF PDB:200043 4plex protein D-4	3/1104	0.06394550940349376	0.44706319361150326	0	0	3.6749708057609967	10.1051553278108	PRPS1;PSMD3;AKT1
Human iPS iPS DF19.7 PDB:200040 4plex protein D-3	3/1104	0.06394550940349376	0.44706319361150326	0	0	3.6749708057609967	10.1051553278108	PRPS1;PSMD3;AKT1
Lymphoblastoid BTO:0000773 X129.126 HM42.GM18608	2/492	0.06439022564644681	0.44706319361150326	0	0	5.30421768707483	14.548373439667813	PRPS1;PSMD3
Lymphoblastoid BTO:0000773 X131.126 HM42.GM18558	2/492	0.06439022564644681	0.44706319361150326	0	0	5.30421768707483	14.548373439667813	PRPS1;PSMD3
Lymphoblastoid BTO:0000773 X130.126 HM42.GM18499	2/493	0.06462063281818399	0.44706319361150326	0	0	5.293143245078072	14.499091915629206	PRPS1;PSMD3
Colon VACO 4A PDB:201062 VACO 4A CRC65	2/493	0.06462063281818399	0.44706319361150326	0	0	5.293143245078072	14.499091915629206	CKMT1B;CKB
Lymphoblastoid BTO:0000773 X126.126 HM42.GM12878	2/493	0.06462063281818399	0.44706319361150326	0	0	5.293143245078072	14.499091915629206	PRPS1;PSMD3
Lymphoblastoid BTO:0000773 X128.126 HM42.GM18632	2/494	0.06485133075915844	0.44706319361150326	0	0	5.2821138211382115	14.450056128071928	PRPS1;PSMD3
Hematopoietic K-562 BTO:0000664 K562 R1	2/506	0.06764217158925445	0.44706319361150326	0	0	5.1531746031746035	13.880197668099841	PSMB5;CKB
Colon HDC-54 PDB:200097 HDC-54 CRC65	2/512	0.06905294422914775	0.44706319361150326	0	0	5.090980392156863	13.607588635530297	CKMT1B;CKB
Colon C75 PDB:200067 C75 CRC65	2/513	0.06928905511000621	0.44706319361150326	0	0	5.080756686236138	13.562919016449364	CKMT1B;CKB
Colon HCA-46 PDB:200092 HCA-46 CRC65	2/518	0.07047378379400651	0.44706319361150326	0	0	5.030232558139535	13.342764795815608	CKMT1B;CKB
Colon HDC-73 PDB:201058 HDC-73 CRC65	2/522	0.07142654124778536	0.44706319361150326	0	0	4.99051282051282	13.170391282534453	CKMT1B;CKB
Lymphoblastoid BTO:0000773 X127.126 HM42.GM12340	2/530	0.07334516534116983	0.44706319361150326	0	0	4.912878787878788	12.83528242163031	PRPS1;PSMD3
Prostate LNCaP BTO:0001321 LnCap R3	2/537	0.07503811012219669	0.44706319361150326	0	0	4.846853582554517	12.5521834603701	CKMT1B;CKB
Prostate LNCaP BTO:0001321 LnCap R1	2/576	0.08470292474543215	0.44706319361150326	0	0	4.508478513356562	11.129653264462702	CKMT1B;CKB
Renal HEK-293 BTO:0000007 HEK293 R2	2/618	0.09552527116107923	0.44706319361150326	0	0	4.191991341991342	9.844323429719926	PSMB5;CKB
Colon HDC-143 PDB:200096 HDC-143 CRC65	2/624	0.09710416353166519	0.44706319361150326	0	0	4.1502679528403	9.678304615339076	CKMT1B;CKB
Embryonic stem hES H1 PDB:200035 8plex protein rep3-1	2/627	0.09789657041369104	0.44706319361150326	0	0	4.129706666666666	9.596793074506872	PRPS1;PSMD3
Embryonic stem hES H7 PDB:200036 8plex protein rep3-2	2/627	0.09789657041369104	0.44706319361150326	0	0	4.129706666666666	9.596793074506872	PRPS1;PSMD3
Embryonic stem hES H9 PDB:200038 8plex protein rep3-3	2/627	0.09789657041369104	0.44706319361150326	0	0	4.129706666666666	9.596793074506872	PRPS1;PSMD3
Embryonic stem hES H14 PDB:200037 8plex protein rep3-4	2/629	0.09842592893878296	0.44706319361150326	0	0	4.1161084529505585	9.542995775974532	PRPS1;PSMD3
Human iPS iPS DF19.11 PDB:200039 8plex protein rep3-8	2/629	0.09842592893878296	0.44706319361150326	0	0	4.1161084529505585	9.542995775974532	PRPS1;PSMD3
Human iPS iPS DF19.7 PDB:200040 8plex protein rep3-7	2/629	0.09842592893878296	0.44706319361150326	0	0	4.1161084529505585	9.542995775974532	PRPS1;PSMD3
Human iPS iPS DF6.9 PDB:200042 8plex protein rep3-6	2/629	0.09842592893878296	0.44706319361150326	0	0	4.1161084529505585	9.542995775974532	PRPS1;PSMD3
Human iPS iPS DF4.7 PDB:200041 8plex protein rep3-5	2/632	0.09922158748269587	0.44706319361150326	0	0	4.095873015873016	9.463103674938258	PRPS1;PSMD3
Melanoma A-375 BTO:0002806 2hrs 25cm	1/136	0.10956132028111423	0.44706319361150326	0	0	9.188888888888888	20.31912245540372	AKT3
Mixed PDB:200045 gcpool scxfrac rep1	1/138	0.11108481371066996	0.44706319361150326	0	0	9.053832116788321	19.895445529940535	PSMB5
Gastric HFE-145 PDB:200047 HFE-145 scxfrac rep1	1/138	0.11108481371066996	0.44706319361150326	0	0	9.053832116788321	19.895445529940535	PSMB5
Melanoma A-375 BTO:0002806 DEWinfluence 5s	1/143	0.11488282122106265	0.44706319361150326	0	0	8.732834507042254	18.89647946482192	AKT3
