Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Creatine Metabolism R-HSA-71288	6/10	2.9184899635801106E-17	7.033560812228066E-15	0	0	2724.409090909091	103726.10102698307	CKMT2;GATM;SLC6A8;CKM;CKMT1A;CKB
Metabolism Of Amino Acids And Derivatives R-HSA-71291	8/364	2.3490852446193955E-10	2.8306477197663716E-8	0	0	49.006242197253435	1086.5578227282188	CKMT2;GATM;SLC6A8;PSMB5;CKM;CKMT1A;PSMD3;CKB
Regulation Of PTEN Stability And Activity R-HSA-8948751	5/67	2.173230381584124E-9	1.7458284065392463E-7	0	0	133.877688172043	2670.4650899604635	PSMB5;AKT2;AKT3;PSMD3;AKT1
Cyclin E Associated Events During G1/S Transition R-HSA-69202	5/82	6.09405957169532E-9	3.3201285234231814E-7	0	0	107.71645021645021	2037.5591352243764	PSMB5;AKT2;AKT3;PSMD3;AKT1
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	5/84	6.888233451085438E-9	3.3201285234231814E-7	0	0	104.9789029535865	1972.915887374166	PSMB5;AKT2;AKT3;PSMD3;AKT1
KEAP1-NFE2L2 Pathway R-HSA-9755511	5/100	1.6664329868330147E-8	6.693505830445942E-7	0	0	87.2280701754386	1562.2543301775686	PSMB5;AKT2;AKT3;PSMD3;AKT1
Regulation Of TP53 Degradation R-HSA-6804757	4/36	2.0684898383664146E-8	6.983015044641323E-7	0	0	191.83653846153845	3394.3292284288705	AKT2;AKT3;AKT1;SGK1
Regulation Of TP53 Expression And Degradation R-HSA-6806003	4/37	2.3180132928269954E-8	6.983015044641323E-7	0	0	186.01398601398603	3270.120342895983	AKT2;AKT3;AKT1;SGK1
RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332	3/8	2.8485265782063636E-8	7.627721170530374E-7	0	0	856.2	14875.51509145671	AKT2;AKT3;AKT1
Transcriptional Regulation By RUNX2 R-HSA-8878166	5/119	4.0042433537616845E-8	9.65022648256566E-7	0	0	72.62061403508773	1236.9706009272475	PSMB5;AKT2;AKT3;PSMD3;AKT1
G1/S Transition R-HSA-69206	5/129	6.004220896104208E-8	1.2246117488587963E-6	0	0	66.73051075268818	1109.6094826741053	PSMB5;AKT2;AKT3;PSMD3;AKT1
AKT Phosphorylates Targets In Nucleus R-HSA-198693	3/10	6.097651861537575E-8	1.2246117488587963E-6	0	0	611.5102040816327	10158.88264605809	AKT2;AKT3;AKT1
PTEN Regulation R-HSA-6807070	5/139	8.727338845671399E-8	1.6179143552360057E-6	0	0	61.71952736318408	1003.2027914405027	PSMB5;AKT2;AKT3;PSMD3;AKT1
Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399	3/12	1.1167396036693565E-7	1.8548730997959547E-6	0	0	475.57142857142856	7612.796329638431	AKT2;AKT3;AKT1
Mitotic G1 Phase And G1/S Transition R-HSA-453279	5/147	1.1544853318232083E-7	1.8548730997959547E-6	0	0	58.218896713615024	930.0143310120674	PSMB5;AKT2;AKT3;PSMD3;AKT1
SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779	3/13	1.451004890660488E-7	2.0570128155833973E-6	0	0	427.99285714285713	6739.106752908584	AKT2;AKT3;AKT1
Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803	3/13	1.451004890660488E-7	2.0570128155833973E-6	0	0	427.99285714285713	6739.106752908584	AKT2;AKT3;AKT1
S Phase R-HSA-69242	5/161	1.8176066110849753E-7	2.224153281886124E-6	0	0	52.95673076923077	821.9189150563354	PSMB5;AKT2;AKT3;PSMD3;AKT1
AKT Phosphorylates Targets In Cytosol R-HSA-198323	3/14	1.845770358411721E-7	2.224153281886124E-6	0	0	389.06493506493507	6032.529211825387	AKT2;AKT3;AKT1
Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759	3/14	1.845770358411721E-7	2.224153281886124E-6	0	0	389.06493506493507	6032.529211825387	AKT2;AKT3;AKT1
Activation Of BAD And Translocation To Mitochondria R-HSA-111447	3/15	2.3060089156863605E-7	2.6464197556210136E-6	0	0	356.625	5450.149152015522	AKT2;AKT3;AKT1
Apoptosis R-HSA-109581	5/178	2.9949247831030854E-7	3.280803966944744E-6	0	0	47.71194605009634	716.689564392605	PSMB5;AKT2;AKT3;PSMD3;AKT1
Cellular Response To Chemical Stress R-HSA-9711123	5/182	3.344379247973077E-7	3.5043278207022235E-6	0	0	46.62429378531073	695.2061981897153	PSMB5;AKT2;AKT3;PSMD3;AKT1
Regulation Of Gene Expression In Beta Cells R-HSA-210745	3/20	5.762613044844332E-7	5.786623932531183E-6	0	0	251.67226890756302	3615.7011498247193	AKT2;AKT3;AKT1
Programmed Cell Death R-HSA-5357801	5/208	6.480816943643951E-7	6.228489378886863E-6	0	0	40.59934318555008	578.5101534131198	PSMB5;AKT2;AKT3;PSMD3;AKT1
CTLA4 Inhibitory Signaling R-HSA-389513	3/21	6.719532110002424E-7	6.228489378886863E-6	0	0	237.67857142857142	3378.1438667537373	AKT2;AKT3;AKT1
CD28 Dependent PI3K/Akt Signaling R-HSA-389357	3/23	8.938226733599011E-7	7.978194973323562E-6	0	0	213.8892857142857	2978.9983029196896	AKT2;AKT3;AKT1
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638	3/24	1.0209769829080983E-6	8.787694745744704E-6	0	0	203.69387755102042	2809.906231967641	AKT2;AKT3;AKT1
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451	3/25	1.15959377718675E-6	9.63662414834506E-6	0	0	194.42532467532467	2657.2966162374837	AKT2;AKT3;AKT1
Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400	3/26	1.310158828975595E-6	1.0524942592770614E-5	0	0	185.96273291925465	2518.93257023079	AKT2;AKT3;AKT1
VEGFR2 Mediated Vascular Permeability R-HSA-5218920	3/27	1.4731568722521896E-6	1.1452606652025088E-5	0	0	178.20535714285714	2392.9598779783223	AKT2;AKT3;AKT1
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758	3/29	1.8383856818323226E-6	1.3425786343078477E-5	0	0	164.48076923076923	2172.2354636412115	AKT2;AKT3;AKT1
Downregulation Of ERBB2 Signaling R-HSA-8863795	3/29	1.8383856818323226E-6	1.3425786343078477E-5	0	0	164.48076923076923	2172.2354636412115	AKT2;AKT3;AKT1
Activation Of BH3-only Proteins R-HSA-114452	3/30	2.0415807327257887E-6	1.4471204605497502E-5	0	0	158.38095238095238	2075.0733732670315	AKT2;AKT3;AKT1
PIP3 Activates AKT Signaling R-HSA-1257604	5/268	2.257395514820557E-6	1.5543780544907266E-5	0	0	31.24207858048162	406.1875998921751	PSMB5;AKT2;AKT3;PSMD3;AKT1
G-protein Beta:Gamma Signaling R-HSA-397795	3/32	2.4915350814739284E-6	1.6679443184311577E-5	0	0	147.44334975369458	1902.4042658603282	AKT2;AKT3;AKT1
CD28 Co-Stimulation R-HSA-389356	3/34	3.002766994017173E-6	1.9558563393463207E-5	0	0	137.91705069124424	1753.749956650506	AKT2;AKT3;AKT1
FLT3 Signaling R-HSA-9607240	3/37	3.892853014069904E-6	2.4688883589232815E-5	0	0	125.72899159663865	1566.1266185909462	AKT2;AKT3;AKT1
Intracellular Signaling By Second Messengers R-HSA-9006925	5/306	4.317736474543495E-6	2.6681397188845698E-5	0	0	27.2452934662237	336.5550959872985	PSMB5;AKT2;AKT3;PSMD3;AKT1
Regulation Of Beta-Cell Development R-HSA-186712	3/41	5.329582934516802E-6	3.2110737180463736E-5	0	0	112.4718045112782	1365.6593704748034	AKT2;AKT3;AKT1
Regulation Of TP53 Activity R-HSA-5633007	4/157	8.031829021227838E-6	4.721148278331485E-5	0	0	39.879336349924586	467.8682934957656	AKT2;AKT3;AKT1;SGK1
