Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Creatine Metabolism R-HSA-71288	6/10	2.9184899635801106E-17	7.033560812228066E-15	0	0	2724.409090909091	103726.10102698307	CKMT2;GATM;SLC6A8;CKM;CKMT1A;CKB
Metabolism Of Amino Acids And Derivatives R-HSA-71291	8/364	2.3490852446193955E-10	2.8306477197663716E-8	0	0	49.006242197253435	1086.5578227282188	CKMT2;GATM;SLC6A8;PSMB5;CKM;CKMT1A;PSMD3;CKB
Regulation Of PTEN Stability And Activity R-HSA-8948751	5/67	2.173230381584124E-9	1.7458284065392463E-7	0	0	133.877688172043	2670.4650899604635	PSMB5;AKT2;AKT3;PSMD3;AKT1
Cyclin E Associated Events During G1/S Transition R-HSA-69202	5/82	6.09405957169532E-9	3.3201285234231814E-7	0	0	107.71645021645021	2037.5591352243764	PSMB5;AKT2;AKT3;PSMD3;AKT1
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	5/84	6.888233451085438E-9	3.3201285234231814E-7	0	0	104.9789029535865	1972.915887374166	PSMB5;AKT2;AKT3;PSMD3;AKT1
KEAP1-NFE2L2 Pathway R-HSA-9755511	5/100	1.6664329868330147E-8	6.693505830445942E-7	0	0	87.2280701754386	1562.2543301775686	PSMB5;AKT2;AKT3;PSMD3;AKT1
Regulation Of TP53 Degradation R-HSA-6804757	4/36	2.0684898383664146E-8	6.983015044641323E-7	0	0	191.83653846153845	3394.3292284288705	AKT2;AKT3;AKT1;SGK1
Regulation Of TP53 Expression And Degradation R-HSA-6806003	4/37	2.3180132928269954E-8	6.983015044641323E-7	0	0	186.01398601398603	3270.120342895983	AKT2;AKT3;AKT1;SGK1
RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332	3/8	2.8485265782063636E-8	7.627721170530374E-7	0	0	856.2	14875.51509145671	AKT2;AKT3;AKT1
Transcriptional Regulation By RUNX2 R-HSA-8878166	5/119	4.0042433537616845E-8	9.65022648256566E-7	0	0	72.62061403508773	1236.9706009272475	PSMB5;AKT2;AKT3;PSMD3;AKT1
G1/S Transition R-HSA-69206	5/129	6.004220896104208E-8	1.2246117488587963E-6	0	0	66.73051075268818	1109.6094826741053	PSMB5;AKT2;AKT3;PSMD3;AKT1
