Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cardiac Muscle Cell Heart CL:0000746	2/88	0.002493640221385313	0.04239188376355032	0	0	30.848062015503874	184.90364463692268	CKMT2;CKM
Type I Pneumocyte Lung CL:0002062	1/68	0.056275905553084066	0.07620568756138293	0	0	18.578358208955223	53.4590176825742	CKMT2
Macrophage Lung CL:0000235	1/70	0.05788506010088898	0.07620568756138293	0	0	18.03804347826087	51.395724355594396	GATM
Smooth Muscle Cell Brain Non-Microglia CL:0000192	1/72	0.05949163205762846	0.07620568756138293	0	0	17.528169014084508	49.46308393849017	SLC16A12
Clara Cell Lung CL:0000158	1/74	0.06109562531641464	0.07620568756138293	0	0	17.046232876712327	47.64959069441307	SLC16A12
Hepatocyte Liver CL:0000182	1/80	0.06589217159861402	0.07620568756138293	0	0	15.746835443037975	42.82722951905598	IGF1
Endothelial Cell Heart CL:0000115	1/81	0.06668935033874882	0.07620568756138293	0	0	15.54921875	42.10277516212065	SGK1
Smooth Muscle Cell Heart CL:0000192	1/82	0.06748588875841267	0.07620568756138293	0	0	15.356481481481481	41.39856725730863	SLC16A12
Smooth Muscle Cell Fat CL:0000192	1/86	0.0706656488135395	0.07620568756138293	0	0	14.630882352941176	38.768849097220134	SLC2A4
Endothelial Cell Kidney CL:0000115	1/87	0.07145899283790368	0.07620568756138293	0	0	14.460029069767442	38.15468849161774	SGK1
Oligodendrocyte Brain Non-Microglia CL:0000128	1/89	0.07304376905454353	0.07620568756138293	0	0	14.129971590909092	36.97384637926978	SGK1
Microglial Cell Brain Microglia CL:0000129	1/89	0.07304376905454353	0.07620568756138293	0	0	14.129971590909092	36.97384637926978	SGK1
Stromal Cell Mammary CL:0000499	1/90	0.07383520219328692	0.07620568756138293	0	0	13.970505617977528	36.406015342407166	IGF1
Endothelial Cell Hepatic Sinusoid Liver CL:1000398	1/91	0.07462599934884333	0.07620568756138293	0	0	13.814583333333333	35.852522791117856	GATM
Brain Pericyte Brain Non-Microglia CL:2000043	1/91	0.07462599934884333	0.07620568756138293	0	0	13.814583333333333	35.852522791117856	SLC2A4
Mesenchymal Stem Cell Muscle CL:0000134	1/91	0.07462599934884333	0.07620568756138293	0	0	13.814583333333333	35.852522791117856	IGF1
Fibroblast Heart CL:0000057	1/93	0.07620568756138293	0.07620568756138293	0	0	13.512907608695652	34.78653722330656	IGF1
