Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lung-capillary Aerocyte	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	SGK1
Muscle-fast Muscle Cell	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	CKM
Salivary Gland-adventitial Cell	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	IGF1
Muscle-slow Muscle Cell	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	CKM
Salivary Gland-fibroblast	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	IGF1
Pancreas-pancreatic Acinar Cell	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	GATM
Pancreas-fibroblast	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	IGF1
Eye-retinal Ganglion Cell	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	CKM
Large Intestine-mature Enterocyte	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	SGK1
Thymus-fast Muscle Cell	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	CKM
Small Intestine-mature Enterocyte	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	SGK1
Lung-pulmonary Ionocyte	1/100	0.08171463267155567	0.0824990961274289	0	0	12.553030303030303	31.43934295429433	IGF1
Lymph Node-non-classical Monocyte	1/101	0.0824990961274289	0.0824990961274289	0	0	12.426875	31.004654740919353	SGK1
