Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CAMKK2	5/836	5.125942179754265E-4	0.022482293685173876	0	0	9.602888086642599	72.75173004896666	SLC6A8;AKT2;AKT3;AKT1;CKB
MEK2	5/854	5.651178823731518E-4	0.022482293685173876	0	0	9.390459363957596	70.22632692814807	CKM;AKT2;AKT3;AKT1;SGK1
VRK1	5/882	6.548240879176856E-4	0.022482293685173876	0	0	9.077347016343596	66.54733744727787	CKM;AKT2;AKT3;AKT1;SGK1
PDHK4	4/795	0.0038968095151162767	0.08545734549852911	0	0	7.46552562481766	41.41572855778749	AKT2;AKT3;AKT1;SGK1
PLK4	4/809	0.004148414830025685	0.08545734549852911	0	0	7.3303392259914	40.20712313453663	CKM;AKT2;AKT3;AKT1
PDK1	4/892	0.005872262249694354	0.08847744264005385	0	0	6.616424116424116	33.991980312135105	AKT2;AKT3;AKT1;SGK1
DMPK1	4/898	0.006013030082333757	0.08847744264005385	0	0	6.56995353639649	33.597602393431934	CKMT2;CKM;AKT1;CKB
AAK1	3/744	0.023617828209109744	0.1592957450548465	0	0	5.564488143435512	20.84320049135658	CKMT2;CKM;CKB
TBK1	3/756	0.024624843228191095	0.1592957450548465	0	0	5.472396129766648	20.26975230032503	CKM;AKT2;SLC2A4
GAK	3/764	0.025309233574566194	0.1592957450548465	0	0	5.412614980289093	19.899944386363845	CKMT2;CKM;CKB
NEK7	3/765	0.025395516635510477	0.1592957450548465	0	0	5.405230596175478	19.854399142153525	CKMT2;CKMT1A;CKMT1B
PBK	3/766	0.025481962898088663	0.1592957450548465	0	0	5.3978655682456465	19.809002933529143	CKMT2;CKM;CKB
BIKE	3/774	0.0261794093655069	0.1592957450548465	0	0	5.339633129516398	19.45111987412097	CKMT2;CKM;CKB
MASTL	3/776	0.026355403573110305	0.1592957450548465	0	0	5.325263352430235	19.363093985816114	CKM;AKT2;AKT3
VRK2	3/794	0.02796874656539955	0.1592957450548465	0	0	5.199205345855156	18.59582923508135	SLC6A8;PSMB5;CKM
CAMKK1	3/804	0.028887913757330477	0.1592957450548465	0	0	5.131621187800963	18.188169087357032	AKT2;AKT3;AKT1
TTBK2	3/817	0.030107245059130566	0.1592957450548465	0	0	5.046244296244296	17.67694046400419	PRPS1;AKT2;CKB
TTBK1	3/818	0.030202182627365393	0.1592957450548465	0	0	5.039789658194566	17.638462904416443	PRPS1;AKT2;CKB
NEK3	3/832	0.03154844373389863	0.1592957450548465	0	0	4.951059796656901	17.11200644210817	AKT2;AKT3;AKT1
NEK5	3/854	0.03372856405199731	0.1592957450548465	0	0	4.817525600134296	16.32857042062287	AKT2;AKT3;AKT1
MAP3K15	3/860	0.03433682094406024	0.1592957450548465	0	0	4.7822970495082515	16.123691465028955	AKT2;AKT3;AKT1
ANKRD3	3/871	0.03546716148097382	0.1592957450548465	0	0	4.7189763001974985	15.757360460349208	CKM;AKT2;AKT1
ASK1	3/872	0.03557089452681038	0.1592957450548465	0	0	4.713299358868979	15.724639148832793	AKT2;AKT3;AKT1
NEK11	3/890	0.03746583029735235	0.16079085502613719	0	0	4.613303269447576	15.151591659048023	AKT2;AKT3;AKT1
ICK	2/704	0.1188666917749804	0.4336922732939744	0	0	3.662108262108262	7.799384779438635	AKT1;SGK1
MTOR	2/736	0.1279080584488021	0.4336922732939744	0	0	3.4966394187102634	7.190641637073302	AKT2;AKT1
IKKB	2/754	0.1330693133603053	0.4336922732939744	0	0	3.4097517730496456	6.877077659745254	AKT2;CKB
CK1G3	2/756	0.13364598788181645	0.4336922732939744	0	0	3.4003536693191867	6.843418692915952	CKM;CKB
PLK1	2/764	0.13595892753257452	0.4336922732939744	0	0	3.363254593175853	6.711046429283844	CKM;AKT2
CDKL1	2/769	0.13740951634779233	0.4336922732939744	0	0	3.3404606692742287	6.6301117339434095	AKT1;SLC2A4
