Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Creatine Pathway WP5190	3/5	5.094523695718354E-9	5.013214026979114E-7	0	0	2140.8214285714284	40879.198531314374	GATM;SLC6A8;CKB
Growth Factors And Hormones In Beta Cell Proliferation WP5385	4/26	5.277067396820121E-9	5.013214026979114E-7	0	0	279.1748251748252	5321.042941242632	AKT2;AKT3;AKT1;IGF1
Involvement Of Secretase In Neurodegenerative Diseases WP5372	3/17	3.442744264155221E-7	2.18040470063164E-5	0	0	305.6479591836735	4548.599973962004	AKT2;AKT3;AKT1
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	4/84	6.60863889687551E-7	2.462539442435666E-5	0	0	76.55	1089.2849078515928	AKT2;AKT3;AKT1;IGF1
Urea Cycle And Metabolism Of Amino Groups WP497	3/21	6.719532110002424E-7	2.462539442435666E-5	0	0	237.67857142857142	3378.1438667537373	GATM;CKM;CKB
Sildenafil Treatment WP5294	3/22	7.776440344533682E-7	2.462539442435666E-5	0	0	225.1578947368421	3167.295420047808	AKT2;AKT3;AKT1
S1P Receptor Signal Transduction WP26	3/25	1.15959377718675E-6	2.7540352208185313E-5	0	0	194.42532467532467	2657.2966162374837	AKT2;AKT3;AKT1
Relationship Between Inflammation COX 2 And EGFR WP4483	3/25	1.15959377718675E-6	2.7540352208185313E-5	0	0	194.42532467532467	2657.2966162374837	AKT2;AKT3;AKT1
Lipid Metabolism Pathway WP3965	3/29	1.8383856818323226E-6	3.232502826815832E-5	0	0	164.48076923076923	2172.2354636412115	AKT2;AKT3;AKT1
Alzheimer 39 S Disease And miRNA Effects WP2059	5/260	1.945566619479597E-6	3.232502826815832E-5	0	0	32.23529411764706	423.8927412725425	PSMB5;AKT2;AKT3;PSMD3;AKT1
Alzheimer 39 S Disease WP5124	5/260	1.945566619479597E-6	3.232502826815832E-5	0	0	32.23529411764706	423.8927412725425	PSMB5;AKT2;AKT3;PSMD3;AKT1
Cell Migration And Invasion Through p75NTR WP4561	3/30	2.0415807327257887E-6	3.232502826815832E-5	0	0	158.38095238095238	2075.0733732670315	AKT2;AKT3;AKT1
Resistin As A Regulator Of Inflammation WP4481	3/33	2.7392524648938054E-6	4.0035228333063305E-5	0	0	142.52142857142857	1825.3895868426932	AKT2;AKT3;AKT1
