ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
1000_at	MAPK3	mitogen-activated protein kinase 3	0.295	1.973
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	-0.875	2.508
1013_at	SMAD5	SMAD family member 5	0.562	2.232
1016_s_at	IL13RA2	interleukin 13 receptor subunit alpha 2	-0.465	2.265
1018_at	WNT10B	Wnt family member 10B	-0.424	5.842
1021_at	IFNG	interferon gamma	0.518	5.283
1023_at	EPO	erythropoietin	-0.305	2.613
1026_s_at	COL11A2	collagen type XI alpha 2 chain	-0.363	3.96
102_at	HIPK3	homeodomain interacting protein kinase 3	-0.365	3.009
1035_g_at	TIMP3	TIMP metallopeptidase inhibitor 3	-0.538	4.974
1036_at	IL15	interleukin 15	0.881	4.37
1038_s_at	IFNGR1	interferon gamma receptor 1	1.869	7.72
1039_s_at	HIF1A	hypoxia inducible factor 1 alpha subunit	0.833	2.134
1040_s_at	ABI2	abl-interactor 2	-0.455	3.13
1055_g_at	RFC4	replication factor C subunit 4	0.408	2.875
1057_at	CRABP2	cellular retinoic acid binding protein 2	-0.91	4.767
105_at	NR1I3	nuclear receptor subfamily 1 group I member 3	-0.369	2.037
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	1.333	9.449
1064_at	TWF1	twinfilin actin binding protein 1	0.636	3.289
106_at	RUNX3	runt related transcription factor 3	1.067	6.501
1078_at	PRLR	prolactin receptor	-0.544	1.937
1079_g_at	PRLR	prolactin receptor	-0.454	2.501
1080_s_at	CYP1A2	cytochrome P450 family 1 subfamily A member 2	-0.585	5.633
1083_s_at	MUC1	mucin 1, cell surface associated	-0.421	3.592
1086_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.454	3.983
1087_at	EPOR	erythropoietin receptor	-0.379	3.688
1089_i_at			-0.637	4.356
1093_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	-0.57	2.551
1105_s_at	IL23A	interleukin 23 subunit alpha	0.997	3.859
1106_s_at	TRAC///TRAJ17///TRAV20///TRDV2	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2	1.987	7.88
1109_s_at	PDGFA	platelet derived growth factor subunit A	-0.368	3.153
1114_at	BMP4	bone morphogenetic protein 4	-0.481	2.216
1119_at	RPA2	replication protein A2	0.558	4.566
1121_g_at	GSTM3	glutathione S-transferase mu 3	-0.498	3.252
1124_at	KMT2A	lysine methyltransferase 2A	-0.223	2.052
1125_s_at	CD44	CD44 molecule (Indian blood group)	-0.22	2.183
1126_s_at	CD44	CD44 molecule (Indian blood group)	1.127	3.107
1127_at	RPS6KA1	ribosomal protein S6 kinase A1	0.318	2.392
112_g_at	TAF1	TATA-box binding protein associated factor 1	-0.396	4.073
1144_at	FGFR2	fibroblast growth factor receptor 2	-0.317	1.86
1145_g_at	FGFR2	fibroblast growth factor receptor 2	-0.433	2.286
1151_at	RPL22	ribosomal protein L22	0.603	2.025
1163_at	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	-0.455	3.302
1166_at	PSMD2	proteasome 26S subunit, non-ATPase 2	0.429	2.224
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7	-0.607	2.64
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	-0.398	3.091
1173_g_at	SAT1	spermidine/spermine N1-acetyltransferase 1	0.961	3.938
1178_at	DHFR	dihydrofolate reductase	-0.541	1.979
1181_at	GNL1	G protein nucleolar 1 (putative)	0.245	1.948
1182_at	PLCL1	phospholipase C like 1	-0.955	4.612
1184_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.887	9.344
1189_at	CDK8	cyclin dependent kinase 8	-0.68	4.335
1194_g_at	UBE3A	ubiquitin protein ligase E3A	-0.316	2.719
1196_at	RCC1	regulator of chromosome condensation 1	-0.268	2.381
