ID	Gene.symbol	Gene.title	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
1018_at	WNT10B	Wnt family member 10B	-0.278	2.673
1021_at	IFNG	interferon gamma	0.375	2.751
1038_s_at	IFNGR1	interferon gamma receptor 1	1.203	3.706
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	1.095	6.359
106_at	RUNX3	runt related transcription factor 3	0.872	4.124
1080_s_at	CYP1A2	cytochrome P450 family 1 subfamily A member 2	-0.402	2.743
1106_s_at	TRAC///TRAJ17///TRAV20///TRDV2	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2	1.276	3.802
1184_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.169	4.52
1213_at	SRPK2	SRSF protein kinase 2	0.731	2.868
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	-0.546	3.044
1234_at	EPHA3	EPH receptor A3	-0.447	2.752
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	1.063	4.601
1260_s_at	GSTA3///GSTA2///GSTA1	glutathione S-transferase alpha 3///glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	-1.389	3.458
1261_i_at	GSTA2///GSTA1	glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	-1.567	3.514
1348_s_at	PCCA	propionyl-CoA carboxylase alpha subunit	-1.146	2.72
1370_at	IL7R	interleukin 7 receptor	1.195	3.325
1371_s_at	CYP2B7P///CYP2B6	cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6	-0.89	3.971
1385_at	TGFBI	transforming growth factor beta induced	1.224	3.8
1389_at	MME	membrane metallo-endopeptidase	-0.574	3.202
1391_s_at	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11	-0.854	3.354
1403_s_at	CCL5	C-C motif chemokine ligand 5	1.923	4.703
1405_i_at	CCL5	C-C motif chemokine ligand 5	1.392	3.191
140_s_at	TRA2B	transformer 2 beta homolog (Drosophila)	0.862	3.783
1427_g_at	SLA	Src-like-adaptor	1.761	5.22
1449_at	PSMA4	proteasome subunit alpha 4	0.558	2.683
1450_g_at	PSMA4	proteasome subunit alpha 4	0.704	3.164
1452_at	LMO4	LIM domain only 4	0.798	3.236
1456_s_at	IFI16	interferon gamma inducible protein 16	1.193	4.48
1461_at	NFKBIA	NFKB inhibitor alpha	1.652	3.929
146_at	PI4KB	phosphatidylinositol 4-kinase beta	-0.346	2.863
1476_s_at	MYB	MYB proto-oncogene, transcription factor	-0.447	2.905
1478_at	ITK	IL2 inducible T-cell kinase	1.197	4.058
149_at	DDX39A	DEAD-box helicase 39A	0.981	5.073
1511_at	SHC3	SHC adaptor protein 3	-0.433	2.89
1512_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	0.871	3.683
1527_s_at	N4BP2L1	NEDD4 binding protein 2 like 1	0.474	3.133
1546_at	HYAL1	hyaluronoglucosaminidase 1	-0.598	2.897
1583_at	TNFRSF1B	TNF receptor superfamily member 1B	1.765	4.801
160029_at	PRKCB	protein kinase C beta	1.212	4.621
160044_g_at	ACO2	aconitase 2	-1.029	3.529
1612_s_at	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	0.958	2.77
162_at	USP11	ubiquitin specific peptidase 11	-0.819	4.115
1633_g_at	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	1.097	4.174
1665_s_at	TYMP	thymidine phosphorylase	0.567	2.808
1675_at	RASA1	RAS p21 protein activator 1	0.551	4.279
