ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
1002_f_at	CYP2C19	cytochrome P450 family 2 subfamily C member 19	0.479	4.365
1003_s_at	CXCR5	C-X-C motif chemokine receptor 5	0.313	2.706
1004_at	CXCR5	C-X-C motif chemokine receptor 5	0.553	2.459
1006_at	MMP10	matrix metallopeptidase 10	0.359	2.651
1007_s_at	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1	0.241	1.844
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	1.421	6.1
100_g_at	RABGGTA	Rab geranylgeranyltransferase alpha subunit	0.304	2.382
1011_s_at	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	-1.742	7.539
1012_at	KAT2B	lysine acetyltransferase 2B	0.313	2.624
1013_at	SMAD5	SMAD family member 5	-0.755	4.203
1018_at	WNT10B	Wnt family member 10B	0.23	2.503
1020_s_at	CIB1	calcium and integrin binding 1	-0.837	6.9
1021_at	IFNG	interferon gamma	0.477	4.897
1023_at	EPO	erythropoietin	0.348	3.134
1024_at	CYP1A1	cytochrome P450 family 1 subfamily A member 1	0.822	7.51
1026_s_at	COL11A2	collagen type XI alpha 2 chain	0.29	3.126
1027_at	COL11A2	collagen type XI alpha 2 chain	0.559	10.48
1028_at	TOP3A	topoisomerase (DNA) III alpha	0.475	4.369
1029_s_at	TXK	TXK tyrosine kinase	0.563	2.441
102_at	HIPK3	homeodomain interacting protein kinase 3	0.295	2.208
1030_s_at	TOP1	topoisomerase (DNA) I	-0.546	2.674
1031_at	SRPK1	SRSF protein kinase 1	-0.558	3.185
1033_g_at	CXCR2	C-X-C motif chemokine receptor 2	0.452	4.431
1034_at	TIMP3	TIMP metallopeptidase inhibitor 3	-0.447	3.523
103_at	THBS4	thrombospondin 4	0.569	2.699
1049_g_at	RXRG	retinoid X receptor gamma	0.45	5.271
104_at	POU6F1	POU class 6 homeobox 1	0.397	5.018
1055_g_at	RFC4	replication factor C subunit 4	0.284	1.776
1058_at	WASF3	WAS protein family member 3	-1.111	4.98
105_at	NR1I3	nuclear receptor subfamily 1 group I member 3	-0.343	1.88
1061_at	IL10RA	interleukin 10 receptor subunit alpha	0.534	4.719
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	1	7.181
1064_at	TWF1	twinfilin actin binding protein 1	-0.73	4.378
1066_at	IL12RB1	interleukin 12 receptor subunit beta 1	0.455	4.892
1067_at	FLT3LG	fms related tyrosine kinase 3 ligand	0.466	2.554
106_at	RUNX3	runt related transcription factor 3	1.005	6.258
1070_at	GTF2B	general transcription factor IIB	0.413	3.271
1071_at	GATA2	GATA binding protein 2	0.544	4.655
1073_at	TCEA1	transcription elongation factor A1	-0.52	1.855
1074_at	RAB1A	RAB1A, member RAS oncogene family	-1.04	9.811
1076_at	IL1A	interleukin 1 alpha	-0.274	2.226
1078_at	PRLR	prolactin receptor	-0.767	3.31
1079_g_at	PRLR	prolactin receptor	-0.496	2.937
1082_at	PLCG1	phospholipase C gamma 1	0.71	2.385
1084_at	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	0.351	3.396
1085_s_at	PLCG2	phospholipase C gamma 2	0.423	2.013
