ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
121_at	PAX8	paired box 8	-0.892	3.915
1405_i_at	CCL5	C-C motif chemokine ligand 5	3.109	2.578
1487_at	ESRRA	estrogen related receptor alpha	-1.033	6.675
1729_at	TRADD	TNFRSF1A associated via death domain	0.885	2.778
200002_at	RPL35	ribosomal protein L35	0.539	2.126
200003_s_at	MIR6805///RPL28	microRNA 6805///ribosomal protein L28	0.705	4.256
200008_s_at	GDI2	GDP dissociation inhibitor 2	0.907	2.376
200010_at	RPL11	ribosomal protein L11	0.714	4.293
200021_at	CFL1	cofilin 1	-0.371	2.086
200022_at	RPL18	ribosomal protein L18	0.581	2.29
200024_at	RPS5	ribosomal protein S5	0.697	3.047
200027_at	NARS	asparaginyl-tRNA synthetase	-0.56	3.778
200028_s_at	STARD7	StAR related lipid transfer domain containing 7	-0.574	3.097
200030_s_at	SLC25A3	solute carrier family 25 member 3	-0.463	3.057
200031_s_at	SNORD35B///RPS11	small nucleolar RNA, C/D box 35B///ribosomal protein S11	0.536	3.601
200037_s_at	CBX3	chromobox 3	0.775	3.68
200038_s_at	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17	0.489	2.593
200040_at	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	0.609	2.44
200045_at	ABCF1	ATP binding cassette subfamily F member 1	-0.484	2.756
200055_at	TAF10	TATA-box binding protein associated factor 10	-0.614	2.534
200059_s_at	RHOA	ras homolog family member A	0.81	4.938
200069_at	SART3	squamous cell carcinoma antigen recognized by T-cells 3	0.992	2.948
200073_s_at	HNRNPD	heterogeneous nuclear ribonucleoprotein D	0.653	2.071
200075_s_at	GUK1	guanylate kinase 1	0.801	4.805
200076_s_at	KXD1	KxDL motif containing 1	0.521	3.091
200078_s_at	ATP6V0B	ATPase H+ transporting V0 subunit b	-0.577	2.349
200079_s_at	KARS	lysyl-tRNA synthetase	0.669	2.822
200082_s_at	RPS7	ribosomal protein S7	0.475	3.403
200084_at	C11orf58	chromosome 11 open reading frame 58	0.398	2.158
