ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
1001_at	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	-0.846	3.699
1002_f_at	CYP2C19	cytochrome P450 family 2 subfamily C member 19	-0.599	6.386
1003_s_at	CXCR5	C-X-C motif chemokine receptor 5	-0.423	4.569
1004_at	CXCR5	C-X-C motif chemokine receptor 5	-0.86	4.931
1006_at	MMP10	matrix metallopeptidase 10	-0.537	5.154
1007_s_at	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1	-0.327	3.15
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	-2.296	10.468
100_g_at	RABGGTA	Rab geranylgeranyltransferase alpha subunit	-0.423	4.154
1011_s_at	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	1.528	7.247
1012_at	KAT2B	lysine acetyltransferase 2B	-0.345	3.33
1013_at	SMAD5	SMAD family member 5	1.317	8.291
1016_s_at	IL13RA2	interleukin 13 receptor subunit alpha 2	-0.531	3.136
1017_at	MSH6	mutS homolog 6	-0.309	2.563
1018_at	WNT10B	Wnt family member 10B	-0.654	10.473
101_at	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	-0.435	1.606
1020_s_at	CIB1	calcium and integrin binding 1	0.935	8.44
1023_at	EPO	erythropoietin	-0.653	7.857
1024_at	CYP1A1	cytochrome P450 family 1 subfamily A member 1	-0.956	9.514
1026_s_at	COL11A2	collagen type XI alpha 2 chain	-0.653	9.187
1027_at	COL11A2	collagen type XI alpha 2 chain	-0.627	12.461
1028_at	TOP3A	topoisomerase (DNA) III alpha	-0.43	4.171
1029_s_at	TXK	TXK tyrosine kinase	-0.665	3.43
102_at	HIPK3	homeodomain interacting protein kinase 3	-0.66	7.294
1030_s_at	TOP1	topoisomerase (DNA) I	0.83	5.182
1031_at	SRPK1	SRSF protein kinase 1	0.779	5.426
1033_g_at	CXCR2	C-X-C motif chemokine receptor 2	-0.632	7.445
1034_at	TIMP3	TIMP metallopeptidase inhibitor 3	0.237	1.548
1035_g_at	TIMP3	TIMP metallopeptidase inhibitor 3	-0.421	4.005
1036_at	IL15	interleukin 15	0.628	2.978
1038_s_at	IFNGR1	interferon gamma receptor 1	1.525	6.695
1039_s_at	HIF1A	hypoxia inducible factor 1 alpha subunit	0.835	2.404
103_at	THBS4	thrombospondin 4	-0.924	5.816
1040_s_at	ABI2	abl-interactor 2	-0.526	4.362
1044_s_at	E2F5	E2F transcription factor 5	0.485	2.609
1045_s_at	RELA	RELA proto-oncogene, NF-kB subunit	-0.389	2.572
1046_at	IFIT5	interferon induced protein with tetratricopeptide repeats 5	-0.456	2.475
1048_at	RXRG	retinoid X receptor gamma	-0.184	1.509
1049_g_at	RXRG	retinoid X receptor gamma	-0.658	8.986
104_at	POU6F1	POU class 6 homeobox 1	-0.481	6.994
1051_g_at	MLANA	melan-A	-0.392	1.985
1057_at	CRABP2	cellular retinoic acid binding protein 2	-0.905	5.264
1058_at	WASF3	WAS protein family member 3	1.012	4.974
1060_g_at	NTRK3	neurotrophic receptor tyrosine kinase 3	-0.794	2.283
1061_at	IL10RA	interleukin 10 receptor subunit alpha	-0.57	5.624
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	0.333	1.602
1063_s_at	TYRO3	TYRO3 protein tyrosine kinase	-0.479	2.985
1064_at	TWF1	twinfilin actin binding protein 1	1.366	9.773
1065_at	FLT3	fms related tyrosine kinase 3	-0.271	1.585
1066_at	IL12RB1	interleukin 12 receptor subunit beta 1	-0.449	5.252
1067_at	FLT3LG	fms related tyrosine kinase 3 ligand	-0.725	5.252
1070_at	GTF2B	general transcription factor IIB	-0.374	3.139
1071_at	GATA2	GATA binding protein 2	-0.587	5.625
1072_g_at	GATA2	GATA binding protein 2	-0.313	2.932
1073_at	TCEA1	transcription elongation factor A1	0.78	3.638
1074_at	RAB1A	RAB1A, member RAS oncogene family	0.802	8.076
1076_at	IL1A	interleukin 1 alpha	0.341	3.344
107_at	RAB40AL	RAB40A, member RAS oncogene family-like	-0.987	4.072
1080_s_at	CYP1A2	cytochrome P450 family 1 subfamily A member 2	-0.755	8.473
1082_at	PLCG1	phospholipase C gamma 1	-0.675	2.433
1083_s_at	MUC1	mucin 1, cell surface associated	-0.428	4.181
1084_at	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	-0.312	3.161
1085_s_at	PLCG2	phospholipase C gamma 2	-0.452	2.457
1086_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.804	8.932
1087_at	EPOR	erythropoietin receptor	-0.513	6.199
1088_at	BDNF	brain derived neurotrophic factor	-0.772	4.755
1089_i_at			-0.827	6.778
108_g_at	RAB40AL///RAB40A///RAB40B	RAB40A, member RAS oncogene family-like///RAB40A, member RAS oncogene family///RAB40B, member RAS oncogene family	-0.251	1.81
1091_at	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta	-0.415	5.214
1092_at	EDN2	endothelin 2	-0.484	5.763
1093_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	0.341	1.588
1094_g_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	-0.453	4.966
1096_g_at	CD19	CD19 molecule	-0.747	5.212
109_at	RABEPK	Rab9 effector protein with kelch motifs	-0.204	1.605
