ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
1001_at	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	-0.772	2.551
1002_f_at	CYP2C19	cytochrome P450 family 2 subfamily C member 19	-0.751	6.854
1003_s_at	CXCR5	C-X-C motif chemokine receptor 5	-0.331	2.527
1004_at	CXCR5	C-X-C motif chemokine receptor 5	-0.497	1.808
1006_at	MMP10	matrix metallopeptidase 10	-0.488	3.6
1007_s_at	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1	-0.453	3.75
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	-1.86	6.876
100_g_at	RABGGTA	Rab geranylgeranyltransferase alpha subunit	-0.382	2.807
1010_at	MAPK11	mitogen-activated protein kinase 11	-0.459	1.883
1011_s_at	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	1.41	5.223
1013_at	SMAD5	SMAD family member 5	1.032	5.079
1017_at	MSH6	mutS homolog 6	-0.295	1.87
1018_at	WNT10B	Wnt family member 10B	-0.508	6.537
1020_s_at	CIB1	calcium and integrin binding 1	0.593	3.866
1023_at	EPO	erythropoietin	-0.38	3.088
1024_at	CYP1A1	cytochrome P450 family 1 subfamily A member 1	-0.909	7.448
1026_s_at	COL11A2	collagen type XI alpha 2 chain	-0.564	6.365
1027_at	COL11A2	collagen type XI alpha 2 chain	-0.649	11.032
1028_at	TOP3A	topoisomerase (DNA) III alpha	-0.377	2.723
102_at	HIPK3	homeodomain interacting protein kinase 3	-0.631	5.624
1030_s_at	TOP1	topoisomerase (DNA) I	0.628	2.799
1031_at	SRPK1	SRSF protein kinase 1	0.641	3.278
1033_g_at	CXCR2	C-X-C motif chemokine receptor 2	-0.642	6.204
1034_at	TIMP3	TIMP metallopeptidase inhibitor 3	0.31	1.79
1038_s_at	IFNGR1	interferon gamma receptor 1	0.86	2.508
103_at	THBS4	thrombospondin 4	-0.853	4.209
1044_s_at	E2F5	E2F transcription factor 5	0.531	2.278
1049_g_at	RXRG	retinoid X receptor gamma	-0.602	6.668
104_at	POU6F1	POU class 6 homeobox 1	-0.319	3.212
1052_s_at	CEBPD	CCAAT/enhancer binding protein delta	0.717	2.227
1053_at	RFC2	replication factor C subunit 2	-0.259	1.676
1057_at	CRABP2	cellular retinoic acid binding protein 2	-0.571	2.242
1058_at	WASF3	WAS protein family member 3	1.17	4.502
1061_at	IL10RA	interleukin 10 receptor subunit alpha	-0.529	4.047
1063_s_at	TYRO3	TYRO3 protein tyrosine kinase	-0.383	1.673
1064_at	TWF1	twinfilin actin binding protein 1	0.837	4.494
1066_at	IL12RB1	interleukin 12 receptor subunit beta 1	-0.362	3.088
1067_at	FLT3LG	fms related tyrosine kinase 3 ligand	-0.546	2.8
1070_at	GTF2B	general transcription factor IIB	-0.431	3.006
1071_at	GATA2	GATA binding protein 2	-0.612	4.761
1073_at	TCEA1	transcription elongation factor A1	0.724	2.556
1074_at	RAB1A	RAB1A, member RAS oncogene family	1.11	9.364
1076_at	IL1A	interleukin 1 alpha	0.362	2.809
1080_s_at	CYP1A2	cytochrome P450 family 1 subfamily A member 2	-0.572	4.885
1082_at	PLCG1	phospholipase C gamma 1	-0.659	1.838
1084_at	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	-0.322	2.585
1085_s_at	PLCG2	phospholipase C gamma 2	-0.474	2.003
1086_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.656	5.73
1087_at	EPOR	erythropoietin receptor	-0.338	2.752
1088_at	BDNF	brain derived neurotrophic factor	-0.771	3.823
1089_i_at			-0.563	3.254
1091_at	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta	-0.388	3.73
1092_at	EDN2	endothelin 2	-0.541	5.176
1093_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	0.558	2.381
1094_g_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	-0.437	3.738
1096_g_at	CD19	CD19 molecule	-0.578	2.911
1101_at	APBB1	amyloid beta precursor protein binding family B member 1	-0.532	4.962
1104_s_at	HSPA1L///HSPA1B///HSPA1A	heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A	1.113	1.95
1107_s_at	ISG15	ISG15 ubiquitin-like modifier	-0.393	2.126
1108_s_at	EPHA1	EPH receptor A1	-0.531	6.162
1109_s_at	PDGFA	platelet derived growth factor subunit A	-0.43	3.427
110_at	CSPG4	chondroitin sulfate proteoglycan 4	-0.454	3.515
1113_at	BMP2	bone morphogenetic protein 2	-0.477	2.163
1114_at	BMP4	bone morphogenetic protein 4	-0.588	2.72
1117_at	CDA	cytidine deaminase	-0.238	1.947
1118_at	PTGER4	prostaglandin E receptor 4	-0.328	2.943
1119_at	RPA2	replication protein A2	0.448	2.992
1125_s_at	CD44	CD44 molecule (Indian blood group)	-0.311	3.122
1129_at	GBX1	gastrulation brain homeobox 1	-0.462	3.391
1132_s_at	RARG	retinoic acid receptor gamma	-0.406	3.171
1133_at	EN2	engrailed homeobox 2	-0.516	3.589
1134_at	TNK2	tyrosine kinase non receptor 2	-0.75	7.469
1136_at	DTYMK	deoxythymidylate kinase	-0.411	2.142
1138_at	SLC20A1	solute carrier family 20 member 1	-0.598	4.063
113_i_at	MAPT	microtubule associated protein tau	-0.536	2.36
1142_at			-0.699	2.409
1146_at	CD4	CD4 molecule	-0.586	5.431
1147_at	NR2F1	nuclear receptor subfamily 2 group F member 1	0.67	2.187
1149_at	TFEB	transcription factor EB	-0.671	4.408
114_r_at	MAPT	microtubule associated protein tau	-0.782	3.274
1152_i_at	CGB2///CGB1///CGB8///CGB7///CGB5///CGB3	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3	-0.814	1.825
1153_f_at	CGB2///CGB1///CGB8///CGB7///CGB5///CGB3	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3	-0.553	1.983
1155_at	MYCLP1	MYCL pseudogene 1	-0.779	3.993
1158_s_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-0.267	2.459
1167_s_at	MMP15	matrix metallopeptidase 15	-0.562	2.207
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7	-0.518	1.835
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	-0.506	3.812
1177_at			-0.364	2.568
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	-0.653	3.13
1182_at	PLCL1	phospholipase C like 1	0.494	1.672
1183_at	CCL17	C-C motif chemokine ligand 17	-0.538	3.325
1185_at	IL3RA	interleukin 3 receptor subunit alpha	-0.737	7.056
1186_at	GDF10	growth differentiation factor 10	-0.808	4.079
1189_at	CDK8	cyclin dependent kinase 8	-0.509	2.571
118_at	ITPKA	inositol-trisphosphate 3-kinase A	-0.471	1.723
1190_at	PTPRO	protein tyrosine phosphatase, receptor type O	0.343	1.778
1191_s_at	PSMD11	proteasome 26S subunit, non-ATPase 11	1.202	6.999
1192_at	PSMD12	proteasome 26S subunit, non-ATPase 12	0.984	4.621
1193_at	UBE3A	ubiquitin protein ligase E3A	-0.579	1.711
1194_g_at	UBE3A	ubiquitin protein ligase E3A	-0.687	6.804
1196_at	RCC1	regulator of chromosome condensation 1	-0.731	7.919
1200_at	GLI2	GLI family zinc finger 2	-0.685	6.134
1201_at	RAB33A	RAB33A, member RAS oncogene family	-0.471	3.08
1203_at	INHBA	inhibin beta A subunit	-0.577	3.833
1204_at	DGKG	diacylglycerol kinase gamma	-0.419	2.264
1205_at			-0.429	2.472
1207_at	CDK6	cyclin dependent kinase 6	-0.419	4.036
