ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
1018_at	WNT10B	Wnt family member 10B	-0.654	10.473	0.23	2.503	-0.424	5.842	-0.278	2.673
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	0.333	1.602	1	7.181	1.333	9.449	1.095	6.359
1106_s_at	TRAC///TRAJ17///TRAV20///TRDV2	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2	0.845	3.551	1.142	3.894	1.987	7.88	1.276	3.802
1184_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.093	6.082	0.794	3.198	1.887	9.344	1.169	4.52
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	0.756	6.513	-1.192	9.86	-0.436	2.715	-0.546	3.044
1234_at	EPHA3	EPH receptor A3	-0.308	2.332	-0.308	2.03	-0.616	5.259	-0.447	2.752
1348_s_at	PCCA	propionyl-CoA carboxylase alpha subunit	0.978	2.86	-1.827	6.085	-0.848	2.224	-1.146	2.72
1370_at	IL7R	interleukin 7 receptor	0.761	2.4	0.852	2.677	1.613	5.932	1.195	3.325
1385_at	TGFBI	transforming growth factor beta induced	0.57	1.704	0.932	3.437	1.502	6.101	1.224	3.8
1389_at	MME	membrane metallo-endopeptidase	-0.508	3.396	-0.533	3.782	-1.041	8.12	-0.574	3.202
1391_s_at	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11	0.667	3.081	-1.171	6.387	-0.504	2.117	-0.854	3.354
1403_s_at	CCL5	C-C motif chemokine ligand 5	1	2.498	1.618	4.844	2.618	8.1	1.923	4.703
1449_at	PSMA4	proteasome subunit alpha 4	1.527	11.651	-0.546	3.063	0.982	6.905	0.558	2.683
1456_s_at	IFI16	interferon gamma inducible protein 16	0.693	2.78	0.756	3.167	1.448	6.938	1.193	4.48
1461_at	NFKBIA	NFKB inhibitor alpha	0.68	1.799	1.11	2.639	1.789	5.114	1.652	3.929
1478_at	ITK	IL2 inducible T-cell kinase	0.528	1.583	0.985	4.199	1.513	6.584	1.197	4.058
149_at	DDX39A	DEAD-box helicase 39A	0.485	2.569	0.632	3.664	1.117	7.253	0.981	5.073
160044_g_at	ACO2	aconitase 2	0.621	2.192	-1.717	7.978	-1.095	4.721	-1.029	3.529
162_at	USP11	ubiquitin specific peptidase 11	-0.367	1.789	-0.417	2.172	-0.783	4.889	-0.819	4.115
1665_s_at	TYMP	thymidine phosphorylase	-0.506	3.465	1.05	7.806	0.543	3.241	0.567	2.808
1693_s_at	TIMP1	TIMP metallopeptidase inhibitor 1	0.458	2.361	1.511	7.938	1.97	10.588	0.877	3.069
1717_s_at	BIRC3	baculoviral IAP repeat containing 3	1.619	3.94	1.365	3.778	2.984	8.258	2.176	5.008
1718_at	ARPC2	actin related protein 2/3 complex subunit 2	0.684	3.861	0.908	4.138	1.593	8.533	0.988	3.851
1946_at	WT1-AS	WT1 antisense RNA	-1.126	10.053	0.482	3.281	-0.644	4.746	-0.543	3.052
195_s_at	CASP4	caspase 4	1.553	5.172	1.202	3.769	2.755	9.348	2.069	5.767
1984_s_at	ARHGDIB	Rho GDP dissociation inhibitor beta	0.968	3.293	0.706	1.98	1.674	6.034	1.102	2.901
2078_s_at	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	-0.911	11.212	0.314	2.901	-0.597	6.412	-0.398	3.086
277_at	MCL1	BCL2 family apoptosis regulator	1.091	4.919	0.66	1.932	1.751	7.225	1.387	4.612
279_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.567	6.356	-0.272	2.145	-0.839	8.958	-0.589	4.938
31544_at	FOXI1	forkhead box I1	-0.408	2.307	-0.55	3.442	-0.959	6.68	-0.819	4.524
31728_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	0.358	1.677	0.646	3.649	1.004	6.227	0.749	3.499
31820_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	0.942	2.892	1.747	5.686	2.689	8.889	2.154	6.042
31966_at	DIO1	deiodinase, iodothyronine type I	1.059	2.514	-2.979	8.14	-1.92	4.891	-1.76	3.637
31975_at	MT4	metallothionein 4	0.288	2.404	0.452	4.201	0.741	7.535	0.412	2.889
