#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
Ckmt1b	creatine	2130035	-100000586	10116.ENSRNOP00000044253	-1.CID100000586	0	0	0	0	0	0.586	0.989	0.874	0	0.999
Ckb	creatine	2120985	-100000586	10116.ENSRNOP00000015122	-1.CID100000586	0	0	0	0	0	0.795	0.989	0.504	0	0.998
Ckm	creatine	2123864	-100000586	10116.ENSRNOP00000022895	-1.CID100000586	0	0	0	0	0	0.741	0.989	0.558	0	0.998
Gamt	creatine	2128082	-100000586	10116.ENSRNOP00000036927	-1.CID100000586	0	0	0	0	0	0	0.989	0.719	0	0.996
Slc6a8	creatine	2124928	-100000586	10116.ENSRNOP00000025702	-1.CID100000586	0	0	0	0	0	0	0.989	0.630	0	0.995
Gatm	creatine	2115841	-100000586	10116.ENSRNOP00000000181	-1.CID100000586	0	0	0	0	0	0	0.900	0.901	0	0.989
Gamt	Gatm	2128082	2115841	10116.ENSRNOP00000036927	10116.ENSRNOP00000000181	0	0	0	0	0.085	0	0.900	0.652	0	0.965
Vdac2	Slc25a4	2122223	2120834	10116.ENSRNOP00000018462	10116.ENSRNOP00000014704	0	0	0	0	0.155	0.331	0.869	0.561	0	0.963
Gamt	Ckb	2128082	2120985	10116.ENSRNOP00000036927	10116.ENSRNOP00000015122	0	0	0	0	0	0	0.900	0.452	0	0.942
Gamt	Ckm	2128082	2123864	10116.ENSRNOP00000036927	10116.ENSRNOP00000022895	0	0	0	0	0	0	0.900	0.452	0	0.942
Ckmt2	creatine	2136367	-100000586	10116.ENSRNOP00000065048	-1.CID100000586	0	0	0	0	0	0.586	0.641	0.504	0	0.922
Ckmt1b	Gamt	2130035	2128082	10116.ENSRNOP00000044253	10116.ENSRNOP00000036927	0	0	0	0	0	0	0.900	0.223	0	0.918
Vdac1	creatine	2118613	-100000586	10116.ENSRNOP00000008477	-1.CID100000586	0	0	0	0	0	0	0.895	0.117	0	0.905
Slc25a4	creatine	2120834	-100000586	10116.ENSRNOP00000014704	-1.CID100000586	0	0	0	0	0	0	0.895	0.101	0	0.903
Vdac2	creatine	2122223	-100000586	10116.ENSRNOP00000018462	-1.CID100000586	0	0	0	0	0	0	0.895	0.103	0	0.903
Vdac2	Vdac1	2122223	2118613	10116.ENSRNOP00000018462	10116.ENSRNOP00000008477	0	0	0	0.983	0.072	0.619	0.700	0.859	0	0.886
Slc25a4	Vdac1	2120834	2118613	10116.ENSRNOP00000014704	10116.ENSRNOP00000008477	0	0	0	0	0.155	0.331	0.376	0.714	0	0.886
Ckmt1b	Vdac1	2130035	2118613	10116.ENSRNOP00000044253	10116.ENSRNOP00000008477	0	0	0	0	0	0.133	0.376	0.305	0	0.591
Ckmt1b	Vdac2	2130035	2122223	10116.ENSRNOP00000044253	10116.ENSRNOP00000018462	0	0	0	0	0	0.111	0.376	0.290	0	0.572
Ckmt1b	Slc25a4	2130035	2120834	10116.ENSRNOP00000044253	10116.ENSRNOP00000014704	0	0	0	0	0	0.112	0.376	0.246	0	0.545
Ckmt2	Slc25a4	2136367	2120834	10116.ENSRNOP00000065048	10116.ENSRNOP00000014704	0	0	0	0	0	0.079	0.157	0.396	0	0.490
Ckm	Ckb	2123864	2120985	10116.ENSRNOP00000022895	10116.ENSRNOP00000015122	0	0	0.534	0.985	0	0.155	0.376	0.656	0	0.459
Ckmt2	Vdac2	2136367	2122223	10116.ENSRNOP00000065048	10116.ENSRNOP00000018462	0	0	0	0	0	0.076	0.148	0.315	0	0.414
Slc6a8	Gatm	2124928	2115841	10116.ENSRNOP00000025702	10116.ENSRNOP00000000181	0	0	0	0	0	0	0	0.405	0	0.405
